GeneID,dcp2.1
YDR428C,426
YDR429C,2186
YDR430C,538
YDR432W,700
YDR434W,1079
YDR435C,810
YDR436W,210
YDR437W,980
YDR438W,159
YDR439W,278
YDR440W,315
YDR441C,2140
YDR443C,293
YDR444W,585
YDR445C,155
YDR446W,0
YDR447C,24423
YDR448W,744
YDR449C,1241
YDR450W,13012
YDR451C,1028
YDR452W,1246
YDR453C,140
YDR454C,5839
YDR456W,1921
YDR457W,462
YDR458C,711
YDR459C,531
YDR460W,158
YDR461C-A,151
YDR461W,0
YDR462W,2050
YDR463W,801
YDR464W,0
YDR465C,938
YDR466W,321
YDR468C,800
YDR469W,1491
YDR470C,477
YDR471W,33990
YDR472W,1337
YDR473C,239
YDR475C,161
YDR476C,1176
YDR477W,630
YDR478W,452
YDR479C,465
YDR480W,394
YDR481C,619
YDR482C,277
YDR483W,2113
YDR484W,318
YDR485C,294
YDR486C,744
YDR487C,4566
YDR488C,159
YDR489W,859
YDR490C,709
YDR492W,1777
YDR493W,1448
YDR494W,1180
YDR495C,61
YDR496C,604
YDR497C,18577
YDR498C,296
YDR499W,483
YDR500C,9038
YDR501W,23
YDR502C,879
YDR503C,577
YDR505C,562
YDR506C,36
YDR507C,642
YDR508C,2177
YDR510C-A,51
YDR510W,6104
YDR511W,1739
YDR513W,3076
YDR514C,202
YDR515W,233
YDR516C,2104
YDR517W,1445
YDR518W,551
YDR519W,4723
YDR520C,88
YDR524C,1495
YDR524C-A,17
YDR524C-B,86808
YDR525W-A,13965
YDR527W,358
YDR528W,839
YDR529C,7637
YDR530C,821
YDR531W,587
YDR532C,743
YDR533C,704
YDR534C,0
YDR536W,173
YDR538W,2158
YDR539W,506
YDR540C,73
YDR541C,782
YEL001C,4231
YEL002C,2649
YEL003W,3443
YEL004W,722
YEL005C,491
YEL006W,667
YEL007W,1811
YEL008C-A,326
YEL009C,20413
YEL009C-A,166
YEL011W,794
YEL012W,422
YEL013W,1405
YEL015W,848
YEL016C,560
YEL017C-A,5600
YEL017W,959
YEL018W,298
YEL019C,88
YEL020C,84
YEL020C-B,182
YEL020W-A,3335
YEL021W,1349
YEL022W,335
YEL023C,150
YEL024W,6595
YEL025C,898
