GeneID,wt.2
YER147C,119
YER148W,2200
YER149C,203
YER150W,515
YER151C,186
YER152C,663
YER153C,124
YER154W,350
YER155C,656
YER156C,2893
YER157W,137
YER158C,297
YER159C,869
YER160C,100
YER161C,392
YER162C,40
YER163C,524
YER164W,317
YER165W,9534
YER166W,713
YER167W,360
YER168C,282
YER169W,167
YER170W,193
YER171W,247
YER172C,234
YER173W,133
YER174C,700
YER175C,86
YER175W-A,0
YER176W,288
YER177W,8067
YER178W,2406
YER179W,0
YER180C-A,199
YER181C,85
YER182W,390
YER183C,249
YER184C,120
YER185W,26
YER186C,199
YER187W,26
YER188C-A,0
YER188W,67
YFL001W,388
YFL002C,264
YFL002W-A,840
YFL004W,1133
YFL005W,2742
YFL007W,381
YFL008W,139
YFL009W,349
YFL010C,2835
YFL011W,20
YFL012W,95
YFL013C,64
YFL014W,347
YFL016C,307
YFL017C,1069
YFL017W-A,581
YFL018C,536
YFL020C,0
YFL021W,222
YFL022C,239
YFL023W,191
YFL024C,47
YFL025C,388
YFL026W,5625
YFL027C,78
YFL028C,656
YFL029C,111
YFL030W,28
YFL031C-A,0
YFL031W,17628
YFL032W,0
YFL033C,210
YFL034C-A,7724
YFL034C-B,147
YFL034W,173
YFL036W,441
YFL037W,4079
YFL038C,2240
YFL039C,15837
YFL041W,452
YFL041W-A,54
YFL042C,85
YFL044C,492
YFL045C,22354
YFL046W,386
YFL047W,526
YFL048C,281
YFL049W,148
YFL050C,50
YFL052W,0
YFL053W,0
YFL054C,26
YFL055W,0
YFL059W,0
YFL060C,0
YFL061W,0
YFL062W,0
YFL064C,83
YFR001W,1950
YFR002W,593
YFR003C,468
