Geneid,WT_2
Q0070,13085
Q0065,11271
Q0060,5506
Q0055,12434
Q0050,14569
Q0075,290
Q0080,15
Q0085,290
Q0092,3
Q0105,7034
Q0120,7053
Q0115,4539
Q0110,3988
Q0130,4091
Q0140,85
Q0142,0
Q0143,2
Q0144,0
Q0160,510
Q0182,200
Q0250,3781
Q0255,382
Q0275,7173
Q0297,1412
YER054C,164
YER114C,4379
YER169W,2416
YEL077C,1081
YEL077W-A,25
YEL076C-A,23
YEL076C,89
YEL075W-A,225
YEL075C,11
YEL074W,102
YEL073C,103
YEL072W,296
YEL071W,7661
YEL070W,83
YEL069C,10
YEL068C,508
YEL067C,183
YEL066W,648
YEL065W,2962
YEL064C,884
YEL063C,4366
YEL062W,1071
YEL061C,1567
YEL060C,4350
YEL059C-A,587
YEL059W,20
YEL058W,5045
YEL057C,127
YEL056W,1717
YEL055C,6295
YEL054C,8981
YEL053W-A,6
YEL053C,2490
YEL052W,2180
YEL051W,3883
YEL050W-A,0
YEL050C,2416
YEL049W,28
YEL048C,265
YEL047C,3332
YEL046C,13097
YEL045C,1195
YEL044W,996
YEL043W,3819
YEL042W,9026
YEL041W,199
YEL040W,14550
YEL039C,371
YEL038W,1606
YEL037C,4211
YEL036C,3686
YEL035C,10
YEL034C-A,11
YEL034W,24541
YEL033W,9116
YEL032W,4279
YEL032C-A,0
YEL031W,18374
YEL030C-A,6
YEL030W,546
YEL029C,1341
YEL028W,190
YEL027W,8146
YEL026W,5609
YEL025C,2326
YEL024W,4271
YEL023C,385
YEL022W,4961
YEL021W,2112
YEL020C-B,8
YEL020W-A,2124
YEL020C,797
YEL019C,341
YEL018C-A,5
YEL018W,570
YEL017C-A,3102
YEL017W,2496
YEL016C,902
YEL015W,2876
YEL014C,0
YEL013W,5652
YEL012W,480
YEL011W,652
YEL010W,0
YEL009C-A,21
YEL009C,9740
YEL008W,41
YEL008C-A,191
YEL007W,4920
YEL006W,1645
YEL005C,531
YEL004W,569
YEL003W,1215
YEL002C,6385
YEL001C,5237
YER001W,7462
YER002W,2344
YER003C,4761
YER004W,2984
YER005W,2603
YER006W,4256
YER006C-A,13
YER007W,298
YER007C-A,2045
YER008C,4780
YER009W,4320
YER010C,1571
YER011W,552
YER012W,2606
YER013W,1366
YER014W,967
YER014C-A,30
YER015W,738
YER016W,1362
YER017C,3397
YER018C,815
YER019W,3142
YER019C-A,2742
YER020W,1698
YER021W,4703
YER022W,1460
YER023W,5985
YER023C-A,1
YER024W,651
YER025W,8993
YER026C,3215
YER027C,2327
YER028C,492
YER029C,864
YER030W,1691
YER031C,2106
YER032W,2908
YER033C,1666
YER034W,473
YER035W,1441
YER036C,11777
YER037W,2073
YER038C,460
YER038W-A,97
YER039C,179
YER039C-A,78
YER040W,1732
YER041W,749
YER042W,1300
YER043C,18525
YER044C,2857
YER044C-A,162
YER045C,1608
YER046W,259
YER046W-A,8
YER047C,1117
YER048C,2642
YER048W-A,1649
YER049W,5745
YER050C,1384
YER051W,631
YER052C,7087
YER053C,2391
YER053C-A,934
YER055C,6216
YER056C,14278
YER056C-A,7117
YER057C,3137
YER058W,313
YER059W,1108
YER060W,2402
YER060W-A,326
YER061C,528
YER062C,1708
YER063W,1228
YER064C,2806
YER065C,313
YER066W,109
YER066C-A,11
YER067W,583
YER067C-A,5
YER068W,2628
YER068C-A,0
YER069W,2931
YER070W,11770
YER071C,422
YER072W,6956
YER073W,6454
YER074W,8111
YER074W-A,1663
YER075C,2158
YER076C,412
YER076W-A,89
YER077C,1437
YER078C,1161
YER078W-A,15
YER079W,296
YER079C-A,3
YER080W,2782
YER081W,1644
YER082C,2864
YER083C,3225
YER084W,63
YER084W-A,1
YER085C,10
YER086W,9576
YER087W,928
YER087C-A,78
YER087C-B,3714
YER088C,6884
YER088C-A,2050
YER088W-B,40
YER089C,6504
YER090W,4006
YER090C-A,0
YER091C,18378
YER091C-A,3
YER092W,681
YER093C,2040
YER093C-A,524
YER094C,3446
YER095W,2677
YER096W,280
YER097W,699
YER098W,497
YER099C,2013
YER100W,1708
YER101C,472
YER102W,6346
YER103W,709
YER104W,364
YER105C,6311
YER106W,43
YER107C,1398
YER107W-A,0
YER109C,1621
YER110C,20153
YER111C,2274
YER112W,2312
YER113C,3182
YER115C,513
YER116C,505
YER117W,8389
YER118C,3086
YER119C,1770
YER119C-A,8
YER120W,7644
YER121W,44
YER122C,5348
YER123W,2167
YER124C,4671
YER125W,10253
YER126C,3111
YER127W,2417
YER128W,408
YER129W,3679
YER130C,3243
YER131W,9159
YER132C,5994
YER133W,4298
YER133W-A,0
YER134C,1213
YER135C,10
YER136W,4780
YER137C,192
YER137W-A,8
YER138C,2850
YER137C-A,555
YER138W-A,589
YER139C,492
YER140W,1264
YER141W,5984
YER142C,274
YER143W,1243
YER144C,2897
YER145C,4321
YER145C-A,19
YER146W,1621
YER147C,1020
YER147C-A,2
YER148W,2840
YER148W-A,12
YER149C,1095
YER150W,982
YER151C,4080
YER152C,3041
YER152W-A,5
YER153C,539
YER154W,2670
YER155C,12938
YER156C,3803
YER157W,1921
YER158C,1825
YER158W-A,38
YER159C,1307
YER160C,3962
YER159C-A,354
YER161C,1310
YER162C,488
YER163C,987
YER164W,4738
YER165W,16876
YER165C-A,1
YER166W,8141
YER167W,3662
YER168C,1530
YER170W,524
YER171W,2361
YER172C,5143
YER172C-A,1
YER173W,676
YER174C,1508
YER175C,602
YER175W-A,23
YER176W,1851
YER177W,11809
YER178W,12519
YER179W,69
YER180C,673
YER180C-A,127
YER181C,23
YER182W,691
YER183C,992
YER184C,817
YER185W,124
YER186C,996
YER187W,62
YER188W,178
YER188C-A,88
YER189W,38
YER190W,1264
YER190C-A,0
YER190C-B,33
YJL091C,2991
YJL026W,10696
YJL026C-A,4
YJR125C,1999
YJL225C,409
YJL225W-A,0
YJL223C,247
YJL222W-B,1
YJL222W-A,1
YJL222W,4039
YJL221C,166
YJL220W,2
YJL219W,80
YJL218W,175
YJL217W,3216
YJL216C,144
YJL215C,48
YJL214W,133
YJL213W,817
YJL212C,6181
YJL211C,98
YJL210W,1391
YJL209W,1248
YJL208C,2465
YJL207C,5408
YJL206C,978
YJL205C,716
YJL204C,1084
YJL203W,567
YJL202C,10
YJL201W,1818
YJL200C,5792
YJL199C,139
YJL198W,4180
YJL197W,3127
YJL197C-A,0
YJL196C,2266
YJL195C,6
YJL194W,1334
YJL193W,1513
YJL192C,4042
YJL191W,5819
YJL190C,9039
YJL189W,4390
YJL188C,5
YJL187C,2131
YJL186W,5629
YJL185C,340
YJL184W,948
YJL183W,3358
YJL182C,4
YJL181W,948
YJL180C,1147
YJL179W,1254
YJL178C,2540
YJL177W,8478
YJL176C,2731
YJL175W,2
YJL174W,4756
YJL173C,1151
YJL172W,11023
YJL171C,6058
YJL170C,200
YJL169W,20
YJL168C,1683
YJL167W,7809
YJL166W,2235
YJL165C,2900
YJL164C,1115
YJL163C,489
YJL162C,737
YJL161W,162
YJL160C,60
YJL159W,31029
YJL158C,14838
YJL157C,4261
YJL156W-A,54
YJL156C,2160
YJL155C,635
YJL154C,3656
YJL153C,218
YJL152W,8
YJL151C,2844
YJL150W,80
YJL149W,1229
YJL148W,2331
YJL147C,525
YJL146W,923
YJL145W,1903
YJL144W,113
YJL143W,3958
YJL142C,239
YJL141C,2314
YJL140W,2526
YJL139C,1914
YJL138C,12127
YJL137C,998
YJL136W-A,2
YJL136C,6016
YJL135W,200
YJL134W,2091
YJL133C-A,382
YJL133W,2931
YJL132W,609
YJL131C,429
YJL130C,34512
YJL129C,5213
YJL128C,3371
YJL127W-A,1
YJL127C-B,731
YJL127C,1227
YJL126W,435
YJL125C,1697
YJL124C,2150
YJL123C,2574
YJL122W,2080
YJL121C,5313
YJL120W,9
YJL119C,158
YJL118W,1170
YJL117W,3844
YJL116C,579
YJL115W,399
YJL114W,61
YJL113W,501
YJL112W,1436
YJL111W,4828
YJL110C,1981
YJL109C,11625
YJL108C,401
YJL107C,464
YJL106W,192
YJL105W,64
YJL104W,2101
YJL103C,719
YJL102W,910
YJL101C,5088
YJL100W,1104
YJL099W,1295
YJL098W,4234
YJL097W,2368
YJL096W,1271
YJL095W,2900
YJL094C,3329
YJL093C,2384
YJL092W,2823
YJL090C,1456
YJL089W,140
YJL088W,426
YJL087C,1747
YJL086C,130
YJL085W,1212
YJL084C,2714
YJL083W,1088
YJL082W,2468
YJL081C,2174
YJL080C,15105
YJL079C,3429
YJL078C,14515
YJL077W-B,65
YJL077C,14
YJL077W-A,166
YJL076W,6297
YJL075C,1
YJL074C,2343
YJL073W,2196
YJL072C,703
YJL071W,979
YJL070C,695
YJL069C,2585
YJL068C,1816
YJL067W,22
YJL066C,863
YJL065C,995
YJL064W,13
YJL063C,1523
YJL062W-A,1513
YJL062W,3821
YJL061W,2644
YJL060W,2732
YJL059W,886
YJL058C,826
YJL057C,850
YJL056C,1791
YJL055W,1971
YJL054W,2587
YJL053W,1079
YJL052C-A,3
YJL052W,3740
YJL051W,2329
YJL050W,5868
YJL049W,577
YJL048C,2439
YJL047C-A,381
YJL047C,1418
YJL046W,1219
YJL045W,109
YJL044C,1467
YJL043W,36
YJL042W,6612
YJL041W,4184
YJL039C,7813
YJL038C,43
YJL037W,27
YJL036W,1216
YJL035C,567
YJL034W,18805
YJL033W,3639
YJL032W,2
YJL031C,806
YJL030W,581
YJL029C,2822
YJL028W,23
YJL027C,10
YJL025W,1136
YJL024C,1234
YJL023C,318
YJL022W,15
YJL020C,7733
YJL020W-A,2
YJL019W,1737
YJL016W,2375
YJL015C,25
YJL014W,6349
YJL013C,729
YJL012C,10589
YJL011C,477
YJL010C,3231
YJL009W,13
YJL008C,5401
YJL007C,4
YJL006C,600
YJL005W,5633
YJL004C,1162
YJL003W,329
YJL002C,9368
YJL001W,3322
YJR001W,4603
YJR002W,3513
YJR003C,1807
YJR004C,1309
YJR005W,1859
YJR005C-A,5
YJR006W,1705
YJR007W,6135
YJR008W,397
YJR009C,26374
YJR010W,2114
YJR010C-A,588
YJR011C,247
YJR012C,395
YJR013W,2036
YJR014W,2317
YJR015W,8171
YJR016C,17728
YJR017C,1895
YJR018W,46
YJR019C,1005
YJR020W,62
YJR021C,500
YJR022W,284
YJR023C,83
YJR024C,2760
YJR025C,2325
YJR027W,15904
YJR026W,3428
YJR029W,13849
YJR028W,5607
YJR030C,1164
YJR031C,3044
YJR032W,1704
YJR033C,2063
YJR034W,357
YJR035W,987
YJR036C,292
YJR037W,2
YJR038C,8
YJR039W,881
YJR040W,2379
YJR041C,4299
YJR042W,3198
YJR043C,1151
YJR044C,2688
YJR045C,19746
YJR046W,2205
YJR047C,111
YJR048W,3241
YJR049C,1194
YJR050W,660
YJR051W,1761
YJR052W,806
YJR053W,674
YJR054W,1534
YJR055W,305
YJR056C,922
YJR057W,1065
YJR058C,893
YJR059W,2535
YJR060W,1618
YJR061W,579
YJR062C,1267
YJR063W,2067
YJR064W,6092
YJR065C,5011
YJR066W,5454
YJR067C,485
YJR068W,1867
YJR069C,1589
YJR070C,4590
YJR071W,4
YJR072C,2067
YJR073C,1623
YJR074W,1014
YJR075W,3684
YJR076C,2874
YJR077C,8333
YJR078W,653
YJR079W,152
YJR080C,1600
YJR082C,956
YJR083C,512
YJR084W,808
YJR085C,2358
YJR086W,429
YJR087W,230
YJR088C,2015
YJR089W,1258
YJR090C,3515
YJR091C,6303
YJR092W,3093
YJR093C,1118
YJR094C,317
YJR094W-A,5068
YJR095W,37
YJR096W,608
YJR097W,552
YJR098C,560
YJR099W,1128
YJR100C,871
YJR101W,1777
YJR102C,627
YJR103W,2884
YJR104C,6998
YJR105W,11369
YJR106W,2004
YJR107W,1034
YJR108W,127
YJR109C,7822
YJR110W,730
YJR111C,1187
YJR112W,437
YJR112W-A,523
YJR113C,1782
YJR114W,21
YJR115W,320
YJR116W,1736
YJR117W,7154
YJR118C,1693
YJR119C,605
YJR120W,925
YJR121W,23474
YJR122W,1243
YJR123W,19671
YJR124C,2640
YJR126C,2911
YJR127C,3469
YJR128W,26
YJR129C,710
YJR130C,983
YJR131W,1636
YJR132W,4238
YJR133W,1111
YJR134C,1509
YJR135C,358
YJR135W-A,756
YJR136C,666
YJR137C,6941
YJR138W,2288
YJR139C,7974
YJR140C,2355
YJR140W-A,1
YJR141W,386
YJR142W,1171
YJR143C,13150
YJR144W,1750
YJR145C,13716
YJR146W,304
YJR147W,4016
YJR148W,5630
YJR149W,509
YJR150C,8
YJR151C,698
YJR151W-A,0
YJR152W,430
YJR153W,96
YJR154W,222
YJR155W,354
YJR156C,75
YJR157W,5
YJR158W,2
YJR159W,285
YJR160C,57
YJR161C,1836
YJR162C,0
YBL047C,17682
YBR012W-B,11876
YBR078W,24471
YBR140C,9761
YBL113C,1145
YBL113W-A,43
YBL112C,170
YBL111C,853
YBL109W,45
YBL108C-A,4
YBL108W,4
YBL107W-A,3
YBL107C,949
YBL106C,995
YBL105C,3952
YBL104C,1661
YBL103C,1207
YBL102W,2347
YBL101C,2303
YBL100W-C,7
YBL100W-B,8868
YBL100W-A,2137
YBL100C,0
YBL099W,11754
YBL098W,894
YBL097W,834
YBL096C,12
YBL095W,910
YBL094C,17
YBL093C,1638
YBL092W,9914
YBL091C-A,214
YBL091C,3341
YBL090W,928
YBL089W,1514
YBL088C,2903
YBL087C,7510
YBL086C,934
YBL085W,4413
YBL084C,1273
YBL083C,1132
YBL082C,2828
YBL081W,6286
YBL080C,601
YBL079W,8162
YBL078C,333
YBL077W,0
YBL076C,17557
YBL075C,895
YBL074C,330
YBL073W,1
YBL072C,14968
YBL071C-B,188
YBL071W-A,661
YBL071C,13
YBL070C,1
YBL069W,1783
YBL068W-A,505
YBL068W,2032
YBL067C,3773
YBL066C,2801
YBL065W,6
YBL064C,753
YBL063W,1158
YBL062W,1
YBL061C,3241
YBL060W,817
YBL059C-A,1000
YBL059W,623
YBL058W,3101
YBL057C,1744
YBL056W,3702
YBL055C,1611
YBL054W,3742
YBL053W,44
YBL052C,1340
YBL051C,4511
YBL050W,1849
YBL049W,98
YBL048W,33
YBL046W,875
YBL045C,6080
YBL044W,13
YBL043W,707
YBL042C,6571
YBL041W,2377
YBL040C,2406
YBL039W-B,121
YBL039C,8357
YBL039C-A,1925
YBL038W,1355
YBL037W,2218
YBL036C,1612
YBL035C,1446
YBL034C,2178
YBL033C,1484
YBL032W,3275
YBL031W,622
YBL030C,12087
YBL029C-A,778
YBL029W,494
YBL028C,1657
YBL027W,11996
YBL026W,1278
YBL025W,442
YBL024W,6015
YBL023C,2459
YBL022C,5182
YBL021C,410
YBL020W,3840
YBL019W,559
YBL018C,694
YBL017C,8895
YBL016W,2656
YBL015W,1440
YBL014C,2090
YBL013W,325
YBL012C,2
YBL011W,4008
YBL010C,523
YBL009W,1979
YBL008W-A,35
YBL008W,1723
YBL007C,10457
YBL006C,1628
YBL006W-A,27
YBL005W,1656
YBL005W-B,28778
YBL005W-A,14904
YBL004W,16089
YBL003C,3465
YBL002W,6740
YBL001C,1378
YBR001C,1539
YBR002C,1751
YBR003W,2173
YBR004C,2548
YBR005W,1180
YBR006W,730
YBR007C,1612
YBR008C,1330
YBR009C,5893
YBR010W,3716
YBR011C,13847
YBR012C,0
YBR012W-A,3966
YBR013C,1
YBR014C,1486
YBR015C,8154
YBR016W,2133
YBR017C,6014
YBR018C,30
YBR019C,84
YBR020W,147
YBR021W,2189
YBR022W,643
YBR023C,8202
YBR024W,443
YBR025C,10307
YBR026C,1835
YBR027C,125
YBR028C,2213
YBR029C,3638
YBR030W,1296
YBR031W,10997
YBR032W,5
YBR033W,163
YBR034C,4410
YBR035C,1852
YBR036C,5571
YBR037C,1052
YBR038W,4772
YBR039W,4318
YBR040W,517
YBR041W,4129
YBR042C,1407
YBR043C,1525
YBR044C,1335
YBR045C,334
YBR046C,555
YBR047W,80
YBR048W,11519
YBR049C,3488
YBR050C,76
YBR051W,7
YBR052C,1654
YBR053C,1300
YBR054W,3973
YBR055C,2100
YBR056W,1483
YBR056W-A,367
YBR056C-B,19
YBR057C,1066
YBR058C,2935
YBR058C-A,1164
YBR059C,4153
YBR060C,1677
YBR061C,1370
YBR062C,479
YBR063C,550
YBR064W,2
YBR065C,910
YBR066C,659
YBR067C,5836
YBR068C,14416
YBR069C,7288
YBR070C,783
YBR071W,1916
YBR072W,197
YBR072C-A,25
YBR073W,4253
YBR074W,6607
YBR076W,23
YBR076C-A,657
YBR077C,964
YBR079C,10799
YBR080C,3829
YBR081C,2758
YBR082C,7668
YBR083W,2309
YBR084W,9480
YBR084C-A,12322
YBR085W,260
YBR085C-A,1838
YBR086C,18495
YBR087W,1580
YBR088C,2026
YBR089W,6
YBR089C-A,2057
YBR090C,1738
YBR091C,452
YBR092C,6321
YBR093C,4419
YBR094W,2116
YBR095C,1017
YBR096W,2591
YBR097W,1722
YBR098W,447
YBR099C,40
YBR101C,2341
YBR102C,1404
YBR103W,1155
YBR103C-A,5
YBR104W,1465
YBR105C,2597
YBR106W,5505
YBR107C,351
YBR108W,1403
YBR109C,3134
YBR109W-A,123
YBR110W,2700
YBR111C,1917
YBR111W-A,441
YBR112C,5461
YBR113W,59
YBR114W,1098
YBR115C,8335
YBR116C,73
YBR117C,200
YBR118W,45087
YBR119W,599
YBR120C,556
YBR121C,12672
YBR121C-A,1010
YBR122C,1742
YBR123C,983
YBR124W,3
YBR125C,1901
YBR126C,4843
YBR126W-A,1801
YBR126W-B,1773
YBR127C,13338
YBR128C,168
YBR129C,1017
YBR130C,1792
YBR131W,953
YBR131C-A,0
YBR132C,1037
YBR133C,4319
YBR134W,14
YBR135W,1902
YBR136W,3016
YBR137W,1069
YBR138C,640
YBR139W,4319
YBR141C,695
YBR141W-A,28
YBR142W,4474
YBR143C,8129
YBR144C,33
YBR145W,842
YBR146W,2962
YBR147W,90
YBR148W,142
YBR149W,3166
YBR150C,933
YBR151W,4047
YBR152W,422
YBR153W,756
YBR154C,2873
YBR155W,1796
YBR156C,826
YBR157C,1059
YBR158W,7876
YBR159W,3058
YBR160W,1832
YBR161W,935
YBR162C,14882
YBR162W-A,1986
YBR163W,1173
YBR164C,1759
YBR165W,1018
YBR166C,1971
YBR167C,372
YBR168W,885
YBR169C,1201
YBR170C,1497
YBR171W,2485
YBR172C,3990
YBR173C,2848
YBR174C,12
YBR175W,1410
YBR176W,684
YBR177C,3319
YBR178W,15
YBR179C,1618
YBR180W,32
YBR181C,5958
YBR182C,578
YBR182C-A,68
YBR183W,1409
YBR184W,199
YBR185C,1151
YBR186W,30
YBR187W,4226
YBR188C,481
YBR189W,12657
YBR190W,719
YBR191W,9549
YBR191W-A,513
YBR192W,1235
YBR193C,809
YBR194W,418
YBR195C,928
YBR196C,26887
YBR196C-A,61
YBR196C-B,90
YBR197C,767
YBR198C,2187
YBR199W,3708
YBR200W,1955
YBR200W-A,0
YBR201W,748
YBR201C-A,385
YBR202W,3891
YBR203W,1336
YBR204C,741
YBR205W,3902
YBR206W,1434
YBR207W,2867
YBR208C,5203
YBR209W,8
YBR210W,1192
YBR211C,647
YBR212W,4222
YBR213W,499
YBR214W,2538
YBR215W,1200
YBR216C,1458
YBR217W,382
YBR218C,11242
YBR219C,671
YBR220C,2640
YBR221C,9374
YBR221W-A,0
YBR222C,4172
YBR223C,587
YBR223W-A,0
YBR224W,119
YBR225W,1802
YBR226C,30
YBR227C,995
YBR228W,464
YBR229C,4544
YBR230C,1904
YBR230W-A,353
YBR231C,301
YBR232C,5
YBR233W,1091
YBR233W-A,865
YBR234C,4769
YBR235W,2312
YBR236C,1471
YBR237W,968
YBR238C,8117
YBR239C,1644
YBR240C,218
YBR241C,1191
YBR242W,1722
YBR243C,2818
YBR244W,627
YBR245C,4193
YBR246W,2121
YBR247C,3375
YBR248C,2248
YBR249C,8558
YBR250W,121
YBR251W,940
YBR252W,1767
YBR253W,646
YBR254C,985
YBR255W,702
YBR255C-A,446
YBR256C,1796
YBR257W,667
YBR258C,464
YBR259W,874
YBR260C,1665
YBR261C,1443
YBR262C,1083
YBR263W,7970
YBR264C,539
YBR265W,2269
YBR267W,2878
YBR266C,10
YBR268W,1366
YBR269C,758
YBR270C,402
YBR271W,1150
YBR272C,989
YBR273C,1189
YBR274W,1447
YBR275C,2838
YBR276C,2665
YBR277C,10
YBR278W,433
YBR279W,2262
YBR280C,514
YBR281C,2574
YBR282W,727
YBR283C,11668
YBR284W,202
YBR285W,16
YBR286W,16123
YBR287W,6664
YBR288C,1201
YBR289W,1821
YBR290W,1313
YBR291C,824
YBR292C,175
YBR293W,1043
YBR294W,111
YBR295W,1686
YBR296C,374
YBR296C-A,7
YBR297W,604
YBR298C,394
YBR298C-A,0
YBR299W,64
YBR300C,31
YBR301W,44
YBR302C,1395
YDR293C,7994
YDL183C,208
YDL112W,6490
YDL033C,1292
YDR036C,1733
YDR100W,1017
YDR166C,2535
YDR351W,2592
YDR420W,8216
YDR496C,4291
YDL248W,1154
YDL247W-A,82
YDL247W,256
YDL246C,1
YDL245C,12
YDL244W,86
YDL243C,423
YDL242W,20
YDL241W,540
YDL240C-A,2
YDL240W,2027
YDL239C,462
YDL238C,455
YDL237W,2805
YDL236W,2473
YDL235C,2313
YDL234C,1665
YDL233W,658
YDL232W,692
YDL231C,3609
YDL230W,686
YDL229W,44185
YDL228C,4
YDL227C,1843
YDL226C,2660
YDL225W,2313
YDL224C,4423
YDL223C,775
YDL222C,218
YDL221W,24
YDL220C,1330
YDL219W,1227
YDL218W,237
YDL217C,966
YDL216C,487
YDL215C,1856
YDL214C,89
YDL213C,1845
YDL212W,4630
YDL211C,745
YDL210W,223
YDL209C,528
YDL208W,2858
YDL207W,1302
YDL206W,1380
YDL205C,3757
YDL204W,833
YDL203C,2038
YDL202W,1081
YDL201W,2216
YDL200C,506
YDL199C,401
YDL198C,3780
YDL197C,913
YDL196W,29
YDL195W,18277
YDL194W,689
YDL193W,1137
YDL192W,5763
YDL191W,9647
YDL190C,4588
YDL189W,1355
YDL188C,3304
YDL187C,134
YDL186W,29
YDL185C-A,1
YDL185W,24763
YDL184C,2617
YDL182W,3011
YDL181W,2436
YDL180W,1984
YDL179W,1660
YDL178W,2425
YDL177C,313
YDL176W,917
YDL175C,454
YDL174C,3096
YDL173W,1607
YDL172C,46
YDL171C,28560
YDL170W,936
YDL169C,94
YDL168W,2429
YDL167C,4278
YDL166C,900
YDL165W,773
YDL164C,1716
YDL163W,1
YDL162C,6
YDL161W,4113
YDL160C-A,334
YDL160C,5199
YDL159W-A,0
YDL159W,952
YDL159C-B,2
YDL158C,236
YDL157C,982
YDL156W,645
YDL155W,1620
YDL154W,537
YDL153C,2373
YDL152W,3
YDL151C,0
YDL150W,2108
YDL149W,641
YDL148C,3289
YDL147W,4853
YDL146W,881
YDL145C,16318
YDL144C,2817
YDL143W,5493
YDL142C,702
YDL141W,2604
YDL140C,23717
YDL139C,240
YDL138W,2169
YDL137W,3874
YDL136W,4114
YDL135C,1904
YDL134C,2892
YDL133C-A,2017
YDL133W,1029
YDL132W,3567
YDL131W,4444
YDL130W-A,696
YDL130W,8875
YDL129W,958
YDL128W,6764
YDL127W,1049
YDL126C,13425
YDL125C,3913
YDL124W,4363
YDL123W,1264
YDL122W,4919
YDL121C,1937
YDL120W,1496
YDL119C,608
YDL118W,9
YDL117W,3013
YDL116W,2498
YDL115C,749
YDL114W-A,10
YDL114W,20
YDL113C,782
YDL111C,2818
YDL110C,966
YDL109C,513
YDL108W,795
YDL107W,566
YDL106C,935
YDL105W,465
YDL104C,1260
YDL103C,1685
YDL102W,2571
YDL101C,1317
YDL100C,5420
YDL099W,1092
YDL098C,532
YDL097C,3096
YDL096C,3
YDL095W,13811
YDL094C,19
YDL093W,2345
YDL092W,1790
YDL091C,1057
YDL090C,972
YDL089W,857
YDL088C,2466
YDL087C,432
YDL086W,3748
YDL086C-A,88
YDL085C-A,595
YDL085W,63
YDL084W,9630
YDL083C,9026
YDL082W,8140
YDL081C,9899
YDL080C,1411
YDL079C,217
YDL078C,3033
YDL077C,1456
YDL076C,1292
YDL075W,6928
YDL074C,2971
YDL073W,1998
YDL072C,3120
YDL071C,60
YDL070W,4170
YDL069C,263
YDL068W,27
YDL067C,2747
YDL066W,8433
YDL065C,942
YDL064W,1380
YDL063C,3204
YDL062W,10
YDL061C,3886
YDL060W,4584
YDL059C,322
YDL058W,4213
YDL057W,287
YDL056W,2090
YDL055C,16007
YDL054C,1738
YDL053C,1376
YDL052C,3800
YDL051W,3562
YDL050C,0
YDL049C,360
YDL048C,9753
YDL047W,2255
YDL046W,6029
YDL045W-A,1052
YDL045C,1284
YDL044C,543
YDL043C,686
YDL042C,1968
YDL041W,18
YDL040C,5483
YDL039C,11172
YDL037C,5878
YDL036C,1322
YDL035C,2914
YDL034W,1
YDL032W,6
YDL031W,4496
YDL030W,1199
YDL029W,3214
YDL028C,1365
YDL027C,1269
YDL026W,19
YDL025C,1423
YDL025W-A,33
YDL024C,97
YDL022C-A,8
YDL023C,51
YDL022W,3728
YDL021W,98
YDL020C,2366
YDL019C,5442
YDL018C,1100
YDL017W,566
YDL016C,552
YDL015C,5921
YDL014W,10407
YDL013W,1306
YDL012C,2757
YDL011C,2
YDL010W,934
YDL009C,28
YDL008W,870
YDL007C-A,0
YDL007W,3255
YDL006W,1237
YDL005C,1023
YDL004W,3255
YDL003W,2016
YDL002C,880
YDL001W,1139
YDR001C,2567
YDR002W,3631
YDR003W,775
YDR003W-A,279
YDR004W,822
YDR005C,1474
YDR006C,5064
YDR007W,287
YDR008C,73
YDR009W,154
YDR010C,5
YDR011W,15098
YDR012W,29372
