trx,cds,utr5,utr3,
YBR094W,33,33,0,NA
YBR096W,52,48,0,0
YBR097W,13,13,NA,0
YBR098W,8,8,0,0
YBR103W,17,17,0,0
YBR104W,24,24,0,0
YBR106W,285,249,0,0
YBR108W,63,63,0,0
YBR110W,30,28,0,0
YBR111W-A,26,23,0,0
YBR114W,20,18,1,0
YBR118W,7570,7241,0,2
YBR119W,25,23,0,0
YBR131W,4,4,0,0
YBR135W,74,62,1,0
YBR136W,14,14,NA,0
YBR137W,47,46,NA,0
YBR139W,86,82,NA,2
YBR141W-A,0,0,0,0
YBR142W,45,39,0,0
YBR145W,22,19,0,0
YBR146W,90,86,2,0
YBR147W,7,7,0,0
YBR148W,1,1,NA,0
YBR149W,182,172,1,0
YBR151W,58,52,2,0
YBR152W,4,4,0,NA
YBR153W,16,16,0,0
YBR155W,37,32,1,0
YBR158W,45,41,2,0
YBR159W,92,80,0,1
YBR160W,76,71,2,0
YBR161W,18,17,0,0
YBR162W-A,96,83,0,0
YBR163W,2,2,0,0
YBR165W,11,10,0,0
YBR168W,4,4,0,NA
YBR171W,63,60,0,0
YBR175W,3,3,NA,0
YBR176W,25,20,1,0
YBR178W,0,0,0,0
YBR183W,23,16,0,0
YBR184W,2,2,NA,0
YBR186W,2,2,0,NA
YBR187W,41,32,3,0
YBR189W,1033,891,0,0
YBR192W,37,33,1,1
YBR194W,12,11,0,0
YBR199W,55,55,0,0
YBR200W,42,41,0,0
YBR201W,13,11,1,0
YBR202W,69,66,0,0
YBR203W,16,14,0,0
YBR205W,67,60,0,NA
YBR207W,33,32,0,0
YBR210W,14,13,0,0
YBR212W,74,71,3,0
YBR213W,9,9,0,0
YBR214W,113,108,0,0
YBR215W,32,32,0,0
YBR217W,6,6,0,0
YBR225W,25,25,NA,0
YBR228W,3,3,NA,0
YBR230W-A,26,21,0,0
YBR233W,19,17,0,0
YBR233W-A,8,6,0,0
YBR235W,25,25,0,0
YBR237W,4,4,0,0
YBR242W,54,47,0,0
YBR244W,5,3,0,0
YBR246W,15,13,0,0
YBR250W,0,0,0,0
YBR251W,47,43,0,0
YBR252W,80,65,0,0
YBR253W,16,14,0,0
YBR255W,13,13,0,0
YBR257W,10,9,0,0
YBR259W,9,9,0,0
YBR263W,121,116,0,0
YBR265W,36,32,0,0
YBR267W,66,64,0,0
YBR268W,40,35,0,0
YBR271W,13,13,0,0
YBR274W,21,21,0,0
YBR278W,15,14,0,0
YBR279W,41,38,0,0
YBR282W,63,57,1,0
YBR284W,2,2,0,NA
YBR285W,3,3,NA,0
YBR286W,395,379,1,0
YBR287W,61,59,0,0
YBR289W,107,107,0,0
YBR290W,34,30,0,0
YBR293W,1,1,NA,0
YBR294W,0,0,0,0
YBR295W,7,7,NA,0
YBR297W,9,9,0,0
YBR299W,9,9,0,0
YCL064C,13,13,0,0
YCL061C,52,51,0,NA
YCL059C,122,109,0,0
YCL057C-A,155,124,0,0
YCL056C,3,3,NA,0
YCL052C,54,47,0,0
YCL050C,432,398,2,0
YCL049C,92,86,0,0
YCL047C,59,57,NA,0
YCL045C,261,248,0,0
YCL044C,56,55,0,0
YCL043C,1091,1072,NA,0
YCL041C,61,46,0,NA
YCL038C,34,34,0,0
YCL037C,318,305,0,2
YCL035C,312,261,0,1
YCL033C,88,80,NA,0
YCL031C,100,93,0,0
YCL030C,301,291,0,0
YCL029C,65,64,0,0
YCL026C-B,78,70,0,1
YCL026C-A,0,0,0,0
YCL025C,251,248,0,0
YCL017C,215,204,0,0
YCL016C,18,18,0,0
YCL012C,46,35,0,0
YCL011C,128,125,0,0
YCL010C,28,25,0,0
YCL009C,543,487,0,0
YCL008C,49,47,NA,1
YCL002C,11,11,0,0
YCR002C,201,186,0,0
YCR004C,297,264,8,0
YCR005C,313,299,0,0
YCR007C,3,3,0,0
YCR009C,176,152,2,0
YCR010C,0,0,0,0
YCR011C,93,88,2,0
YCR014C,3,3,NA,0
YCR015C,20,20,0,0
YCR017C,144,137,0,0
YCR020C,1,0,NA,0
YCR020C-A,37,34,0,0
YCR021C,5,5,0,0
YCR022C,0,0,0,0
YCR023C,21,21,0,0
YCR024C,50,49,0,0
YCR024C-B,2,1,0,0
YCR024C-A,244,113,28,NA
YCR025C,0,0,0,0
YCR026C,76,73,0,0
YCR027C,21,19,2,0
YCR028C,34,29,1,0
YCR028C-A,218,194,0,1
YCR030C,215,209,2,0
YCR031C,1236,1101,0,1
YCR035C,89,86,0,0
YCR037C,93,93,NA,0
YCR038C,10,10,NA,0
YCR042C,65,65,0,NA
YCR043C,84,70,1,0
YCR044C,45,45,0,0
YCR045C,0,0,0,0
YCR046C,120,105,NA,0
YCR047C,77,72,0,0
YCR054C,42,39,0,0
YCR057C,96,92,0,0
YCR059C,48,46,0,0
YCR064C,0,0,0,0
YCR067C,135,133,1,0
YCR071C,91,81,0,0
