trx,cds,utr5,utr3,
YDL227C,171,166,NA,2
YDL226C,440,336,1,66
YDL224C,477,389,48,25
YDL222C,51,50,NA,NA
YDL220C,159,141,NA,15
YDL217C,130,92,23,1
YDL216C,44,37,NA,6
YDL215C,482,452,NA,20
YDL214C,37,31,1,4
YDL213C,186,160,0,11
YDL211C,45,38,0,3
YDL209C,52,40,0,8
YDL205C,152,115,16,15
YDL203C,209,168,21,16
YDL200C,80,66,NA,6
YDL199C,88,76,1,6
YDL198C,587,493,7,52
YDL197C,94,83,0,8
YDL190C,508,434,33,26
YDL188C,482,391,45,28
YDL187C,18,5,11,NA
YDL184C,4764,388,60,3321
YDL183C,36,32,1,1
YDL177C,49,33,2,12
YDL175C,75,55,0,14
YDL174C,530,509,4,NA
YDL171C,4245,4017,186,NA
YDL169C,33,22,NA,5
YDL167C,257,217,7,24
YDL166C,104,82,4,12
YDL164C,235,192,1,30
YDL160C-A,81,34,0,38
YDL160C,676,474,61,119
YDL157C,241,163,2,28
YDL153C,197,182,0,10
YDL148C,270,260,0,NA
YDL145C,2129,1898,121,74
YDL144C,224,200,0,20
YDL142C,94,80,5,4
YDL140C,2203,2137,NA,41
YDL139C,37,30,NA,4
YDL135C,313,206,1,87
YDL134C,579,418,122,22
YDL133C-A,4467,388,0,3432
YDL126C,3485,3264,50,70
YDL125C,563,400,NA,104
YDL121C,184,132,0,40
YDL119C,118,93,3,16
YDL115C,68,56,1,8
YDL113C,130,108,3,8
YDL111C,230,188,5,11
YDL110C,275,135,16,86
YDL109C,79,56,NA,22
YDL106C,165,149,3,9
YDL104C,39,36,0,2
YDL103C,338,306,9,10
YDL101C,235,209,0,11
YDL100C,1008,850,19,52
YDL098C,56,43,0,11
YDL097C,751,659,9,41
YDL094C,3,3,0,0
YDL091C,140,117,9,9
YDL090C,110,93,0,10
YDL088C,298,249,17,28
YDL087C,59,42,0,15
YDL086C-A,7,1,3,3
YDL085C-A,114,50,12,34
YDL083C,3174,2083,0,689
YDL081C,3422,1618,392,776
YDL080C,143,123,NA,14
YDL079C,26,24,NA,1
YDL078C,684,573,19,52
YDL077C,218,213,NA,1
YDL076C,125,91,14,16
YDL074C,293,264,7,13
YDL072C,836,612,48,101
YDL069C,46,37,5,2
YDL067C,443,111,22,205
YDL065C,85,77,0,3
YDL063C,262,234,13,8
YDL061C,1945,742,1,773
YDL059C,23,18,2,NA
YDL055C,4653,3612,356,512
YDL054C,185,167,3,6
YDL053C,390,230,70,57
YDL052C,306,268,3,23
YDL049C,50,30,5,11
YDL048C,85,77,0,4
YDL045C,116,95,6,9
YDL044C,81,71,2,4
YDL043C,72,44,2,22
YDL042C,152,132,5,6
YDL040C,912,875,3,23
YDL039C,26,22,NA,3
YDL036C,105,84,NA,13
YDL035C,265,242,NA,18
YDL033C,68,58,0,7
YDL028C,189,147,12,23
YDL027C,220,186,4,21
YDL025C,205,170,15,8
YDL024C,18,16,NA,2
YDL020C,349,276,28,29
YDL019C,584,569,NA,7
YDL018C,159,129,6,8
YDL015C,542,494,5,NA
YDL012C,191,116,0,49
YDL009C,16,6,10,NA
YDL005C,197,153,0,35
YDL002C,107,62,6,29
YDR001C,991,926,NA,35
YDR005C,160,124,13,15
YDR006C,337,305,15,10
YDR008C,18,2,NA,16
