trx,cds,utr5,utr3,
YBR192W,208,134,33,31
YBR194W,91,44,8,25
YBR199W,624,522,40,37
YBR200W,356,301,6,35
YBR201W,94,65,16,5
YBR202W,464,410,6,32
YBR203W,466,419,20,18
YBR205W,426,388,7,NA
YBR207W,378,343,5,18
YBR210W,84,64,3,0
YBR212W,597,428,104,49
YBR213W,50,30,1,17
YBR214W,536,461,15,30
YBR215W,188,175,2,4
YBR217W,139,75,8,43
YBR225W,261,243,NA,18
YBR228W,89,76,NA,9
YBR230W-A,144,68,4,45
YBR233W,146,116,9,9
YBR233W-A,49,23,2,16
YBR235W,368,348,6,6
YBR237W,242,234,0,4
YBR242W,200,133,29,13
YBR244W,62,48,1,8
YBR246W,309,268,1,18
YBR250W,15,9,5,NA
YBR251W,301,253,2,14
YBR252W,229,174,0,20
YBR253W,131,98,12,3
YBR255W,170,157,0,8
YBR257W,110,91,7,2
YBR259W,160,146,3,3
YBR263W,394,364,0,10
YBR265W,297,243,1,33
YBR267W,200,169,0,12
YBR268W,142,86,0,35
YBR271W,137,117,1,8
YBR274W,218,203,2,2
YBR278W,120,89,1,22
YBR279W,385,342,5,15
YBR282W,254,144,17,56
YBR284W,124,107,15,NA
YBR285W,13,8,NA,4
YBR286W,1854,1707,4,47
YBR287W,647,568,12,34
YBR289W,474,471,0,0
YBR290W,241,206,0,25
YBR293W,315,270,NA,42
YBR294W,10,10,NA,0
YBR295W,442,428,NA,10
YBR297W,153,125,1,20
YBR299W,115,104,7,0
YCL064C,84,70,0,8
YCL061C,649,621,14,NA
YCL059C,653,513,22,67
YCL057C-A,769,541,19,21
YCL056C,123,111,NA,1
YCL052C,671,556,7,71
YCL050C,1342,1140,30,74
YCL049C,748,611,25,57
YCL047C,201,174,NA,14
YCL045C,1559,1434,30,30
YCL044C,451,371,14,49
YCL043C,5570,5301,NA,128
YCL041C,471,402,4,NA
YCL038C,309,289,5,6
YCL037C,2183,1558,77,497
YCL035C,1137,661,5,265
YCL033C,336,299,NA,21
YCL031C,673,575,10,44
YCL030C,2306,2140,26,77
YCL029C,322,220,6,85
YCL026C-B,92,68,3,8
YCL026C-A,2,0,NA,2
YCL025C,2936,2750,25,47
YCL017C,1161,1026,32,46
YCL016C,299,235,2,37
YCL012C,352,237,3,40
YCL011C,1177,1083,5,43
YCL010C,491,415,0,25
YCL009C,2497,1934,0,289
YCL008C,435,381,NA,37
YCL002C,307,238,0,42
YCR002C,1046,865,44,50
YCR004C,1422,955,144,174
YCR005C,2659,2251,61,186
YCR007C,203,104,78,9
YCR009C,972,767,34,112
YCR010C,4,4,NA,0
YCR011C,1468,1392,26,14
YCR014C,306,281,NA,16
YCR015C,242,216,0,12
YCR017C,1818,1685,12,69
YCR020C,177,144,NA,9
YCR020C-A,314,195,0,64
YCR021C,210,168,12,19
YCR022C,26,9,2,14
YCR023C,695,573,7,83
YCR024C,426,362,0,40
YCR024C-B,3094,1603,0,917
YCR024C-A,1712,495,859,NA
YCR025C,31,5,NA,24
YCR026C,878,745,26,77
YCR027C,362,188,31,118
YCR028C,509,412,16,60
YCR028C-A,897,468,57,212
