Geneid,xrn1_1
YJR135C,1180
YJR135W-A,936
YJR136C,3465
YJR137C,11253
YJR138W,8763
YJR139C,6470
YJR140C,8012
YJR140W-A,2
YJR141W,1350
YJR142W,2749
YJR143C,13636
YJR144W,2870
YJR145C,13857
YJR146W,391
YJR147W,3710
YJR148W,6324
YJR149W,2177
YJR150C,4
YJR151C,5427
YJR151W-A,0
YJR152W,4554
YJR153W,392
YJR154W,2202
YJR155W,2515
YJR156C,341
YJR157W,9
YJR158W,6
YJR159W,1529
YJR160C,115
YJR161C,3965
YJR162C,3
YBL047C,23697
YBR012W-B,8109
YBR078W,25736
YBR140C,27990
YBL113C,4267
YBL113W-A,3
YBL112C,718
YBL111C,3243
YBL109W,63
YBL108C-A,9
YBL108W,5
YBL107W-A,1
YBL107C,1777
YBL106C,3456
YBL105C,10414
YBL104C,5286
YBL103C,7300
YBL102W,4589
YBL101C,7578
YBL100W-C,22
YBL100W-B,11130
YBL100W-A,1546
YBL100C,4
YBL099W,14766
YBL098W,1259
YBL097W,2672
YBL096C,71
YBL095W,2745
YBL094C,112
YBL093C,2649
YBL092W,8808
YBL091C-A,665
YBL091C,4349
YBL090W,1742
YBL089W,5272
YBL088C,14125
YBL087C,7367
YBL086C,3747
YBL085W,11712
YBL084C,6423
YBL083C,2385
YBL082C,6400
YBL081W,14634
YBL080C,2028
YBL079W,20555
YBL078C,1340
YBL077W,0
YBL076C,23682
YBL075C,5064
YBL074C,2257
YBL073W,4
YBL072C,12982
YBL071C-B,276
YBL071W-A,2288
YBL071C,20
YBL070C,14
YBL069W,3915
YBL068W-A,1053
YBL068W,4411
YBL067C,7753
YBL066C,11562
YBL065W,28
YBL064C,2291
YBL063W,4334
YBL062W,6
YBL061C,7937
YBL060W,4366
YBL059C-A,2071
YBL059W,1317
YBL058W,6416
YBL057C,2982
YBL056W,7382
YBL055C,2970
YBL054W,7118
YBL053W,43
YBL052C,3926
YBL051C,13269
YBL050W,3791
YBL049W,203
YBL048W,73
YBL046W,2491
YBL045C,10230
YBL044W,28
YBL043W,2310
YBL042C,15401
YBL041W,4977
YBL040C,5614
YBL039W-B,513
YBL039C,11808
YBL039C-A,2818
YBL038W,3431
YBL037W,7112
YBL036C,2686
YBL035C,5019
YBL034C,7435
YBL033C,4367
YBL032W,5984
YBL031W,2663
YBL030C,12256
YBL029C-A,1783
YBL029W,2336
YBL028C,2762
YBL027W,11316
YBL026W,2212
YBL025W,2279
YBL024W,10964
YBL023C,6120
YBL022C,12307
YBL021C,1655
YBL020W,8920
YBL019W,3205
YBL018C,1172
YBL017C,16639
YBL016W,7054
YBL015W,3980
YBL014C,7072
YBL013W,1064
YBL012C,9
YBL011W,7337
YBL010C,2375
YBL009W,4410
YBL008W-A,67
YBL008W,4775
YBL007C,15034
YBL006C,4332
YBL006W-A,39
YBL005W,4410
YBL005W-B,16603
YBL005W-A,8093
YBL004W,27610
YBL003C,3513
YBL002W,9878
YBL001C,1455
YBR001C,4142
YBR002C,5101
YBR003W,5901
YBR004C,5762
YBR005W,2588
YBR006W,2206
YBR007C,6245
YBR008C,5202
YBR009C,8005
YBR010W,5039
YBR011C,11664
YBR012C,2
YBR012W-A,2309
YBR013C,4
YBR014C,2743
YBR015C,12375
YBR016W,3642
YBR017C,14547
YBR018C,320
YBR019C,294
YBR020W,1047
YBR021W,7141
YBR022W,1529
YBR023C,18254
YBR024W,1074
YBR025C,11689
YBR026C,3426
YBR027C,249
YBR028C,6416
YBR029C,8554
YBR030W,5786
YBR031W,10120
YBR032W,5
YBR033W,757
YBR034C,8268
YBR035C,2775
YBR036C,10001
YBR037C,3347
YBR038W,8599
YBR039W,6326
YBR040W,511
YBR041W,7301
YBR042C,3268
YBR043C,10832
YBR044C,4426
YBR045C,1089
YBR046C,1277
YBR047W,393
YBR048W,11147
YBR049C,7369
YBR050C,356
YBR051W,20
YBR052C,2129
YBR053C,3065
YBR054W,5461
YBR055C,7406
YBR056W,3301
YBR056W-A,994
YBR056C-B,71
YBR057C,4378
YBR058C,7490
YBR058C-A,1511
YBR059C,9767
YBR060C,4512
YBR061C,3770
YBR062C,1176
YBR063C,2776
YBR064W,6
YBR065C,4029
YBR066C,2398
YBR067C,6603
YBR068C,30237
YBR069C,13178
YBR070C,1863
YBR071W,8239
YBR072W,554
YBR072C-A,20
YBR073W,9756
YBR074W,13326
YBR076W,61
YBR076C-A,1694
YBR077C,3644
YBR079C,16008
YBR080C,8763
YBR081C,8335
YBR082C,9470
YBR083W,8525
YBR084W,14638
YBR084C-A,12319
YBR085W,433
YBR085C-A,3350
YBR086C,23928
YBR087W,3754
YBR088C,4802
YBR089W,9
YBR089C-A,3449
YBR090C,3114
YBR091C,1183
YBR092C,13210
YBR093C,3604
YBR094W,6563
YBR095C,3753
YBR096W,4281
YBR097W,7020
YBR098W,2907
YBR099C,287
YBR101C,5946
YBR102C,4856
YBR103W,3235
YBR103C-A,9
YBR104W,3155
YBR105C,7607
YBR106W,5872
YBR107C,1745
YBR108W,4046
YBR109C,3905
YBR109W-A,322
YBR110W,6118
YBR111C,2575
YBR111W-A,1096
YBR112C,14120
YBR113W,75
YBR114W,3823
YBR115C,17436
YBR116C,144
YBR117C,462
YBR118W,42232
YBR119W,2261
YBR120C,1282
YBR121C,13973
YBR121C-A,1056
YBR122C,3941
YBR123C,3385
YBR124W,25
YBR125C,5981
YBR126C,11194
YBR126W-A,1814
YBR126W-B,1767
YBR127C,14932
YBR128C,797
YBR129C,3430
YBR130C,4769
YBR131W,4290
YBR131C-A,1
YBR132C,4116
YBR133C,13129
YBR134W,33
YBR135W,3532
YBR136W,9041
YBR137W,1674
YBR138C,4353
YBR139W,9306
YBR141C,1857
YBR141W-A,239
YBR142W,7274
YBR143C,11973
YBR144C,10
YBR145W,2946
YBR146W,5353
YBR147W,693
YBR148W,391
YBR149W,5251
YBR150C,5265
YBR151W,5825
YBR152W,2089
YBR153W,3337
YBR154C,5026
YBR155W,2331
YBR156C,3890
YBR157C,2487
YBR158W,20605
YBR159W,4212
YBR160W,5617
YBR161W,3991
YBR162C,12920
YBR162W-A,2391
YBR163W,4887
YBR164C,2298
YBR165W,5702
YBR166C,5094
YBR167C,1482
YBR168W,3981
YBR169C,2798
YBR170C,5940
YBR171W,3574
YBR172C,13467
YBR173C,5673
YBR174C,56
YBR175W,5569
YBR176W,2141
YBR177C,6655
YBR178W,25
YBR179C,5225
YBR180W,161
YBR181C,5987
YBR182C,2230
YBR182C-A,53
YBR183W,3463
YBR184W,1474
YBR185C,3147
YBR186W,131
YBR187W,5746
YBR188C,1207
YBR189W,12307
YBR190W,826
YBR191W,10195
YBR191W-A,618
YBR192W,3060
YBR193C,2576
YBR194W,1014
YBR195C,3357
YBR196C,25355
YBR196C-A,147
YBR196C-B,240
YBR197C,3291
YBR198C,5875
YBR199W,7968
YBR200W,4913
YBR200W-A,0
YBR201W,1775
YBR201C-A,811
YBR202W,11605
YBR203W,6944
YBR204C,2019
YBR205W,4777
YBR206W,1624
YBR207W,8010
YBR208C,15492
YBR209W,23
YBR210W,1971
YBR211C,3850
YBR212W,9979
YBR213W,1485
YBR214W,7105
YBR215W,3927
YBR216C,6603
YBR217W,1935
YBR218C,16609
YBR219C,1169
YBR220C,5097
YBR221C,9249
YBR221W-A,2
YBR222C,7661
YBR223C,3967
YBR223W-A,0
YBR224W,767
YBR225W,8500
YBR226C,43
YBR227C,2919
YBR228W,2235
YBR229C,8022
YBR230C,3378
YBR230W-A,434
YBR231C,820
YBR232C,13
YBR233W,4121
YBR233W-A,1428
YBR234C,6447
YBR235W,4723
YBR236C,3102
YBR237W,3964
YBR238C,14255
YBR239C,7383
YBR240C,1286
YBR241C,2642
YBR242W,3498
YBR243C,3463
YBR244W,1838
YBR245C,9111
YBR246W,7700
YBR247C,5634
YBR248C,5935
YBR249C,11965
YBR250W,801
YBR251W,3170
YBR252W,2753
YBR253W,2037
YBR254C,2783
YBR255W,2734
YBR255C-A,1214
YBR256C,3798
YBR257W,2432
YBR258C,1438
YBR259W,4401
YBR260C,4910
YBR261C,2546
YBR262C,3173
YBR263W,9254
YBR264C,1229
YBR265W,5457
YBR267W,5171
YBR266C,4
YBR268W,2211
YBR269C,1920
YBR270C,3154
YBR271W,2414
YBR272C,3041
YBR273C,3047
YBR274W,3664
YBR275C,9445
YBR276C,4725
YBR277C,82
YBR278W,1828
YBR279W,5921
YBR280C,2627
YBR281C,5564
YBR282W,1559
YBR283C,14075
YBR284W,2001
YBR285W,77
YBR286W,17400
YBR287W,11731
YBR288C,3419
YBR289W,6423
YBR290W,3116
YBR291C,3128
YBR292C,526
YBR293W,6441
YBR294W,300
YBR295W,10969
YBR296C,1006
YBR296C-A,9
YBR297W,2608
YBR298C,6509
YBR298C-A,8
YBR299W,408
YBR300C,64
YBR301W,84
YBR302C,2193
YDR293C,22521
YDL183C,936
YDL112W,12324
YDL033C,6232
YDR036C,3248
YDR100W,1934
YDR166C,7071
YDR351W,10648
YDR420W,22677
YDR496C,9058
YDL248W,2299
YDL247W-A,286
YDL247W,778
YDL246C,13
YDL245C,46
YDL244W,280
YDL243C,2180
YDL242W,155
YDL241W,1346
YDL240C-A,0
YDL240W,6914
YDL239C,3083
YDL238C,2102
YDL237W,5058
YDL236W,4591
YDL235C,4133
YDL234C,5048
YDL233W,1961
YDL232W,1139
YDL231C,17082
YDL230W,1967
YDL229W,39063
YDL228C,3
YDL227C,6868
YDL226C,4411
YDL225W,5143
YDL224C,15583
YDL223C,4355
YDL222C,596
YDL221W,89
YDL220C,4521
YDL219W,2094
YDL218W,607
YDL217C,2722
YDL216C,2534
YDL215C,12125
YDL214C,697
YDL213C,2792
YDL212W,6269
YDL211C,4620
YDL210W,354
YDL209C,2162
YDL208W,3889
YDL207W,3835
YDL206W,5553
YDL205C,8267
YDL204W,6412
YDL203C,6248
YDL202W,2225
YDL201W,3799
YDL200C,1161
YDL199C,2086
YDL198C,6376
YDL197C,5710
YDL196W,151
YDL195W,25474
YDL194W,2430
YDL193W,2565
YDL192W,5925
YDL191W,8981
YDL190C,11799
YDL189W,3367
YDL188C,7096
YDL187C,287
YDL186W,106
YDL185C-A,2
YDL185W,23225
YDL184C,2067
YDL182W,5165
YDL181W,2782
YDL180W,6584
YDL179W,6704
YDL178W,4704
YDL177C,1283
YDL176W,4778
YDL175C,1949
YDL174C,5965
YDL173W,4347
YDL172C,69
YDL171C,26712
YDL170W,4380
YDL169C,374
YDL168W,3660
YDL167C,10470
YDL166C,1504
YDL165W,1641
YDL164C,5756
YDL163W,1
YDL162C,79
YDL161W,7175
YDL160C-A,560
YDL160C,19297
YDL159W-A,2
YDL159W,3721
YDL159C-B,8
YDL158C,254
YDL157C,1116
YDL156W,2733
YDL155W,5880
YDL154W,2636
YDL153C,2510
YDL152W,10
YDL151C,3
YDL150W,4489
YDL149W,3225
YDL148C,6630
YDL147W,10484
YDL146W,2909
YDL145C,24437
YDL144C,4611
YDL143W,9594
YDL142C,3817
YDL141W,6518
YDL140C,36845
YDL139C,976
YDL138W,7724
YDL137W,4739
YDL136W,4214
YDL135C,2725
YDL134C,7528
YDL133C-A,2113
YDL133W,5090
YDL132W,10775
YDL131W,8439
YDL130W-A,1570
YDL130W,7789
YDL129W,3541
YDL128W,8751
YDL127W,3989
YDL126C,17012
YDL125C,8024
YDL124W,6834
YDL123W,3160
YDL122W,10821
YDL121C,2999
YDL120W,2188
YDL119C,1819
YDL118W,10
YDL117W,11509
YDL116W,8296
YDL115C,2583
YDL114W-A,51
YDL114W,47
YDL113C,4123
YDL111C,6321
YDL110C,3719
YDL109C,4766
YDL108W,2687
YDL107W,2132
YDL106C,5299
YDL105W,2426
YDL104C,2234
YDL103C,3120
YDL102W,6788
YDL101C,4499
YDL100C,7231
YDL099W,1954
YDL098C,1384
YDL097C,5902
YDL096C,14
YDL095W,18217
YDL094C,229
YDL093W,5579
YDL092W,2780
YDL091C,3194
YDL090C,2531
YDL089W,1946
YDL088C,8091
YDL087C,2114
YDL086W,5722
YDL086C-A,111
YDL085C-A,688
YDL085W,313
YDL084W,11482
YDL083C,8884
YDL082W,8618
YDL081C,9347
YDL080C,5147
YDL079C,843
YDL078C,4307
YDL077C,5803
YDL076C,3829
YDL075W,5930
YDL074C,8768
YDL073W,6800
YDL072C,5019
YDL071C,122
YDL070W,8640
YDL069C,1000
YDL068W,30
YDL067C,3753
YDL066W,10313
YDL065C,2018
YDL064W,2313
YDL063C,6511
YDL062W,21
YDL061C,3509
YDL060W,8728
YDL059C,1013
YDL058W,9969
YDL057W,1246
YDL056W,8031
YDL055C,23118
YDL054C,4287
YDL053C,3094
YDL052C,7210
YDL051W,5739
YDL050C,1
YDL049C,993
YDL048C,8979
YDL047W,6838
YDL046W,6341
YDL045W-A,2322
YDL045C,3177
YDL044C,3299
YDL043C,1989
YDL042C,5280
YDL041W,28
YDL040C,10435
YDL039C,5093
YDL037C,869
YDL036C,2756
YDL035C,7074
YDL034W,26
YDL032W,23
YDL031W,7744
YDL030W,3238
YDL029W,5887
YDL028C,6520
YDL027C,3860
YDL026W,49
YDL025C,5777
YDL025W-A,37
YDL024C,403
