Geneid,WT_1
YJL030W,518
YJL029C,2557
YJL028W,9
YJL027C,6
YJL025W,896
YJL024C,1078
YJL023C,278
YJL022W,8
YJL020C,7334
YJL020W-A,2
YJL019W,1562
YJL016W,2158
YJL015C,18
YJL014W,5807
YJL013C,730
YJL012C,9581
YJL011C,463
YJL010C,2955
YJL009W,9
YJL008C,4937
YJL007C,2
YJL006C,529
YJL005W,5027
YJL004C,1076
YJL003W,278
YJL002C,8526
YJL001W,3048
YJR001W,3900
YJR002W,3043
YJR003C,1639
YJR004C,1216
YJR005W,1659
YJR005C-A,2
YJR006W,1521
YJR007W,5363
YJR008W,362
YJR009C,24485
YJR010W,1836
YJR010C-A,495
YJR011C,195
YJR012C,326
YJR013W,1818
YJR014W,2102
YJR015W,7487
YJR016C,16048
YJR017C,1653
YJR018W,41
YJR019C,900
YJR020W,54
YJR021C,412
YJR022W,264
YJR023C,70
YJR024C,2511
YJR025C,2059
YJR027W,11060
YJR026W,2081
YJR029W,12266
YJR028W,5051
YJR030C,1079
YJR031C,2648
YJR032W,1498
YJR033C,1796
YJR034W,365
YJR035W,926
YJR036C,284
YJR037W,0
YJR038C,11
YJR039W,754
YJR040W,2150
YJR041C,3861
YJR042W,2809
YJR043C,1022
YJR044C,2293
YJR045C,17516
YJR046W,1972
YJR047C,110
YJR048W,2842
YJR049C,1066
YJR050W,656
YJR051W,1532
YJR052W,783
YJR053W,597
YJR054W,1393
YJR055W,219
YJR056C,786
YJR057W,918
YJR058C,699
YJR059W,2169
YJR060W,1466
YJR061W,522
YJR062C,1099
YJR063W,1813
YJR064W,5673
YJR065C,4571
YJR066W,4780
YJR067C,418
YJR068W,1717
YJR069C,1431
YJR070C,4298
YJR071W,4
YJR072C,1948
YJR073C,1520
YJR074W,955
YJR075W,3345
YJR076C,2509
YJR077C,7551
YJR078W,547
YJR079W,103
YJR080C,1338
YJR082C,850
YJR083C,473
YJR084W,737
YJR085C,2053
YJR086W,392
YJR087W,193
YJR088C,1781
YJR089W,1040
YJR090C,3046
YJR091C,5608
YJR092W,2612
YJR093C,995
YJR094C,236
YJR094W-A,4502
YJR095W,25
YJR096W,561
YJR097W,455
YJR098C,473
YJR099W,945
YJR100C,748
YJR101W,1554
YJR102C,572
YJR103W,2597
YJR104C,6269
YJR105W,10464
YJR106W,1574
YJR107W,911
YJR108W,101
YJR109C,6740
YJR110W,596
YJR111C,1005
YJR112W,369
YJR112W-A,425
YJR113C,1584
YJR114W,14
YJR115W,254
YJR116W,1528
YJR117W,6197
YJR118C,1460
YJR119C,544
