trx,cds,utr5,utr3,
YCL030C,912,856,0,0
YCL029C,107,98,0,0
YCL026C-B,44,42,0,0
YCL026C-A,3,2,NA,0
YCL025C,1065,1040,0,0
YCL017C,501,474,0,0
YCL016C,86,79,0,0
YCL012C,127,91,0,0
YCL011C,310,289,0,0
YCL010C,108,101,0,0
YCL009C,920,838,0,0
YCL008C,147,143,NA,2
YCL002C,18,16,0,0
YCR002C,517,465,0,0
YCR004C,624,560,5,0
YCR005C,932,880,0,0
YCR007C,42,27,3,0
YCR009C,547,471,3,0
YCR010C,3,2,NA,1
YCR011C,369,348,2,0
YCR014C,7,6,NA,0
YCR015C,81,74,0,0
YCR017C,448,418,0,0
YCR020C,13,13,NA,0
YCR020C-A,114,97,0,1
YCR021C,49,46,1,0
YCR022C,1,0,0,1
YCR023C,96,75,14,0
YCR024C,104,95,0,0
YCR024C-B,1,0,0,1
YCR024C-A,398,194,26,NA
YCR025C,0,0,0,0
YCR026C,273,259,1,0
YCR027C,60,46,4,0
YCR028C,101,91,2,0
YCR028C-A,420,353,2,0
YCR030C,764,740,5,0
YCR031C,2125,1855,0,1
YCR035C,271,262,0,0
YCR037C,243,239,NA,1
YCR038C,16,16,NA,0
YCR042C,273,268,0,NA
YCR043C,149,122,0,0
YCR044C,69,66,0,0
YCR045C,1,1,0,0
YCR046C,269,241,NA,0
YCR047C,164,145,2,0
YCR054C,166,164,0,0
YCR057C,340,295,0,0
YCR059C,95,80,0,0
YCR064C,0,0,0,0
YCR067C,272,268,1,0
YCR071C,217,194,0,0
YCR072C,241,229,0,0
YCR073C,43,42,0,0
YCR075C,54,53,0,0
YCR076C,116,107,0,0
YCR077C,1201,1177,0,0
YCR084C,803,725,19,0
YCR087C-A,222,184,0,1
YCR090C,137,109,0,0
YCR092C,117,113,0,1
YCR095C,75,65,0,0
YCR098C,12,10,NA,0
YCR102C,2,2,0,0
YCL063W,132,123,0,0
YCL058W-A,94,77,0,0
YCL057W,486,479,0,0
YCL055W,133,128,0,0
YCL054W,503,474,0,0
YCL051W,145,137,4,0
YCL048W,2,2,NA,0
YCL040W,2297,2222,NA,1
YCL039W,192,184,0,0
YCL036W,71,66,NA,0
YCL034W,321,310,0,0
YCL032W,142,126,0,0
YCL028W,867,819,0,0
YCL027W,15,14,0,0
YCL024W,175,171,1,NA
YCL021W-A,1,1,0,0
YCL018W,139,119,0,0
YCL014W,205,199,0,0
YCL005W-A,240,179,0,2
YCL005W,33,27,1,0
YCL004W,82,68,12,0
YCL001W,250,214,0,1
YCR003W,338,316,0,0
YCR008W,96,90,1,0
YCR012W,9733,9224,3,6
YCR016W,255,245,0,0
YCR019W,62,39,13,0
YCR020W-B,214,142,0,1
YCR032W,65,65,NA,0
YCR033W,99,99,NA,0
YCR034W,701,627,0,0
YCR036W,277,263,NA,0
YCR045W-A,10,1,7,2
YCR048W,75,69,0,0
YCR051W,275,243,0,1
YCR052W,329,310,0,0
YCR053W,2132,2000,0,0
YCR061W,225,212,0,2
YCR063W,125,104,0,1
YCR065W,189,179,1,0
YCR066W,89,78,0,0
YCR068W,82,79,1,0
YCR069W,206,180,1,3
YCR073W-A,346,318,0,0
YCR075W-A,79,39,0,0
YCR079W,29,27,0,0
YCR081W,64,60,0,NA
YCR082W,250,203,0,0
YCR083W,141,114,0,0
YCR085W,0,0,0,0
