Geneid,xrn1_2
YBL111C,3826
YBL109W,61
YBL108C-A,4
YBL108W,1
YBL107W-A,3
YBL107C,2323
YBL106C,3717
YBL105C,12147
YBL104C,5653
YBL103C,8272
YBL102W,4957
YBL101C,8790
YBL100W-C,22
YBL100W-B,12236
YBL100W-A,1692
YBL100C,0
YBL099W,15482
YBL098W,1435
YBL097W,4144
YBL096C,84
YBL095W,2948
YBL094C,109
YBL093C,3224
YBL092W,9421
YBL091C-A,808
YBL091C,5333
YBL090W,2019
YBL089W,5725
YBL088C,14954
YBL087C,7806
YBL086C,4476
YBL085W,13448
YBL084C,7634
YBL083C,2528
YBL082C,6853
YBL081W,16097
YBL080C,2272
YBL079W,22163
YBL078C,1487
YBL077W,0
YBL076C,25334
YBL075C,5982
YBL074C,2567
YBL073W,3
YBL072C,13824
YBL071C-B,325
YBL071W-A,2572
YBL071C,6
YBL070C,20
YBL069W,4267
YBL068W-A,1099
YBL068W,4761
YBL067C,8612
YBL066C,12257
YBL065W,22
YBL064C,2527
YBL063W,5310
YBL062W,9
YBL061C,9281
YBL060W,5331
YBL059C-A,2400
YBL059W,1527
YBL058W,7232
YBL057C,3245
YBL056W,8174
YBL055C,3339
YBL054W,7974
YBL053W,69
YBL052C,5200
YBL051C,15206
YBL050W,4438
YBL049W,192
YBL048W,72
YBL046W,3461
YBL045C,11033
YBL044W,36
YBL043W,2495
YBL042C,16531
YBL041W,6004
YBL040C,5957
YBL039W-B,591
YBL039C,12979
YBL039C-A,3122
YBL038W,3719
YBL037W,7663
YBL036C,3365
YBL035C,5714
YBL034C,8521
YBL033C,4856
YBL032W,6542
YBL031W,3043
YBL030C,13182
YBL029C-A,2057
YBL029W,2586
YBL028C,3144
YBL027W,12357
YBL026W,2472
YBL025W,2522
YBL024W,12169
YBL023C,6942
YBL022C,13576
YBL021C,2007
YBL020W,9464
YBL019W,3501
YBL018C,1352
YBL017C,18260
YBL016W,7791
YBL015W,4074
YBL014C,7994
YBL013W,1127
YBL012C,9
YBL011W,7728
YBL010C,2876
YBL009W,4961
YBL008W-A,95
YBL008W,5442
