Geneid,dcp2_2
YDL219W,1172
YDL218W,498
YDL217C,1279
YDL216C,964
YDL215C,4888
YDL214C,206
YDL213C,1849
YDL212W,4253
YDL211C,1122
YDL210W,295
YDL209C,913
YDL208W,2439
YDL207W,1409
YDL206W,2082
YDL205C,2864
YDL204W,3859
YDL203C,2847
YDL202W,1254
YDL201W,1622
YDL200C,727
YDL199C,973
YDL198C,4553
YDL197C,3381
YDL196W,69
YDL195W,13101
YDL194W,1072
YDL193W,1103
YDL192W,4497
YDL191W,6877
YDL190C,5230
YDL189W,1679
YDL188C,3116
YDL187C,648
YDL186W,45
YDL185C-A,2
YDL185W,20020
YDL184C,1780
YDL182W,3339
YDL181W,1642
YDL180W,2188
YDL179W,2329
YDL178W,2545
YDL177C,512
YDL176W,1722
YDL175C,680
YDL174C,3872
YDL173W,2336
YDL172C,24
YDL171C,12240
YDL170W,1673
YDL169C,331
YDL168W,2796
YDL167C,3756
YDL166C,819
YDL165W,679
YDL164C,2109
YDL163W,1
YDL162C,23
YDL161W,3749
YDL160C-A,328
YDL160C,9302
YDL159W-A,2
YDL159W,1176
YDL159C-B,2
YDL158C,148
YDL157C,789
YDL156W,842
YDL155W,1788
YDL154W,1327
YDL153C,1668
YDL152W,5
YDL151C,2
YDL150W,1690
YDL149W,904
YDL148C,3092
YDL147W,5696
YDL146W,690
YDL145C,12359
YDL144C,2641
YDL143W,4912
YDL142C,1042
YDL141W,3060
YDL140C,16353
YDL139C,328
YDL138W,2593
YDL137W,3707
YDL136W,2970
YDL135C,1790
YDL134C,2933
YDL133C-A,1816
YDL133W,1728
YDL132W,4084
YDL131W,4787
YDL130W-A,1617
YDL130W,7185
YDL129W,500
YDL128W,6146
YDL127W,902
YDL126C,11319
YDL125C,5972
YDL124W,6608
YDL123W,1881
YDL122W,4618
YDL121C,1986
YDL120W,1601
YDL119C,1277
YDL118W,10
YDL117W,3195
YDL116W,2423
YDL115C,1420
YDL114W-A,17
YDL114W,21
YDL113C,1494
YDL111C,3318
YDL110C,2363
YDL109C,1804
YDL108W,1010
YDL107W,987
YDL106C,1767
YDL105W,796
YDL104C,1031
YDL103C,1771
YDL102W,2504
YDL101C,1369
YDL100C,4749
