trx,cds,utr5,utr3,
YBR262C,151,101,6,24
YBR264C,49,39,1,1
YBR269C,178,129,0,20
YBR270C,45,40,2,2
YBR272C,174,152,0,18
YBR273C,109,98,0,10
YBR275C,187,184,NA,NA
YBR276C,184,173,3,2
YBR277C,1,1,NA,0
YBR280C,107,91,1,12
YBR281C,182,170,0,7
YBR283C,857,722,61,51
YBR288C,197,185,1,4
YBR291C,142,121,0,7
YBR292C,33,7,24,NA
YBR296C,10,9,0,1
YBR298C,174,109,52,7
YBL102W,229,181,14,20
YBL100W-C,2,0,0,2
YBL099W,2733,2109,445,89
YBL098W,74,70,NA,1
YBL097W,39,30,2,5
YBL095W,53,40,0,6
YBL092W,3482,2603,170,307
YBL090W,129,92,2,13
YBL089W,142,125,0,1
YBL085W,165,159,NA,2
YBL081W,188,151,29,3
YBL079W,617,597,8,NA
YBL071W-A,190,66,4,93
YBL068W,251,210,7,13
YBL063W,43,43,0,NA
YBL060W,71,71,0,0
YBL059W,45,42,NA,1
YBL058W,502,424,5,43
YBL056W,400,338,1,44
YBL054W,195,166,15,5
YBL050W,310,246,23,11
YBL048W,7,5,NA,0
YBL046W,69,63,NA,5
YBL043W,109,80,12,14
YBL041W,412,341,6,10
YBL039W-B,40,13,11,11
YBL038W,189,139,18,6
YBL037W,305,285,4,5
YBL032W,283,222,17,26
YBL031W,30,26,0,1
YBL029W,20,17,NA,2
YBL027W,3547,2727,49,282
YBL026W,162,69,19,43
YBL025W,60,34,4,16
YBL024W,656,635,4,NA
YBL020W,143,130,3,4
YBL019W,51,47,NA,3
YBL016W,220,189,NA,17
YBL015W,173,146,11,15
YBL011W,326,299,5,12
YBL009W,151,142,1,1
YBL008W,105,100,NA,5
YBL005W,95,87,1,6
YBL004W,706,686,NA,7
YBL002W,1195,789,6,242
YBR003W,188,175,1,4
YBR005W,137,99,7,22
YBR006W,107,92,3,9
YBR010W,2727,1993,68,297
YBR016W,194,120,2,42
YBR020W,29,27,0,2
YBR021W,393,340,22,15
YBR022W,99,59,8,18
YBR024W,62,54,4,NA
YBR030W,142,137,1,2
YBR031W,7491,6674,0,351
YBR033W,44,43,NA,0
YBR038W,560,522,3,19
YBR039W,812,619,46,94
YBR041W,255,228,6,7
YBR047W,11,10,0,0
YBR048W,3482,2683,0,544
YBR051W,3,1,NA,2
YBR054W,955,607,159,155
YBR056W,259,247,0,4
YBR056W-A,206,54,8,126
YBR071W,476,303,37,120
YBR072W,178,125,14,28
YBR073W,420,410,NA,5
YBR074W,339,331,NA,0
YBR076W,2,1,NA,1
YBR078W,4852,3636,489,505
YBR083W,231,206,16,NA
YBR084W,806,763,0,20
YBR085W,10,10,0,0
YBR087W,151,133,0,3
YBR094W,140,134,3,NA
YBR096W,288,238,12,26
YBR097W,124,119,NA,2
YBR098W,22,20,0,1
YBR103W,131,118,9,3
YBR104W,104,85,6,3
YBR106W,587,457,16,59
YBR108W,213,206,1,4
YBR110W,180,161,0,13
YBR111W-A,69,39,2,16
YBR114W,134,122,4,2
YBR118W,34125,31600,69,774
YBR119W,66,51,1,5
YBR131W,95,90,0,0
YBR135W,193,129,12,23
YBR136W,177,172,NA,5
YBR137W,92,75,NA,9
YBR139W,526,475,NA,30
YBR141W-A,32,3,0,26
YBR142W,188,170,8,3
YBR145W,118,96,3,6
YBR146W,253,172,10,48
YBR147W,29,21,2,0
YBR148W,9,8,NA,1
YBR149W,787,643,11,63
YBR151W,190,148,17,16
YBR152W,20,16,2,NA
YBR153W,77,56,4,10
YBR155W,92,72,4,3
YBR158W,684,531,97,43
YBR159W,375,325,9,19
YBR160W,252,202,17,22
YBR161W,103,89,8,1
YBR162W-A,143,52,0,23
YBR163W,90,81,3,2
YBR165W,88,67,10,9
YBR168W,59,45,12,NA
YBR171W,158,120,6,12
YBR175W,119,102,NA,12
YBR176W,79,60,7,5
YBR178W,3,2,1,0
YBR183W,243,194,12,9
YBR184W,24,20,NA,4
YBR186W,0,0,0,0
YBR187W,268,202,31,15
YBR189W,3618,2813,62,295
YBR192W,110,72,20,12
YBR194W,79,45,8,15
YBR199W,431,375,22,23
YBR200W,146,118,3,18
YBR201W,51,29,10,6
YBR202W,392,348,4,22
YBR203W,199,172,10,10
YBR205W,339,312,8,NA
YBR207W,241,209,9,9
YBR210W,55,48,1,0
YBR212W,378,282,58,28
YBR213W,63,42,5,14
YBR214W,299,261,8,10
YBR215W,92,83,0,4
YBR217W,55,32,3,12
YBR225W,147,135,NA,11
YBR228W,41,33,NA,6
YBR230W-A,73,27,2,30
YBR233W,79,68,6,1
YBR233W-A,35,15,4,12
YBR235W,243,229,5,7
YBR237W,103,100,1,1
YBR242W,137,94,25,8
YBR244W,38,29,1,5
YBR246W,252,200,11,28
YBR250W,14,7,7,NA
YBR251W,189,153,3,12
YBR252W,210,170,0,15
YBR253W,76,46,12,0
YBR255W,62,52,0,5
YBR257W,52,42,2,1
YBR259W,108,103,1,1
YBR263W,308,300,0,2
YBR265W,219,179,0,22
YBR267W,177,148,0,15
YBR268W,114,66,0,26
YBR271W,101,88,2,3
YBR274W,133,126,2,1
YBR278W,60,43,0,10
YBR279W,186,164,5,4
YBR282W,152,95,6,29
YBR284W,49,45,4,NA
YBR285W,8,6,NA,2
YBR286W,1449,1326,10,32
YBR287W,429,386,10,18
YBR289W,277,272,0,3
YBR290W,86,73,0,6
YBR293W,155,143,NA,11
YBR294W,9,9,NA,0
YBR295W,176,167,NA,4
YBR297W,111,85,3,18
YBR299W,73,68,2,2
YCL064C,51,42,0,6
YCL061C,232,219,4,NA
YCL059C,438,358,13,25
YCL057C-A,499,358,13,12
YCL056C,58,52,NA,1
YCL052C,395,337,9,32
YCL050C,975,837,15,49
YCL049C,513,423,12,42
YCL047C,126,111,NA,6
YCL045C,1035,947,16,16
YCL044C,314,267,8,28
YCL043C,4490,4260,NA,117
YCL041C,376,331,2,NA
YCL038C,205,192,4,5
YCL037C,1607,1171,56,331
YCL035C,732,475,4,104
YCL033C,265,223,NA,22
YCL031C,300,258,12,11
YCL030C,1618,1510,20,42
YCL029C,185,125,6,45
YCL026C-B,64,55,1,5
YCL026C-A,4,2,NA,2
YCL025C,2087,1965,8,40
YCL017C,819,696,52,33
YCL016C,211,171,3,23
YCL012C,193,129,6,23
YCL011C,662,593,2,32
YCL010C,287,245,0,12
YCL009C,1955,1580,0,211
YCL008C,360,312,NA,29
YCL002C,175,142,1,17
YCR002C,686,553,39,23
YCR004C,889,587,96,113
YCR005C,1727,1432,42,141
YCR007C,116,63,39,5
YCR009C,579,484,26,37
YCR010C,2,2,NA,0
YCR011C,889,846,18,12
YCR014C,62,61,NA,1
YCR015C,137,119,0,8
YCR017C,1307,1224,11,50
YCR020C,84,77,NA,2
YCR020C-A,203,115,0,60
YCR021C,65,54,6,2
YCR022C,17,7,2,8
YCR023C,416,351,7,38
YCR024C,238,219,0,10
YCR024C-B,1569,720,0,525
YCR024C-A,1161,321,612,NA
YCR025C,21,8,NA,12
YCR026C,522,450,13,44
YCR027C,255,123,34,81
YCR028C,376,308,18,32
YCR028C-A,650,342,46,134
YCR030C,1015,904,27,56
YCR031C,6811,4800,0,988
YCR035C,287,240,0,22
YCR037C,471,441,NA,15
YCR038C,126,110,NA,1
YCR042C,499,477,3,NA
YCR043C,305,163,12,87
YCR044C,194,172,0,9
YCR045C,4,4,0,0
YCR046C,382,300,NA,45
YCR047C,215,164,6,34
YCR054C,254,229,3,17
YCR057C,1076,988,21,33
YCR059C,240,202,0,24
YCR064C,6,5,NA,NA
YCR067C,925,861,32,16
YCR071C,261,195,13,15
YCR072C,404,369,5,9
YCR073C,252,247,2,2
YCR075C,177,149,0,18
YCR076C,155,137,0,10
YCR077C,1673,1544,16,72
YCR084C,1718,1424,138,101
YCR087C-A,174,128,8,19
YCR090C,243,188,8,13
YCR092C,191,182,1,3
YCR095C,127,107,5,4
YCR098C,91,80,NA,6
YCR102C,19,16,2,1
