GeneID,xrn1.2
YDL188C,1878
YDL189W,193
YDL190C,686
YDL191W,95021
YDL192W,23255
YDL193W,886
YDL194W,113
YDL195W,2145
YDL196W,26
YDL197C,414
YDL198C,3555
YDL199C,70
YDL200C,426
YDL201W,984
YDL202W,873
YDL203C,177
YDL204W,884
YDL205C,1772
YDL206W,154
YDL207W,750
YDL208W,9808
YDL209C,201
YDL210W,0
YDL211C,173
YDL212W,13907
YDL213C,1849
YDL215C,152
YDL216C,162
YDL217C,298
YDL218W,0
YDL219W,2164
YDL220C,365
YDL221W,0
YDL222C,74
YDL223C,0
YDL224C,1718
YDL225W,499
YDL226C,842
YDL227C,316
YDL229W,29640
YDL230W,359
YDL231C,2117
YDL232W,1957
YDL233W,164
YDL234C,214
YDL235C,5662
YDL236W,1135
YDL237W,859
YDL238C,245
YDL240W,188
YDL241W,204
YDL243C,212
YDR001C,1094
YDR002W,8313
YDR003W,1322
YDR003W-A,83
YDR004W,493
YDR005C,636
YDR006C,742
YDR007W,619
YDR008C,0
YDR009W,35
YDR011W,871
YDR012W,22669
YDR013W,728
YDR014W,319
YDR014W-A,0
YDR016C,707
YDR017C,229
YDR018C,89
YDR019C,1675
YDR020C,649
YDR021W,150
YDR022C,655
YDR023W,4952
YDR025W,38032
YDR026C,495
YDR027C,247
YDR028C,1526
YDR030C,138
YDR031W,1125
YDR032C,3430
YDR033W,19053
YDR034C,594
YDR034C-D,83
YDR034W-B,271
YDR035W,915
YDR036C,431
YDR037W,9499
YDR039C,89
YDR040C,44
YDR041W,1315
YDR042C,104
YDR043C,349
YDR044W,938
YDR045C,2497
YDR046C,2659
YDR047W,2569
YDR048C,0
YDR049W,252
YDR050C,79758
YDR051C,762
YDR052C,295
YDR054C,859
YDR055W,1833
YDR056C,3303
YDR057W,249
YDR058C,79
YDR059C,1229
YDR060W,2062
YDR061W,652
YDR062W,2999
YDR063W,2184
YDR064W,120790
YDR065W,357
YDR066C,186
YDR067C,566
YDR068W,405
YDR069C,362
YDR070C,128
YDR071C,3521
YDR072C,734
YDR073W,1700
YDR074W,1520
YDR075W,287
YDR076W,198
YDR077W,38520
YDR078C,564
YDR079C-A,962
YDR079W,335
YDR080W,172
YDR081C,280
YDR082W,406
YDR083W,658
YDR084C,1699
YDR085C,642
YDR086C,13615
YDR087C,1005
YDR088C,144
YDR089W,400
YDR090C,778
YDR091C,2075
YDR092W,1254
YDR093W,1262
YDR096W,454
YDR097C,265
YDR098C,2551
YDR099W,3248
YDR100W,2288
YDR101C,3761
YDR103W,846
YDR104C,155
YDR105C,288
YDR106W,57
YDR107C,539
YDR108W,237
YDR109C,160
YDR110W,625
YDR111C,23
YDR113C,209
YDR114C,0
YDR115W,4118
YDR116C,986
YDR117C,463
YDR118W,72
YDR119W,2485
YDR119W-A,617
YDR120C,602
YDR121W,177
YDR122W,844
YDR123C,535
YDR124W,395
YDR125C,117
YDR126W,161
YDR127W,1705
YDR128W,342
YDR129C,2681
YDR130C,462
YDR131C,390
YDR132C,428
YDR133C,46024
YDR135C,2472
YDR137W,451
YDR138W,519
YDR139C,1198
YDR140W,3125
YDR141C,758
YDR142C,645
YDR143C,519
YDR144C,1225
YDR145W,1079
YDR146C,312
YDR147W,574
YDR148C,1140
YDR150W,770
YDR151C,803
YDR152W,1399
YDR153C,440
YDR154C,411
YDR155C,29830
YDR156W,9569
YDR158W,13722
YDR159W,417
YDR160W,312
YDR161W,693
YDR162C,333
YDR163W,290
YDR164C,416
YDR165W,1530
YDR166C,647
YDR167W,1808
YDR168W,1054
YDR169C,417
YDR170C,985
YDR171W,455
YDR172W,4319
YDR173C,75
YDR174W,8544
YDR175C,954
YDR176W,353
YDR177W,1702
YDR178W,2916
YDR179C,465
YDR179W-A,143
YDR180W,269
YDR181C,236
YDR182W,733
YDR183W,591
YDR184C,2186
YDR185C,376
YDR186C,468
YDR188W,3434
YDR189W,567
YDR190C,3649
YDR191W,102
YDR192C,121
YDR194C,1349
YDR195W,121
YDR196C,1711
YDR197W,340
YDR198C,303
YDR200C,404
YDR201W,764
YDR202C,281
YDR204W,638
YDR205W,817
YDR206W,954
YDR207C,181
YDR208W,1100
YDR210W,6669
YDR211W,1204
YDR212W,4188
YDR213W,93
YDR214W,4885
YDR216W,495
YDR217C,220
YDR219C,335
YDR221W,696
YDR222W,405
YDR223W,64
YDR224C,7783
YDR225W,35047
YDR226W,10922
YDR227W,137
YDR228C,996
YDR229W,112
YDR231C,731
YDR232W,3446
YDR233C,9944
YDR234W,1328
YDR235W,556
YDR236C,1634
YDR237W,794
YDR238C,1614
YDR239C,166
YDR240C,113
YDR242W,65
YDR243C,317
YDR244W,146
YDR245W,1958
YDR246W,680
YDR246W-A,25
YDR247W,445
YDR248C,555
YDR249C,1223
YDR250C,0
YDR251W,1048
YDR252W,414
YDR253C,45
YDR254W,414
YDR255C,715
YDR257C,1376
YDR258C,426
YDR259C,284
YDR260C,1283
YDR261C,404
YDR262W,688
YDR263C,56
YDR264C,1565
YDR265W,219
YDR266C,546
YDR267C,721
YDR268W,468
YDR270W,346
YDR272W,1210
YDR275W,833
YDR276C,19854
YDR277C,256
YDR279W,348
YDR280W,1111
YDR281C,205
YDR282C,343
YDR283C,211
YDR284C,944
YDR285W,0
YDR286C,435
YDR287W,326
YDR288W,582
YDR289C,425
YDR291W,586
YDR292C,520
YDR293C,1021
YDR294C,1923
YDR295C,152
YDR296W,1626
YDR297W,2971
YDR298C,6494
YDR299W,681
YDR300C,695
YDR301W,276
YDR302W,2054
YDR303C,593
YDR304C,3938
YDR305C,170
