ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	source	PC
GO:0007033	vacuole organization	106	-0.49251984242838387	-1.7789936166421576	2.2368643533879946e-5	2.4453757569942327e-4	1.7427496961384243e-4	1563	tags=59%, list=34%, signal=40%	YGL190C/YFL038C/YPL250C/YDR495C/YKR001C/YDR323C/YDL188C/YLR148W/YBR109C/YPL045W/YDL077C/YIL041W/YGR132C/YBR080C/YDL134C/YDR126W/YBL058W/YPL120W/YPL019C/YFR021W/YKL051W/YOR014W/YDL135C/YBR097W/YDR229W/YGL095C/YEL062W/YGR231C/YGL212W/YDR080W/YPL149W/YLL015W/YLR093C/YMR165C/YBL050W/YOR089C/YJR138W/YLR240W/YPR049C/YNL294C/YGR223C/YFR019W/YLR431C/YNL242W/YMR197C/YPL236C/YPR185W/YPL100W/YPR194C/YIL146C/YGL180W/YLR423C/YNR007C/YNL223W/YGR209C/YPR149W/YGR254W/YOR036W/YPL166W/YDL234C/YNL015W/YBL078C/YHR138C	GO:BP	PC1
GO:0006083	acetate metabolic process	27	-0.6999025745993315	-2.0232021571762226	2.2769806789464173e-5	2.47237023720736e-4	1.7619878938077545e-4	316	tags=26%, list=7%, signal=24%	YBR145W/YGR254W/YBL015W/YOR347C/YCL040W/YOR374W/YJL052W	GO:BP	PC1
GO:0044042	glucan metabolic process	61	-0.5634140439556319	-1.8913619246765632	2.387042525523584e-5	2.574481435245906e-4	1.83475963812763e-4	732	tags=51%, list=16%, signal=43%	YBL058W/YGR143W/YFR021W/YBR229C/YER059W/YOL045W/YNR032W/YDR099W/YGR223C/YMR295C/YJL036W/YMR311C/YNL242W/YPL031C/YPL100W/YLR273C/YPL219W/YFR003C/YJL137C/YNR007C/YIL045W/YGR032W/YAL017W/YIL050W/YKL035W/YKR058W/YBR056W/YLR258W/YPR184W/YFR017C/YMR105C	GO:BP	PC1
GO:0071028	nuclear mRNA surveillance	27	0.639139841589199	2.255348421609726	2.4513267786458542e-5	2.626188088855925e-4	1.8716094983625893e-4	681	tags=52%, list=15%, signal=44%	YIL079C/YJL050W/YGR158C/YNR024W/YOR001W/YHR081W/YGR195W/YOL021C/YDL111C/YHR069C/YDR280W/YCR035C/YOL115W/YGR095C	GO:BP	PC1
GO:0006353	DNA-templated transcription termination	43	0.5377006892539772	2.1700788889709046	2.6033061309699525e-5	2.770538379118353e-4	1.9744838414048857e-4	819	tags=33%, list=18%, signal=27%	YJR063W/YBR034C/YMR239C/YBR121C/YBR143C/YDR045C/YOR207C/YGL246C/YIL131C/YLL035W/YJL168C/YBR049C/YIL021W/YDR195W	GO:BP	PC1
GO:0006446	regulation of translational initiation	29	0.6168540885211335	2.2142046750893236	2.658013115856238e-5	2.81014939288222e-4	2.0027134834152267e-4	631	tags=48%, list=14%, signal=42%	YGR162W/YJL138C/YPR041W/YLR150W/YOL139C/YER165W/YAL035W/YGR083C/YOR260W/YKR026C/YOR204W/YEL034W/YBR172C/YLR291C	GO:BP	PC1
GO:0019319	hexose biosynthetic process	31	-0.6711451560379648	-1.9882834157014344	2.758767417551249e-5	2.878791714288868e-4	2.0516329120271766e-4	393	tags=48%, list=9%, signal=45%	YDR313C/YJR159W/YML028W/YDR255C/YMR135C/YBR105C/YCL039W/YEL012W/YIL097W/YIL017C/YGR254W/YGL062W/YGL227W/YOL126C/YJL052W	GO:BP	PC1
GO:0046364	monosaccharide biosynthetic process	31	-0.6711451560379648	-1.9882834157014344	2.758767417551249e-5	2.878791714288868e-4	2.0516329120271766e-4	393	tags=48%, list=9%, signal=45%	YDR313C/YJR159W/YML028W/YDR255C/YMR135C/YBR105C/YCL039W/YEL012W/YIL097W/YIL017C/YGR254W/YGL062W/YGL227W/YOL126C/YJL052W	GO:BP	PC1
GO:0006089	lactate metabolic process	30	-0.6759783801037661	-1.9986628292108184	2.901132867317853e-5	3.007819688890187e-4	2.1435874768365533e-4	398	tags=40%, list=9%, signal=37%	YDL174C/YEL071W/YDR272W/YBR145W/YOR040W/YML004C/YDR533C/YGR254W/YOR347C/YCL040W/YOR374W/YJL052W	GO:BP	PC1
GO:0031410	cytoplasmic vesicle	283	-0.3951199129163909	-1.556502063959573	5.272472974746618e-5	3.0741198361234517e-4	1.9471934090500447e-4	1943	tags=57%, list=42%, signal=35%	YNL264C/YER128W/YER074W-A/YLR396C/YJL204C/YGR206W/YNL084C/YGL137W/YOL158C/YMR231W/YML012W/YPR165W/YLR330W/YOR299W/YML067C/YNL049C/YOR327C/YJL029C/YLR170C/YMR171C/YER166W/YIL048W/YDR264C/YJL123C/YGL124C/YMR077C/YGR241C/YDL161W/YML001W/YGR170W/YBL007C/YKL135C/YMR162C/YFL005W/YNL086W/YHL002W/YKR031C/YBR102C/YJR102C/YML038C/YJR066W/YEL063C/YFL038C/YHR009C/YOR069W/YJR040W/YDR495C/YLR386W/YKR001C/YIR006C/YDR323C/YGR167W/YLR148W/YOL018C/YPL045W/YGL002W/YAR042W/YDR027C/YNR006W/YOR357C/YKL041W/YNL297C/YKL061W/YJL154C/YDR105C/YKL002W/YHL047C/YKL039W/YGR247W/YIL173W/YJR058C/YAR033W/YDR270W/YPL065W/YJL099W/YKR021W/YPL120W/YPL019C/YGR142W/YFR021W/YDR456W/YBR097W/YPL002C/YJL084C/YMR004W/YGL206C/YGR284C/YCL008C/YPL084W/YDR080W/YDR141C/YLR119W/YPL070W/YOR089C/YBR077C/YKR020W/YDR246W/YHR012W/YNL243W/YLR240W/YDR313C/YMR237W/YKL219W/YLR025W/YJL100W/YCR032W/YCR030C/YAL002W/YHR105W/YNL293W/YGR223C/YDL018C/YGR163W/YFR019W/YMR258C/YOR275C/YJR044C/YDR069C/YKR014C/YDR486C/YKL213C/YJL036W/YJR125C/YJL053W/YPR079W/YKL124W/YDL113C/YHL019C/YMR197C/YLR206W/YML121W/YOR132W/YPL100W/YGR295C/YEL005C/YLR417W/YPL170W/YLL040C/YHR161C/YNL265C/YDL248W/YPL249C/YJL151C/YJR161C/YLR408C/YNL192W/YDR202C/YCR068W/YHR110W/YDR425W/YOL129W/YAL030W/YBR302C/YML132W/YDL091C/YNL336W/YBR105C/YMR110C/YOR036W/YKR039W/YDL234C/YBL078C	GO:CC	PC1
GO:0097708	intracellular vesicle	283	-0.3951199129163909	-1.556502063959573	5.272472974746618e-5	3.0741198361234517e-4	1.9471934090500447e-4	1943	tags=57%, list=42%, signal=35%	YNL264C/YER128W/YER074W-A/YLR396C/YJL204C/YGR206W/YNL084C/YGL137W/YOL158C/YMR231W/YML012W/YPR165W/YLR330W/YOR299W/YML067C/YNL049C/YOR327C/YJL029C/YLR170C/YMR171C/YER166W/YIL048W/YDR264C/YJL123C/YGL124C/YMR077C/YGR241C/YDL161W/YML001W/YGR170W/YBL007C/YKL135C/YMR162C/YFL005W/YNL086W/YHL002W/YKR031C/YBR102C/YJR102C/YML038C/YJR066W/YEL063C/YFL038C/YHR009C/YOR069W/YJR040W/YDR495C/YLR386W/YKR001C/YIR006C/YDR323C/YGR167W/YLR148W/YOL018C/YPL045W/YGL002W/YAR042W/YDR027C/YNR006W/YOR357C/YKL041W/YNL297C/YKL061W/YJL154C/YDR105C/YKL002W/YHL047C/YKL039W/YGR247W/YIL173W/YJR058C/YAR033W/YDR270W/YPL065W/YJL099W/YKR021W/YPL120W/YPL019C/YGR142W/YFR021W/YDR456W/YBR097W/YPL002C/YJL084C/YMR004W/YGL206C/YGR284C/YCL008C/YPL084W/YDR080W/YDR141C/YLR119W/YPL070W/YOR089C/YBR077C/YKR020W/YDR246W/YHR012W/YNL243W/YLR240W/YDR313C/YMR237W/YKL219W/YLR025W/YJL100W/YCR032W/YCR030C/YAL002W/YHR105W/YNL293W/YGR223C/YDL018C/YGR163W/YFR019W/YMR258C/YOR275C/YJR044C/YDR069C/YKR014C/YDR486C/YKL213C/YJL036W/YJR125C/YJL053W/YPR079W/YKL124W/YDL113C/YHL019C/YMR197C/YLR206W/YML121W/YOR132W/YPL100W/YGR295C/YEL005C/YLR417W/YPL170W/YLL040C/YHR161C/YNL265C/YDL248W/YPL249C/YJL151C/YJR161C/YLR408C/YNL192W/YDR202C/YCR068W/YHR110W/YDR425W/YOL129W/YAL030W/YBR302C/YML132W/YDL091C/YNL336W/YBR105C/YMR110C/YOR036W/YKR039W/YDL234C/YBL078C	GO:CC	PC1
