set	n_members	p_value	p.adjust	s.PC1	s.PC2
proton-transporting ATP synthase complex (GO:0045259)	15	1.81864664784943e-7	3.485739408378074e-6	-0.37655152436816797	0.8293286986747764
plasma membrane (GO:0005886)	447	2.0622501008418916e-7	3.909210355991498e-6	-0.15900349542515863	0.07129980793129626
large ribosomal subunit rRNA binding (GO:0070180)	12	2.3997843776733186e-7	4.499595708137473e-6	0.8343103198726323	-0.6897163120567387
autophagy (GO:0006914)	65	3.904746949991199e-7	7.2426757943385135e-6	-0.391292300934298	0.15498487894710128
fungal-type vacuole (GO:0000324)	183	4.5357776525254394e-7	8.323634521921684e-6	-0.20504925425545242	0.18744955982281972
endosome (GO:0005768)	97	4.8686900501766e-7	8.840516143741721e-6	-0.31785915441570917	0.1523862296681911
cellular response to oxidative stress (GO:0034599)	86	4.948332364490574e-7	8.891534717443999e-6	-0.334643568217741	0.08892834417783667
glucose fermentation to lactate and acetate (GO:0019658)	23	5.636687753764506e-7	1.002400657241626e-5	0.08986138051757292	0.5508350286227955
fungal-type vacuole lumen (GO:0000328)	15	7.162993877503171e-7	1.2608331059890787e-5	-0.7729017307553048	0.1454558621189083
rRNA primary transcript binding (GO:0042134)	12	8.836907909659134e-7	1.5397642569860614e-5	0.8133593863077163	-0.6336662324504256
TRAMP-dependent tRNA surveillance pathway (GO:0071038)	16	8.965661354728056e-7	1.5465765836905897e-5	0.7488591916558033	-0.429514341590612
chromatin organization (GO:0006325)	153	9.493339301718099e-7	1.612394990376398e-5	0.12589274604951958	-0.24800152237079845
piecemeal microautophagy of the nucleus (GO:0034727)	36	9.534161682225659e-7	1.612394990376398e-5	-0.49424074882390123	0.08995344100101875
transcription elongation by RNA polymerase I (GO:0006362)	12	1.0022192569845685e-6	1.6784739983479427e-5	0.7548849326964862	-0.7096902590823568
U4 snRNA 3'-end processing (GO:0034475)	15	1.0494120032059477e-6	1.7406112553175573e-5	0.7653704106017782	-0.45597798537185985
