gene_id	WT_small_hl	WT_large_hl	WT_hl_fc
YJL024C	6.339207636665034	13.789315153573487	1.1211763787447242
YML022W	12.066459034241307	17.592925996303798	0.5439930751885633
YDR441C	5.9647068779852574	13.438815497729244	1.1718828372410275
YLL052C	8.114411764872928	14.586070459831475	0.8460328494305288
YBR149W	13.591918914010936	18.10484473796288	0.4136266538191398
YMR041C	5.881581678983677	14.357869225009509	1.2875655794588639
YER036C	6.617223952513855	11.841846904479834	0.8395960954427223
YGL105W	13.84148795785109	26.423914748299367	0.9328451793554773
YIL062C	6.493188018916243	11.67699007496639	0.8466695549074114
YLR370C	8.987233501850028	16.5700987722749	0.8826332112001465
YKL013C	12.754669178782684	18.460222542617046	0.5333944652754073
YNR035C	8.641568403234723	15.487339965048472	0.8417242911785066
YBR234C	11.877773492620218	19.136580774282784	0.6880686535077757
YHR013C	7.482880131687354	14.602812397174905	0.9645806787352644
YCR048W	4.545619889418832	10.151952686662586	1.1592082963066577
YNR019W	6.241435183467357	13.010618180697588	1.0597397991669937
YDL192W	14.107805938329001	25.922478651864914	0.8777100363835755
YDL137W	15.138701385136958	24.29167872966085	0.6822207393943833
YOR094W	5.126245327321026	6.597530623700046	0.36402361860537824
YOL058W	12.62181111955269	17.266935641259607	0.4520931315558403
YJL071W	8.07403490008551	15.33296103435435	0.9252746028501431
YJL088W	6.566902009953413	15.640372034141127	1.2519899972319772
YHR018C	9.12037799251769	14.311863094846803	0.6500459689695365
YER069W	13.297328171340093	22.945515575958815	0.7870758293478909
YMR062C	11.688921503632915	16.74874241539	0.5189109508970838
YOL140W	8.708403431735011	15.448877154778607	0.827021835408507
YMR042W	4.819623206711264	9.915740094688955	1.0408000944623106
YML099C	5.363973712438393	10.240095112710616	0.932855043466605
YDR173C	8.305755041318426	14.359515993153444	0.7898238933883714
YDR376W	8.20923402506278	11.201248110204318	0.44833997440541107
YGL157W	5.6090517269195175	13.72613522465702	1.291096679956042
YNL020C	5.050775007944258	7.271315998047179	0.5257117168829257
YBR164C	9.191449197476713	14.747139455377118	0.6820708865349963
YPL051W	3.6090685281887174	7.11483496256242	0.9792037549687063
YHL040C	7.444707540414626	13.41176182290927	0.8492116880345454
YHL047C	6.983253068247214	8.63441395839661	0.30619900542955164
YDR127W	11.375937618255717	21.36841562480072	0.9094944835462855
YDR380W	3.143727847118586	5.50061244374043	0.8071159299755349
YGL148W	13.457356252317439	21.225631227400193	0.6574124436339016
YDR035W	10.936189494467454	16.073646557824603	0.5555871177920886
YBR249C	16.016798893337253	31.74931334520224	0.9871395499983856
YPR060C	3.5903947567705967	9.49224987283611	1.4026076041386493
YGL202W	14.270933977278267	28.68346371683485	1.0071394927728894
YDR421W	4.399909823121934	7.615843620976956	0.791529899762281
YHR137W	2.497641523053116	3.409470796988967	0.4489814005727942
YHR129C	4.31916195217681	9.844777431871245	1.1886071772805313
YDL029W	10.786278079251549	15.3228061255099	0.5064833945298678
YJR065C	10.181371469108047	17.359213563649902	0.769769678897705
YJL081C	7.038490717085759	11.489999515337416	0.7070407310540853
YNL059C	5.217722808587716	8.766793363474692	0.748628940468744
YLR085C	4.197011381201244	7.2846082561866305	0.7954890152343148
YPR034W	4.047661097579114	8.169928183998795	1.013234895554364
YOR141C	3.790513750508141	6.878715469956626	0.8597457829268857
YMR033W	4.072347023118036	6.380970229750384	0.6479152979545811
YPR199C	5.061951018636702	8.205262347468933	0.6968559144230404
YPR200C	4.702837970228192	5.464576185131146	0.21657798247919818
YLR392C	5.366761349968421	7.935452427921163	0.5642607429642006
YGR068C	3.737516289284918	5.0416358133923564	0.4318120406782231
YLR242C	6.068327343174422	13.282130028920676	1.130115711437585
YDR101C	4.917128997430059	11.29335924517424	1.1995865752578858
YPR085C	4.659028905258412	7.169799339050463	0.6219034616779524
YMR116C	19.481531975086213	41.24356759369651	1.0820620005779402
YOR058C	4.777525939912282	6.430699259400598	0.42871191497519956
YJL115W	3.5795897256257403	5.7032170281218235	0.6719816909438358
YDL197C	11.168129131441376	14.859689358199539	0.4120164287410862
YIL130W	3.344125566971557	6.300800807174415	0.9139061816689773
YKL185W	3.3702418213379106	3.9544936271980644	0.23064085819668897
YMR119W	6.016895939990276	9.296938792310135	0.6277363513914258
YNL159C	7.6192708533049895	8.869593519755806	0.219215047751656
YNL008C	6.785453734634253	13.34024726170347	0.9752682119876082
YKL052C	4.016869130064074	6.1214408670350995	0.6077998159640332
YGR097W	5.3306696955267325	6.539146590487922	0.29478557398605393
YDL088C	4.999264714182701	9.491667767793235	0.9249456828207216
YPR145W	3.04975802978358	9.872833706134415	1.6947694445890638
YGR124W	13.64719638000826	21.182553287257335	0.634271897679432
YDR321W	11.574495276034172	23.670264276574535	1.0321265298512812
YLR155C	10.941913852763907	15.2531590676262	0.47924296651748444
YLR157C	10.941913756949482	15.253159005963727	0.479242973318405
YLR158C	10.941913807006904	15.253159022596947	0.47924296829154267
YLR160C	10.941913764680336	15.253158916666287	0.47924296385303716
YPR093C	5.040991246997326	7.28450536729059	0.5311235643883951
YBL069W	5.55924093144245	12.538410914261949	1.1733947029066574
YER101C	9.924726395533485	16.838848830163485	0.7626942777202788
YGL017W	4.115416785500743	6.151309683755274	0.579855063512511
YOR377W	5.311427042826455	9.851723930270188	0.891276672624601
YGR177C	5.782243611772668	10.115639277374378	0.806886199269099
YGL180W	5.471847757972082	10.989510612509235	1.0060271451751241
YLL042C	11.28896918041104	24.91935041874782	1.1423527050280882
YPR049C	4.986974656153544	11.98433156076171	1.2649126669865096
YBR217W	5.39257375109556	10.18405206293257	0.917265792184932
YPR185W	6.518053907763232	10.508135652721435	0.6889935408020801
YBR128C	7.346488235110924	7.55201361338211	0.03980658701362954
YCR068W	6.196729300907682	8.274072743866558	0.41709069476948035
YLR423C	9.177659321718986	12.904643291585668	0.4916921037446173
YFR021W	4.034362399034545	7.5619664959358435	0.9064207730321132
YOL082W	5.876032195862182	13.618430505204586	1.212646239612659
YNL242W	4.921232171034465	6.875003349056211	0.4823408356096545
YDL113C	5.491001081199078	8.227498484131301	0.5833846601871191
YPL100W	5.5785487135146195	9.687493197216519	0.7962335454205243
YCL038C	7.270514621390255	10.272981743857745	0.4987255965283586
YLR431C	5.871266921792487	11.717041330051714	0.9968645691954686
YLR189C	5.163896257250077	10.113281631345693	0.9697192871282467
YJL178C	9.586352168446897	17.136929614015664	0.8380548025843955
YPL166W	7.032618975352118	8.911393266623612	0.34158895519190574
YNR007C	6.663413741202598	11.179217641932407	0.7464858466490837
YIL146C	5.901452294586703	12.03658561119183	1.0282842667410874
YLR356W	13.099554166581338	17.08970483995448	0.38360976856264806
YOL083W	10.645122494557647	16.532539295903465	0.635115779564002
YNL223W	6.134596467877591	9.477339699648194	0.6275137028491435
YPL149W	4.354813548887075	6.142632216933512	0.4962460549408055
YHR171W	5.174211745755144	5.4820962542861125	0.08338856407612626
YBL078C	6.825150477186335	13.437832235791277	0.9773676649620131
YDL149W	5.472994530822367	8.602640721802077	0.6524491718708564
YPR026W	7.333665000036852	6.649066513721149	-0.14138255590704507
YMR301C	7.480085385377183	14.610166445244863	0.9658459703095064
YNR002C	4.902227546337894	8.19039142994277	0.7404949506422301
YDR384C	7.826498467511177	16.83640171070527	1.1051449342820232
YBL099W	14.06794345958585	23.754167491435027	0.7557692039712326
YLR393W	4.70898695669102	6.998513716599466	0.571631841020106
YNL315C	14.89923296149436	18.575539662806857	0.3181660648911879
YJL180C	11.106145866942283	14.599492742680887	0.3945599943696656
YPL271W	15.895347664245671	27.855571113117108	0.8093613238179971
YDL004W	14.53831872764584	24.74276004402202	0.7671460017109842
YDR377W	12.960819725416371	24.263422146073868	0.9046260780797819
YML081C-A	14.519525246346365	26.985488360014564	0.894189514756097
YOL077W-A	16.69430279476916	29.72030771526002	0.8320932098965637
YJR121W	14.665032690809117	26.450529478471076	0.8509163149420561
YPR020W	11.30488389027461	15.031397297467771	0.4110329517878311
YDR350C	4.406671086294558	7.621838309270361	0.7904497849935439
YNR020C	5.000404874059964	10.193649982006573	1.027553904349965
YMR098C	8.704445751500293	14.800452790160161	0.7658169694089508
YBR039W	14.009767691439077	23.28472955046299	0.7329510921707586
YPL078C	13.463439496455464	24.99279270451875	0.892465096311931
YDR298C	13.896924447331205	26.48195082079041	0.9302437707988862
YKL016C	11.505154832364035	21.506248223883816	0.9024754688360627
YML116W	3.9741329269398404	10.946875471583692	1.4618071113551971
YAL020C	6.106563516758859	9.376224238287522	0.6186463448168448
YNL259C	17.00881584631149	26.512350895261807	0.6403818980263744
YOR079C	3.684837854224843	5.115169180647346	0.4731808198094889
YKL004W	7.584267332032148	13.730613367887194	0.8563143516613598
YOR011W	7.325285836654691	9.380717414095237	0.35681320533103283
