set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
ROX1_bound	816	1.2010186786050767e-8	-0.07803104145393032	0.13140852079916662	4.57501515623092e-4	3.442586913946418e-9	0.152830110806117	0.14809613471790692	4.041889783767085e-8
SFL1_bound	476	1.793589327002957e-8	0.052109158487151495	0.12417072091994687	0.062216544599837054	8.690448993792422e-6	0.13466154734005695	0.05095521945912737	5.9222289099154235e-8
YAP1_bound	720	2.0380414569960788e-8	-0.08563223305398777	0.13479277122170918	2.54094704141123e-4	8.196862999982374e-9	0.15969336401817236	0.15586401526641905	6.604763981005812e-8
SWI4_bound	1157	2.3471482574443567e-8	0.06244841582098787	0.06462053897522638	0.0014426206194128243	9.774768026763905e-4	0.08986444622874921	0.0015359230119343628	7.468199000959316e-8
MET32_bound	862	2.8527590513948987e-8	-0.11312510964668439	0.10080329323044467	2.0550630373891867e-7	3.707869754141784e-6	0.15152093703075287	0.15127022436282567	8.914872035609059e-8
POG1_bound	566	2.967735823500965e-8	0.06387370543360343	0.10112966070064427	0.013678072688787337	9.39619747200928e-5	0.11961211694157986	0.02634393860890725	9.111469633555594e-8
SWI3_bound	640	3.249085991223788e-8	-0.12407381221719459	0.11695575666163902	4.384011341027457e-7	1.9268964502406765e-6	0.17050794671921946	0.17043364262069327	9.803276697657981e-8
SDD4_bound	1137	3.701634861274862e-8	-0.09194504051014966	0.10040054099437144	3.0641481395544253e-6	3.454944434455339e-7	0.13614021854828764	0.13600886501311665	1.097942543598476e-7
SUT1_bound	580	4.143244042475104e-8	-0.0685530563098837	0.14894024013253399	0.007488796131657834	5.9329488221287675e-9	0.16395949701119167	0.15379098477704956	1.2084461790552386e-7
HAA1_bound	877	4.9217729322977045e-8	-0.04488674757845279	0.12533767853947914	0.038248033730181256	6.817166132550719e-9	0.133132842566504	0.12036684603157811	1.4119840379542595e-7
TDA9_bound	479	5.483149372657888e-8	-0.11044340685197727	0.15142130384584537	7.3120961868375e-5	5.284840811771863e-8	0.18741973582162366	0.18516631268788383	1.5476631293792426e-7
ECM22_bound	789	6.511521986298444e-8	-0.05849859702536945	0.1294606136015552	0.009547651719493556	9.249346380468062e-9	0.142063845956766	0.13290723242076902	1.8087561073051234e-7
THI3_bound	999	6.986002240017724e-8	0.0211897445939999	0.09815314070633216	0.304561659769946	1.9229904502959266e-6	0.1004143630486993	0.05442133929417651	1.9102349875048465e-7
TYE7_bound	533	1.767519218659354e-7	0.01694158604329666	0.12801927153063078	0.5241249374190947	1.439564220920757e-6	0.12913539879094266	0.07854378464660051	4.758705588698261e-7
YAP5_bound	780	1.9628675438757999e-7	0.07850309322430218	0.058721155516361354	5.3367817326359e-4	0.009602837773122458	0.09803524749272668	0.013987942298294831	5.204573033004015e-7
HSF1_bound	1393	2.465422977747726e-7	0.013872463090647004	0.08703072394085602	0.4537101374835155	2.5265214859776156e-6	0.0881294056593533	0.051730702346997115	6.439537628445555e-7
RTG1_bound	563	3.150386220984124e-7	-0.0465994879465958	0.14147873489081086	0.07274714579547911	4.8758799539051264e-8	0.14895551249681654	0.13299138676184483	8.107611598120908e-7
ARG80_bound	982	3.485440702955618e-7	-0.028793307029277227	0.1117395853638317	0.16559363294905372	7.102049998200445e-8	0.11538972860252016	0.09937176119092671	8.839885840829467e-7
CUP9_bound	899	3.6620391264250714e-7	0.025578000233894956	0.09407453114078228	0.23333360299601177	1.1457223573370975e-5	0.09748975077064842	0.048434361492013966	9.084762544785091e-7
CST6_bound	1442	3.6858179467413804e-7	-0.008822889773160023	0.09450276344427867	0.6304297553362568	2.4601136993414934e-7	0.09491372757696658	0.07306227006058051	9.084762544785091e-7
SRL3_bound	656	5.755815911778323e-7	0.05866632398025141	0.08313044040334398	0.015920085002575315	6.328788844504838e-4	0.10174678221452385	0.017298742618505947	1.3989830341127868e-6
MSS11_bound	355	6.392855341567718e-7	-0.03598272723368121	0.1667826334030455	0.25931680461509765	1.6426885047003633e-7	0.170620055866912	0.14337676149596532	1.5325338147593843e-6
GAT2_bound	416	1.1984262818127027e-6	-0.018862926994471518	0.1483353851645737	0.5251082756106673	5.612912946082999e-7	0.14952991843347335	0.11822706033060605	2.8341162069894995e-6
YAP6_bound	662	1.3817185865511168e-6	-0.033546503991031235	0.12453300504950217	0.16652493081448627	2.7101736445427856e-7	0.12897223451844045	0.11177909280920133	3.2240100352859393e-6
FKH2_bound	1104	1.7157852955760613e-6	-0.03105693169351581	0.10197254460419199	0.11902093575820293	2.973794354133293e-7	0.1065970583987646	0.09406604478780427	3.950821404286984e-6
EAF6_bound	824	2.076673442765259e-6	-0.10560683450107734	0.08010924249325706	1.8997568531981622e-6	3.0413676908487054e-4	0.13255298648533498	0.13132109741805684	4.7197123699210435e-6
MED15_bound	707	2.348964900159189e-6	-0.05262963743866806	0.11989503366452367	0.025709197671220527	3.633751674052161e-7	0.1309377632096368	0.12199336485904567	5.2701135580494625e-6
GCR2_bound	270	2.6216647172509323e-6	-0.032888684452621914	0.17849500834781426	0.36385304962082765	8.036476990473038e-7	0.18149967925621913	0.1494708426114424	5.807485133150799e-6
HAL9_bound	590	2.8022192069764033e-6	-0.07620470267449884	0.12538585831383706	0.0027455200497473737	8.146655918369354e-7	0.1467268556700047	0.1425460526980526	6.1298545152608826e-6
ASG1_bound	461	3.2659365907597342e-6	0.04390524411428438	0.10647017784079017	0.12140060321761181	1.709219406435055e-4	0.1151675702191567	0.04424008890249918	7.0560358442339936e-6
WHI5_bound	733	4.163503888391058e-6	0.08090339413668197	0.043300482318217724	4.993764688094384e-4	0.062567911675912	0.09176214334803647	0.026589273939195843	8.885526591078477e-6
YJL206C_bound	127	5.3851271943856555e-6	0.2552559186614699	-0.08920903925085515	8.720253374373429e-7	0.08598105751923765	0.2703957039151539	0.2435735076209437	1.1354183843584213e-5
MAC1_bound	404	8.463429695295538e-6	0.11084809240297545	0.04156465717763044	2.2593885958988667e-4	0.1669569211740743	0.11838462871366591	0.04899078687174037	1.7632145198532373e-5
HMS2_bound	439	1.1328329622218264e-5	-0.054479469699075696	0.1381138254457012	0.06002389565028274	1.8184030556136457e-6	0.14847033844488308	0.13618402500793395	2.3323031575155248e-5
DIG1_bound	1807	1.2017082325228811e-5	0.08064393243635123	-0.01511828875295625	3.541285997980308e-6	0.3852562130788436	0.08204880555874379	0.06771411598444542	2.4453365196686535e-5
SUM1_bound	805	1.5256530290143935e-5	0.10536526723712437	-0.04360727358024926	2.484358892562956e-6	0.051518829418752285	0.11403259993990025	0.10533949382255463	3.0688422997415965e-5
DAL82_bound	1096	1.600198292356368e-5	0.0934001396850661	-0.029810793054709298	2.848749922456985e-6	0.1355432383043607	0.09804218212453537	0.08712328605661478	3.182212513208686e-5
LYS14_bound	196	1.7636973106081153e-5	0.08839383786078882	0.12596110357304385	0.03595916573161093	0.002794243904893199	0.15388200084837247	0.026564068335772413	3.467944150072137e-5
MET4_bound	534	2.0172229975300555e-5	-0.07717795214356202	0.1191706375845081	0.0036666282458395114	7.147794637886198e-6	0.14197914339568374	0.13883941927313367	3.9223780507528854e-5
TEC1_bound	349	2.0816328063993115e-5	0.13642767442500442	5.631322233118343e-4	2.163087758965651e-5	0.9860260198228415	0.13642883663989785	0.0960707391136227	4.0031400123063687e-5
MOT3_bound	403	2.3668587194264892e-5	-0.04386496295576763	0.13826020151355933	0.14513902671347628	4.289010098555427e-6	0.14505177798869237	0.12878193882097635	4.502176911952561e-5
REB1_bound	726	2.910863105721595e-5	0.028263103802672156	0.08286829804161397	0.22602258242083068	3.825171352025393e-4	0.08755545589438948	0.03861170313436435	5.4774305752825715e-5
MGA1_bound	291	3.232173879239048e-5	-0.06906922647453806	0.15875939219652516	0.04823445443938124	5.507951563860088e-6	0.1731331933986118	0.1610991612106729	6.0173449879450365e-5
