set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
U4 snRNA 3'-end processing (GO:0034475)	15	1.049412003204609e-6	0.7653704106017813	-0.45597798537185896	2.86923407158449e-7	0.00225407478360921	0.8909027941187067	0.8636237329842738	9.115480733718465e-6
small ribosomal subunit (GO:0015935)	18	1.1514053939869053e-6	0.6747826086956522	-0.4789613526570049	7.26339221193558e-7	4.411384079768115e-4	0.8274874901393601	0.8158201788254937	9.904322126916487e-6
gluconeogenesis (GO:0006094)	15	1.2789660334599208e-6	0.12819175899775506	0.6509233108842059	0.39070443046545533	1.2844183978124884e-5	0.6634261705174096	0.36962702507907697	1.0818810091028169e-5
vacuole (GO:0005773)	40	1.2821388934062727e-6	-0.47282656181738747	0.24726955002184364	2.4286076561887786e-7	0.006990884297826554	0.533579598493099	0.5091848437875868	1.0818810091028169e-5
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	34	1.549852625040517e-6	-0.4522764603223488	0.4038214762344728	5.243445430357674e-6	4.784871299432663e-5	0.6063215163837599	0.6053526562991393	1.295442854514998e-5
ATP biosynthetic process (GO:0006754)	13	1.7435514168603316e-6	-0.33837801720537874	0.8248058130794288	0.034847056481830514	2.6097106069288716e-7	0.8915179817689945	0.8224951741609297	1.4437257526525738e-5
mRNA processing (GO:0006397)	174	1.8702767032248678e-6	0.20381089833121244	-0.1770746040121254	4.833230615862e-6	7.155789771079851e-5	0.26998943991316926	0.26932672156261883	1.53431959171966e-5
glycolytic process through glucose-6-phosphate (GO:0061620)	12	1.995352614796352e-6	0.13283398465769286	0.7199667100882906	0.4261601791350408	1.5789821666143196e-5	0.7321181128174585	0.41516553160851494	1.621910474045475e-5
cytoplasm (GO:0005737)	2077	2.4225950849153566e-6	0.02748852379000755	0.06440301065415961	0.10754104120126824	1.613479222906411e-4	0.07002404388118133	0.026102483985663654	1.9512902229409146e-5
protein kinase activity (GO:0004672)	117	2.494530411282072e-6	-0.26364321698691834	0.17504752030412993	1.053592742922951e-6	0.001200900417927413	0.31646386875571764	0.31020119518222644	1.9911296796359604e-5
carbohydrate metabolic process (GO:0005975)	55	2.7187829315278533e-6	-0.35020421174267324	0.3097364174287251	7.633044753294606e-6	7.584731775647245e-5	0.46752501345263714	0.46664849406761244	2.1507514976193554e-5
kinase activity (GO:0016301)	185	3.019244846683105e-6	-0.14769937995744448	0.2063162643807805	6.487193510173758e-4	1.8726020085142593e-6	0.2537351134310221	0.2503268627576839	2.367301711647107e-5
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	18	3.1660519371626715e-6	-0.10942028985507252	0.6638888888888888	0.4223714642716534	1.0936268326943946e-6	0.6728456410069782	0.546812164243655	2.4606333476544973e-5
tRNA modification (GO:0006400)	23	3.355957655514487e-6	0.6042579363201968	-0.2748450584283484	5.378714056113994e-7	0.022764423024958666	0.6638278841299341	0.6216196889480982	2.5855465067702918e-5
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	21	3.389113773161486e-6	0.5676476376933196	-0.4841563338409108	6.8267834499055324e-6	1.2498207652624773e-4	0.7460772052388933	0.7437377207507968	2.5885817267423076e-5
autophagy of mitochondrion (GO:0000422)	29	3.912029309935911e-6	-0.5247405715316236	0.31088585147391434	1.0393131923645329e-06	0.0038382631214752645	0.6099202243392128	0.5908771102458743	2.9624427082078778e-5
exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)	18	5.2942391746679025e-6	0.6666425120772946	-0.3402415458937199	9.867363318245105e-7	0.012576445541944517	0.7484494294612525	0.7119745452599332	3.9751660243692895e-5
protein serine kinase activity (GO:0106310)	108	7.19611919861433e-6	-0.26145191754947855	0.1776751252361008	3.240157101681091e-6	0.001570186673633511	0.31611003672449794	0.31050970975607833	5.357782865522938e-5
aromatic amino acid family biosynthetic process (GO:0009073)	14	7.98028428448534e-6	0.2626597989326052	0.536738240039717	0.08923375248812342	5.117771759663396e-4	0.5975601294399163	0.19380272428387657	5.892109896711676e-5
glycolytic process (GO:0006096)	18	8.754737079186605e-6	0.1015217391304348	0.5545893719806763	0.45663765379449583	4.701702550858036e-5	0.5638049618706712	0.32036719552454274	6.410493431536639e-5
chromatin remodeling (GO:0006338)	117	8.867258165024525e-6	0.130248358864222	-0.25891872081607686	0.01598766627997754	1.6376490923188848e-6	0.28983364017287006	0.2751826810565048	6.439664536239122e-5
cellular respiration (GO:0045333)	12	9.799424584152978e-6	-0.7209798813142279	0.60790273556231	1.5360134329444542e-5	2.681117606589466e-4	0.9430576467873095	0.9396619097943247	7.058772505332957e-5
threonine metabolic process (GO:0006566)	11	1.0131482166773598e-5	0.4475600370976972	0.46689819839374863	0.010222966592630016	0.007378817985503977	0.6467641876837495	0.013674144988117198	7.181194559809126e-5
endosome membrane (GO:0010008)	70	1.0077162530177698e-5	-0.3294446538509863	0.17789295137580102	2.113327529399113e-6	0.010512014287837913	0.3744057719910169	0.35874186100680494	7.181194559809126e-5
ubiquitin-protein transferase activity (GO:0004842)	62	1.0432657235475002e-5	-0.28114644991361976	0.30854031550029737	1.3870619228193793e-4	2.8842942578692984e-5	0.4174211932665309	0.41697151060014165	7.335979611611787e-5
protein serine/threonine kinase activity (GO:0004674)	111	1.0885809340549859e-5	-0.2536374848334023	0.171722865532495	4.72966733583454e-6	0.0019580139912360405	0.3063016752473054	0.30077518819161175	7.594352028131634e-5
nuclear exosome (RNase complex) (GO:0000176)	12	1.3152501374952405e-5	0.7700825010855405	-0.47184831379360254	3.863935012270481e-6	0.004685908240138461	0.9031433384064943	0.8781777009655769	9.03342342496731e-5
mRNA transport (GO:0051028)	66	1.3133281037901519e-5	0.3380598604675933	-0.11115992970123023	2.2758468149631456e-6	0.12048917735597411	0.35586654693937037	0.3176463598715731	9.03342342496731e-5
phagophore assembly site membrane (GO:0034045)	21	1.343150416125921e-5	-0.5860861638542735	0.12767125558076178	3.3926328588403036e-6	0.31209553977577564	0.5998307602674162	0.5047027114047243	9.154086682212045e-5
eisosome assembly (GO:0070941)	11	1.3676072827340903e-5	-0.6804467509915741	-0.153698916668311	9.368889857294271e-5	0.37795027452786945	0.6975895196460463	0.3724669656253074	9.249618721392397e-5
eukaryotic 48S preinitiation complex (GO:0033290)	11	1.4346507342183087e-5	0.8141957890167137	-0.43193164551966373	2.926779309087865e-6	0.013195273562856286	0.9216722461123984	0.8811451591832682	9.629549625131981e-5
cytosolic ribosome (GO:0022626)	28	1.677209064725031e-5	0.4791472144413321	-0.02441643323996265	1.1787025736153691e-5	0.8235035425640007	0.4797689186671532	0.35607327003447703	1.1172986701852463e-4
exosome (RNase complex) (GO:0000178)	12	1.7315455091541694e-5	0.7602764510059343	-0.46728904327688514	5.124510437081393e-6	0.0051020275509202255	0.8924008807261484	0.8680198853579976	1.1448875530676076e-4
ATP-dependent activity, acting on RNA (GO:0008186)	13	1.9225694328547426e-5	0.7311283721707175	-0.43152092207466797	5.0338413355414435e-6	0.007115736610396684	0.8489752662952996	0.8221172001026656	1.2617751981550384e-4
branched-chain amino acid biosynthetic process (GO:0009082)	12	2.4218276443905037e-5	0.33090895932841224	0.5034375452308584	0.04739448415297318	0.002549792486161439	0.602453401776341	0.12199613304014545	1.577749480095578e-4
aerobic respiration (GO:0009060)	46	2.6800731052780948e-5	-0.3118319449199285	0.342862033550154	2.657910547923784e-4	6.07156577569021e-5	0.4634582353596624	0.4629385517781949	1.7332443585959067e-4
multi-eIF complex (GO:0043614)	10	2.7389291034113707e-5	0.8259982638888889	-0.4551649305555555	6.095138327770445e-6	0.012756253873431806	0.9431056388099385	0.905919182598286	1.7458209968507012e-4
cytochrome-c oxidase activity (GO:0004129)	11	2.7243511172595778e-5	-0.5288592458117094	0.7598516092112793	0.0024042640003584526	1.2821562341449197e-5	0.925778899036644	0.9112561845754691	1.7458209968507012e-4
proteolysis (GO:0006508)	95	2.8943503461064505e-5	-0.2715407798736284	0.1379592026717247	5.6100448768068745e-6	0.021167792012238982	0.30457697998403677	0.28956021455359204	1.8317102904645107e-4
glutathione metabolic process (GO:0006749)	17	3.4507760157449756e-5	-0.6315890407456181	0.3167214288453916	6.6101466954727106e-6	0.02396509069729636	0.7065530269412456	0.6705567637180022	2.1683599645035806e-4
respiratory chain complex IV (GO:0045277)	12	3.7660655585759035e-5	-0.5151251990157766	0.7091113040961066	0.002018539787819158	2.117306922384275e-5	0.8764660930452042	0.8656659331265184	2.3498127358438384e-4
phagophore assembly site (GO:0000407)	34	3.8241827484957354e-5	-0.4465660609793656	0.14716148239400467	6.886442832034362e-6	0.13872608213891782	0.4701890563582136	0.41982877209654007	2.36938875186519e-4
preribosome, small subunit precursor (GO:0030688)	10	3.902125160599004e-5	0.7668402777777777	-0.5805555555555555	2.687162164637251e-5	0.0014867073534080956	0.9618153485512274	0.952752730692499	2.4008908974241096e-4
cytoplasmic translational initiation (GO:0002183)	11	4.246993613401326e-5	0.7763482447658702	-0.22927560826410404	8.270649839402316e-6	0.1884139149079677	0.8094960788638339	0.7110834458004387	2.5950595458438446e-4
