set	n_members	p_value	p.adjust	s.PC1	s.PC2
GAT2_direct_activated	37	5.985354098689832e-5	2.2671795828370578e-4	0.4182551903573529	-0.20196817642790166
TYE7_direct_repressed	10	6.751478372311602e-5	2.48216116629103e-4	-0.7978298611111087	0.2603298611111097
COM2_direct_activated	23	8.023052937848077e-5	2.865376049231456e-4	-0.5182854709750706	0.2767563987320824
Dot6_Tod6_direct_activated	27	1.1244772098628062e-4	3.904434756468077e-4	0.4568600401752253	-0.06403026856087163
MET31_direct_repressed	26	1.6655780517191185e-4	5.626952877429455e-4	-0.47274524256231565	0.1671803805950143
HAA1_direct_repressed	8	1.7435021080457205e-4	5.735204302781975e-4	-0.7820498915401319	0.009164859002169099
ZAP1_direct_repressed	11	3.927455606219328e-4	0.001258799873788246	-0.573455413698524	0.5809933500404533
MET31_direct_activated	27	6.482204432186378e-4	0.002025688885058243	0.4264946715393278	-0.18558855086844703
SUT1_direct_repressed	11	6.832813831264619e-4	0.002083174948556286	-0.5441719123073535	-0.13262426741914501
TYE7_direct_activated	7	7.788969017292263e-4	0.0023181455408607925	0.32949158843758847	0.5621030455122829
MSN4_direct_repressed	9	0.00113496177164487	0.0032993074757118315	-0.7028036932571512	0.19466743810419368
GCN4_direct_activated	9	0.0011844673111459543	0.003364963952119188	0.11747547069742997	0.5917649044140685
MSA2_direct_activated	56	0.0014080203310345876	0.003911167586207188	0.2785432454437303	-0.14667752238992893
NRG1_direct_activated	12	0.0018244162026952607	0.004957652724715382	0.5684252424373957	-0.07443190041974158
GCR2_direct_activated	38	0.0029254314826298094	0.0077804028793345996	0.21347965984831302	0.13441737531602035
YAP1_direct_repressed	20	0.0029952309729102604	0.007800080658620469	-0.34515006524576214	0.3896041757285783
GLN3_direct_repressed	9	0.0034203109509884336	0.0087252830382358	-0.6452833827535486	0.3216653407584198
HAP3_direct_repressed	8	0.004120105213519103	0.010300263033797758	-0.4109002169197382	0.6574295010845985
GCN4_SM_direct_repressed	6	0.00495162422003511	0.012136333872635074	0.7357617808615188	-0.09186180977161043
AZF1_direct_activated	12	0.005211916792667108	0.01252864613621901	0.5015559415255503	-0.38656100738167676
MSN2_30_direct_activated	6	0.0054544737096162334	0.01286432478683074	-0.7611303845041969	0.3173605088175766
ASG1_direct_activated	13	0.005573774459775378	0.012902255693924485	0.3384448342103024	0.22204961162616063
REB1_direct_activated	276	0.0059831284650348465	0.013524729371724862	0.11382085327672158	-0.032964171990468395
SUM1_direct_repressed	22	0.006059078758532738	0.013524729371724862	-0.38834164095260526	0.0933420365535235
CST6_direct_repressed	13	0.00642044580168117	0.014079925003686777	-0.3030652301010571	0.4965338678693741
SKO1_direct_repressed	36	0.006983400348592826	0.015050431785760402	-0.17675444977933308	0.2977714729133321
MET4_direct_repressed	44	0.0072211826785259624	0.015299115844334667	-0.25785069761895574	0.1897086298048262
DIG1_direct_repressed	31	0.007598932085842234	0.015831108512171323	0.1554955449130451	0.19925174230117337
MIG2_direct_repressed	7	0.00964860070932631	0.019771722765012927	-0.11392012888434122	0.6461876878272453
ZAP1_direct_activated	15	0.011467635282074293	0.02312023242353688	0.37956405242957675	-0.36705047432833676
STB1_direct_activated	13	0.012553198784698969	0.024907140445831286	0.4576463710014233	-0.29775327820930386
HCM1_direct_activated	24	0.013449638332711265	0.02626882486857669	0.29224713394282287	-0.28811130460020423
HAP2_direct_repressed	10	0.014643303229880103	0.028160198519000198	-0.5301215277777821	0.24249131944444552
NDD1_direct_activated	30	0.015109272495858878	0.02818894122361731	-0.0020488230165668334	-0.2797587910491129
SWI6_direct_repressed	61	0.014922495177093972	0.02818894122361731	0.025789903481219883	0.18599020782295025
SWI5_direct_repressed	6	0.01708803394256506	0.031411827100303415	-0.4522983521248901	0.63746747614917465
HSF1_37_direct_activated	36	0.019688186508279762	0.035667004543985074	0.2684659779814707	-0.07547650225520078
Dot6_Tod6_direct_repressed	59	0.02324557385474496	0.04150995331204457	-0.17957030422223355	0.16712332841353075
GCR2_direct_repressed	18	0.030223220241742513	0.0532098947918002	-0.21727053140096758	0.3507971014492763
MET32_direct_repressed	12	0.03086555377863524	0.05358603086568618	-0.42752207265884756	0.26697061803444727
HSF1_30_direct_activated	9	0.031723210089431686	0.0543205652216296	0.20021214531954196	-0.5060389093801997
IXR1_direct_repressed	17	0.032437524419689716	0.0547931155738002	-0.09625784675965099	0.36338647608576097
YRM1_direct_activated	5	0.035827793381800734	0.05971298896966789	-0.14207673964882095	0.653674398439193
FZF1_direct_repressed	12	0.04786294688412559	0.07872195211204866	0.2043711101461824	0.2454407294832828
ERT1_direct_activated	8	0.05795468326587234	0.09408227802901353	-0.4851952277657244	0.23861171366594397
CST6_direct_activated	7	0.05879118318189168	0.09421663971457	-0.5076989806983283	0.10059794900393579
PHO2_direct_repressed	5	0.060192507048567045	0.09524130862115039	0.22133102102753177	0.43472794277043264
DAL81_direct_repressed	7	0.061403731144245764	0.09594332991288401	-0.06645599033367441	0.495430182482883
HAP3_direct_activated	7	0.08777400692263132	0.13545371438677672	-0.47993927564519606	0.23047371193109645
OPI1_direct_repressed	19	0.09168413630490284	0.1397624029038153	-0.2534303796019769	-0.028049575994780387
YRR1_direct_activated	5	0.09781387096289576	0.1473100466308671	0.5157164535009746	-0.013396921742901203
STE12_direct_activated	15	0.09910981878255634	0.14748484937880407	0.2999637917300298	-0.015164023462958413
GAL80_direct_repressed	8	0.10461282201988108	0.15384238532335454	-0.35873101952277797	0.3676789587852507
RTG3_direct_repressed	24	0.11288656084897067	0.1640793035595504	-0.23844507328399514	0.037022928457408004
IXR1_direct_activated	30	0.11826578424175017	0.16992210379561806	0.02183958151699943	-0.2080063934902638
SOK2_direct_repressed	21	0.12620257313571753	0.17926501865868968	-0.25692739571356	0.10600080798035873
HSF1_30_direct_repressed	5	0.12931792101683853	0.1816262935629755	-0.20676349447214623	0.5225666594407103
DIG2_direct_activated	9	0.1343040515255468	0.18653340489659279	0.3652515609556207	-0.26076999108025256
FHL1_direct_activated	7	0.14632915276219546	0.19667896876639174	0.35068314899154174	-0.36555441955572215
AZF1_direct_repressed	32	0.14555824177456653	0.19667896876639174	-0.020347252507629768	0.19147950283471274
NRM1_direct_repressed	36	0.14376024374022087	0.19667896876639174	-0.1890368107085662	0.09562781900189078
ASG1_direct_repressed	7	0.23392968015953655	0.3110767023398092	0.3718747095454946	-0.16528797595811173
YAP1_direct_activated	36	0.25428394821651856	0.33458414239015605	-0.1597191910373928	0.05710752218827452
BAS1_direct_activated	10	0.28570035701666363	0.37200567319878075	-0.24470486111110856	-0.04357638888889046
FHL1_direct_repressed	7	0.3003042764312554	0.3869900469474941	0.1245159091613219	0.238900765250796
SOK2_direct_activated	9	0.3383548453056844	0.4315750577878627	-0.00981172102890233	0.2637110966466563
MCM1_direct_repressed	9	0.40471608703795386	0.5058951087974424	-0.15484197584436094	0.252428822834552
NDD1_direct_repressed	5	0.40328015609377943	0.5058951087974424	-0.12794277043139168	0.3480164751788443
SWI6_direct_activated	26	0.4142789356054062	0.5127214549571859	0.1028042079871383	0.05992026266416586
MBP1_direct_repressed	74	0.45383506926462247	0.5561704280203708	-0.03298677198325216	-0.05865174153026126
CUP2_direct_repressed	5	0.4601764553984218	0.5584665720854632	-0.28887925428137573	0.24587036635595141
MCM1_direct_activated	32	0.49407519545713985	0.5700923706217966	0.10857773658961992	-0.0937363715656341
WHI5_direct_activated	10	0.4829710804405811	0.5700923706217966	0.10451388888889149	0.13615451388889036
HCM1_direct_repressed	11	0.49712054718220666	0.5700923706217966	-0.07007123547170997	0.20567515835586284
LEU3_direct_repressed	7	0.4845547612732654	0.5700923706217966	-0.21523065960280918	-0.052266319670353056
SFL1_direct_repressed	22	0.49255809878140894	0.5700923706217966	-0.14686684073107015	0.05736213308014734
STE12_direct_repressed	9	0.4761621914779695	0.5700923706217966	-0.16409922615173533	-0.08811262987873925
DAL81_direct_activated	5	0.5743668829723216	0.6526896397412747	0.24335573379579414	0.01417732495122607
MSN4_direct_activated	12	0.5853331133927504	0.6591589114783225	0.16970618034448193	-0.09759009986973491
LEU3_direct_activated	28	0.67864865181377	0.7574203703278684	0.09469343292873043	-0.02139744786803507
ARG80_direct_repressed	8	0.6936404911205358	0.7673014282306811	-0.01713665943600808	0.16626898047722277
PHO2_direct_activated	11	0.7111742902999991	0.7797963709429816	0.1372417467490182	-0.015174536772106005
MIG1_direct_activated	7	0.7525075426459032	0.8179429811368513	-0.16014499488799674	0.02872014127707008
VHR1_direct_activated	5	0.7716933124040742	0.8315660694009421	0.051116410145244054	-0.1843919358335141
WHI5_direct_repressed	20	0.793680041743118	0.8479487625460662	0.047216180948239574	0.049130056546324505
HAA1_direct_activated	6	0.8536667720681983	0.9001880216233717	-0.1255420641804019	0.08969355305001428
HAP2_direct_activated	8	0.8569789965854498	0.9001880216233717	-0.026681127982649613	-0.09045553145336224
SWI5_direct_activated	19	0.8692072287259551	0.9054241965895367	-0.06343484281480014	-0.002368936038725175
MSN2_37_direct_repressed	5	0.8855245179290117	0.9147980557117888	0.12126598742683993	-0.08441361370041162
GLN3_direct_activated	11	0.916241216311274	0.9387717380238462	-0.041379718610025325	-0.03845926159796235
INO2_direct_activated	45	0.9421806209953703	0.957500631092856	-4.519279830923683e-4	-0.027178851714167042
PHO4_direct_activated	8	0.986616960599604	0.9945735489915363	0.009056399132321211	0.025976138828632332
CUP2_direct_activated	5	0.9951325895257372	0.9951325895257372	0.0078473878170363	0.019119878603946414
