ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0090407	organophosphate biosynthetic process	46/462	283/4617	0.1625441696113074	1.6243862144922214	3.614684892596828	4.85970938114273e-4	0.005971142915533706	0.005139166353352693	YMR095C/YMR096W/YNL220W/Q0085/YGR180C/YJL026W/YGL059W/YKL104C/YJR078W/YOR202W/YCL030C/YHR216W/YJR103W/YFL059W/YGR204W/YPL188W/YIL116W/YDR377W/YJR121W/YPL028W/YBR161W/YML126C/YDL004W/YBR039W/Q0130/YNL333W/YKL016C/YFL018C/YLR410W/YJL167W/YKR080W/YDR298C/YOR128C/YPL271W/YIL049W/YBR035C/YBR109C/YNL071W/YJR025C/YER178W/YPR020W/YFR019W/YGR046W/YDR315C/YPL078C/YPR113W	46
BP	GO:0009079	pyruvate family amino acid biosynthetic process	6/462	12/4617	0.5	4.996753246753247	4.622229616948181	5.307507541995007e-4	0.0064615252369058475	0.005561222291708916	YNL104C/YCL009C/YGL009C/YHR208W/YCL018W/YMR108W	6
BP	GO:0046496	nicotinamide nucleotide metabolic process	16/462	67/4617	0.23880597014925373	2.386509013374685	3.8117356499580963	7.008264628322633e-4	0.008453526863127869	0.00727567258675583	YGR254W/YDL066W/YOR344C/YIL155C/YJR078W/YKL060C/YDR481C/YPL188W/YKL152C/YBR196C/YLR174W/YAL038W/YJR009C/YJL121C/YJR025C/YPL134C	16
BP	GO:0005996	monosaccharide metabolic process	18/462	80/4617	0.225	2.2485389610389612	3.756047508736883	7.134853117334749e-4	0.008453526863127869	0.00727567258675583	YGR254W/YGL059W/YKL060C/YHR043C/YLR044C/YKL152C/YBR105C/YMR083W/YBR196C/YBR160W/YML051W/YJR159W/YIL107C/YAL038W/YML028W/YJR009C/YDR009W/YCR036W	18
BP	GO:0016052	carbohydrate catabolic process	18/462	80/4617	0.225	2.2485389610389612	3.756047508736883	7.134853117334749e-4	0.008453526863127869	0.00727567258675583	YGR254W/YOR344C/YIL155C/YIL123W/YDR001C/YGR287C/YLR300W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YBR160W/YJR159W/YKR042W/YAL038W/YJR009C/YCR036W	18
BP	GO:0006549	isoleucine metabolic process	7/462	17/4617	0.4117647058823529	4.114973262032085	4.290108162666428	7.643388304979901e-4	0.008871695357821525	0.007635576459157066	YCL009C/YLR044C/YMR083W/YDL168W/YFL018C/YHR208W/YMR108W	7
BP	GO:0009069	serine family amino acid metabolic process	10/462	32/4617	0.3125	3.122970779220779	4.018071952453288	7.73405744356918e-4	0.008871695357821525	0.007635576459157066	YER081W/YIR017C/YOR184W/YNL135C/YJR130C/YNL277W/YFL018C/YDR158W/YBR263W/YHR112C	10
BP	GO:0009166	nucleotide catabolic process	10/462	32/4617	0.3125	3.122970779220779	4.018071952453288	7.73405744356918e-4	0.008871695357821525	0.007635576459157066	YGR254W/YOR344C/YGL224C/YKL060C/YDR481C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	10
BP	GO:0019318	hexose metabolic process	17/462	74/4617	0.22972972972972974	2.295805545805546	3.7467326039754996	7.755212219346623e-4	0.008871695357821525	0.007635576459157066	YGR254W/YGL059W/YKL060C/YHR043C/YLR044C/YKL152C/YBR105C/YMR083W/YBR196C/YBR160W/YML051W/YJR159W/YIL107C/YAL038W/YML028W/YJR009C/YDR009W	17
BP	GO:0006083	acetate metabolic process	9/462	27/4617	0.3333333333333333	3.331168831168831	4.050583980904471	8.39822108970427e-4	0.009525161868408178	0.008197993596337503	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YBL015W/YAL038W/YJR009C	9
