ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0000271	polysaccharide biosynthetic process	12/462	45/4617	0.26666666666666666	2.664935064935065	3.742129562253051	0.0011531993698285625	0.015906198204531895	0.013785371777260979	YMR105C/YFR017C/YPR184W/YLR258W/YKR058W/YKL035W/YIL050W/YAL017W/YGR032W/YIL045W/YJL137C/YPL219W	12
BP	GO:0000423	mitophagy	8/462	23/4617	0.34782608695652173	3.4760022586109542	3.969061542015538	0.0011933488791916681	0.016272939261704564	0.014103214026810623	YBL078C/YJL185C/YNL223W/YCR079W/YIL042C/YLR423C/YGL059W/YGL180W	8
BP	GO:0006637	acyl-CoA metabolic process	10/462	34/4617	0.29411764705882354	2.9392666157372043	3.784168139461862	0.0013084916926475215	0.017254835507439843	0.014954190773114532	YGR244C/YOR317W/YJR019C/YNR001C/YIL042C/YJR078W/YFR047C/YGL059W/YJL060W/YOR142W	10
BP	GO:0035383	thioester metabolic process	10/462	34/4617	0.29411764705882354	2.9392666157372043	3.784168139461862	0.0013084916926475215	0.017254835507439843	0.014954190773114532	YGR244C/YOR317W/YJR019C/YNR001C/YIL042C/YJR078W/YFR047C/YGL059W/YJL060W/YOR142W	10
BP	GO:0072523	purine-containing compound catabolic process	10/462	34/4617	0.29411764705882354	2.9392666157372043	3.784168139461862	0.0013084916926475215	0.017254835507439843	0.014954190773114532	YJL052W/YCL040W/YDL238C/YGL248W/YOR347C/YDR516C/YGR254W/YMR278W/YNR001C/YOR163W	10
BP	GO:0006536	glutamate metabolic process	6/462	14/4617	0.42857142857142855	4.282931354359925	4.10179268242854	0.0014481041088698708	0.018888314463520052	0.016369872535050713	YLR142W/YBR006W/YGR019W/YDL215C/YLR174W/YDL066W	6
BP	GO:1901605	alpha-amino acid metabolic process	29/462	164/4617	0.17682926829268292	1.7671444409249286	3.3353475313009655	0.0014737411977311429	0.01901601545459539	0.016480546727316005	YLR142W/YBR006W/YCL064C/YHR137W/YFL030W/YGR019W/YJR148W/YDR019C/YLR155C/YLR157C/YLR158C/YLR160C/YDL215C/YGL062W/YGL196W/YMR189W/YLR089C/YLR174W/YHR112C/YFR055W/YJR078W/YBR145W/YFR047C/YIR017C/YJL060W/YDR421W/YNL239W/YDL066W/YIL051C	29
BP	GO:0006575	modified amino acid metabolic process	14/462	59/4617	0.23728813559322035	2.3713405238828966	3.534699748839704	0.0015961205611271228	0.01985974491994229	0.017211778930616654	YMR169C/YHL021C/YML042W/YER024W/YMR020W/YIR038C/YKR076W/YKL218C/YML004C/YGR209C/YDR513W/YLR299W/YCR068W/YIR037W	14
BP	GO:0005976	polysaccharide metabolic process	16/462	72/4617	0.2222222222222222	2.220779220779221	3.4810062789614737	0.0016026127466945202	0.01985974491994229	0.017211778930616654	YMR105C/YFR017C/YPR184W/YLR258W/YBR056W/YIR007W/YKR058W/YKL035W/YIL050W/YAL017W/YGR032W/YIL045W/YNR007C/YJL137C/YFR003C/YPL219W	16
BP	GO:0006743	ubiquinone metabolic process	7/462	19/4617	0.3684210526315789	3.6818181818181817	3.9056203201185578	0.001657774591126404	0.01985974491994229	0.017211778930616654	YDR204W/YMR110C/YLR290C/YGR255C/YOR125C/YLR201C/YMR152W	7
BP	GO:0006744	ubiquinone biosynthetic process	7/462	19/4617	0.3684210526315789	3.6818181818181817	3.9056203201185578	0.001657774591126404	0.01985974491994229	0.017211778930616654	YDR204W/YMR110C/YLR290C/YGR255C/YOR125C/YLR201C/YMR152W	7
BP	GO:0009062	fatty acid catabolic process	7/462	19/4617	0.3684210526315789	3.6818181818181817	3.9056203201185578	0.001657774591126404	0.01985974491994229	0.017211778930616654	YJR019C/YGL010W/YPL147W/YKR009C/YKL188C/YDR216W/YPR006C	7
BP	GO:1901661	quinone metabolic process	7/462	19/4617	0.3684210526315789	3.6818181818181817	3.9056203201185578	0.001657774591126404	0.01985974491994229	0.017211778930616654	YDR204W/YMR110C/YLR290C/YGR255C/YOR125C/YLR201C/YMR152W	7
BP	GO:1901663	quinone biosynthetic process	7/462	19/4617	0.3684210526315789	3.6818181818181817	3.9056203201185578	0.001657774591126404	0.01985974491994229	0.017211778930616654	YDR204W/YMR110C/YLR290C/YGR255C/YOR125C/YLR201C/YMR152W	7
BP	GO:0046365	monosaccharide catabolic process	10/462	35/4617	0.2857142857142857	2.855287569573284	3.6735511252744297	0.0016715285307618095	0.01985974491994229	0.017211778930616654	YJL052W/YMR105C/YOR120W/YOR374W/YCL040W/YJR096W/YHR104W/YOR347C/YGR254W/YBR145W	10
BP	GO:0031667	response to nutrient levels	27/462	151/4617	0.17880794701986755	1.7869183796336114	3.2781375843988183	0.0017987170970768084	0.021161377612668335	0.01833986059764589	YNL142W/YBR214W/YBL078C/YER175C/YLR270W/YBR139W/YOR152C/YLR155C/YLR157C/YLR158C/YLR160C/YER037W/YDR074W/YGL227W/YPR026W/YPL166W/YDR533C/YMR291W/YMR297W/YIL033C/YNL036W/YGL208W/YLR423C/YGR130C/YDR040C/YGL180W/YBL101C	27
BP	GO:0072329	monocarboxylic acid catabolic process	8/462	25/4617	0.32	3.197922077922078	3.674089487347359	0.002199150695261606	0.025621173148678907	0.022205016728855054	YNL274C/YJR019C/YGL010W/YPL147W/YKR009C/YKL188C/YDR216W/YPR006C	8
BP	GO:0006749	glutathione metabolic process	7/462	20/4617	0.35	3.497727272727272	3.732425395252124	0.0023340195312012814	0.026930994590784015	0.023340195312012813	YIR038C/YKR076W/YML004C/YGR209C/YDR513W/YLR299W/YIR037W	7
