sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2022-12-22-221209L12_exp221207_MS96_SCGEuri_7hr-G1-arrest_00uM-EU_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_00uM-EU_input	exp221207_MS96_SCGEuri-7hr-G1-arrest_00uM-EU	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	Tbackground	NA	input
2022-12-22-221209L13_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-04min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-04min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-04min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T1	4	EU
2022-12-22-221209L14_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-10min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-10min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-10min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T3	10	EU
2022-12-22-221209L15_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-16min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-16min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-16min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T5	16	EU
2022-12-22-221209L16_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-28min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-28min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-28min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T6	28	EU
2022-12-22-221209L17_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_10uM-EU-40min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-40min-chase_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_10uM-EU-40min-chase	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	T7	40	EU
2022-12-22-221209L18_exp221207_MS96_SCGEuri_1.5hr-G1-arrest_00uM-EU_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_00uM-EU_EU-enrich	exp221207_MS96_SCGEuri-1.5hr-G1-arrest_00uM-EU	exp221207	MS96	WT	1.5hr_arrest	exp221207_MS96_1.5hr_arrest	Tbackground	NA	EU
2022-12-22-221209L19_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-04min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-04min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-04min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T1	4	EU
2022-12-22-221209L20_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-10min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-10min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-10min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T3	10	EU
2022-12-22-221209L21_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-16min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-16min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-16min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T5	16	EU
2022-12-22-221209L22_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-28min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-28min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-28min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T6	28	EU
2022-12-22-221209L23_exp221207_MS96_SCGEuri_7hr-G1-arrest_10uM-EU-40min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-40min-chase_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_10uM-EU-40min-chase	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	T7	40	EU
2022-12-22-221209L24_exp221207_MS96_SCGEuri_7hr-G1-arrest_00uM-EU_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_00uM-EU_EU-enrich	exp221207_MS96_SCGEuri-7hr-G1-arrest_00uM-EU	exp221207	MS96	WT	7hr_arrest	exp221207_MS96_7hr_arrest	Tbackground	NA	EU
