sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-05-12-MS250423L16_exp250415_MS908_SCGEuri_7.5hr-arrest_44min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_input	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T7	44	input
2025-05-12-MS250423L17_exp250415_MS908_SCGEuri_1.5hr-arrest_no-EU_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_no-EU	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-05-12-MS250423L18_exp250415_MS908_SCGEuri_1.5hr-arrest_04min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T1	4	EU
2025-05-12-MS250423L19_exp250415_MS908_SCGEuri_1.5hr-arrest_07min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T2	7	EU
2025-05-12-MS250423L20_exp250415_MS908_SCGEuri_1.5hr-arrest_10min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T3	10	EU
2025-05-12-MS250423L21_exp250415_MS908_SCGEuri_1.5hr-arrest_13min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T4	13	EU
2025-05-12-MS250423L22_exp250415_MS908_SCGEuri_1.5hr-arrest_18min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T5	18	EU
2025-05-12-MS250423L23_exp250415_MS908_SCGEuri_1.5hr-arrest_28min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T6	28	EU
2025-05-12-MS250423L24_exp250415_MS908_SCGEuri_1.5hr-arrest_44min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250423	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp250423_MS908_1.5hr_arrest_60min-PhIAA	T7	44	EU
2025-05-12-MS250423L25_exp250415_MS908_SCGEuri_7.5hr-arrest_no-EU_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-05-12-MS250423L26_exp250415_MS908_SCGEuri_7.5hr-arrest_04min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T1	4	EU
2025-05-12-MS250423L27_exp250415_MS908_SCGEuri_7.5hr-arrest_07min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T2	7	EU
2025-05-12-MS250423L28_exp250415_MS908_SCGEuri_7.5hr-arrest_10min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T3	10	EU
2025-05-12-MS250423L29_exp250415_MS908_SCGEuri_7.5hr-arrest_13min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T4	13	EU
2025-05-12-MS250423L30_exp250415_MS908_SCGEuri_7.5hr-arrest_18min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T5	18	EU
2025-05-12-MS250423L31_exp250415_MS908_SCGEuri_7.5hr-arrest_28min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T6	28	EU
2025-05-12-MS250423L32_exp250415_MS908_SCGEuri_7.5hr-arrest_44min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp250423_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp250423	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp250423_MS908_7.5hr_arrest_60min-PhIAA	T7	44	EU
