gene_id,TE_WT_Arava,TE_WT_Park_HP,TE_WT_Park_LP,TE_WT_Gerashchenko,is_ambiguous_Gerashchenko,TE_WT_Sen,TE_WT_Arava_mean_norm,TE_WT_Park_HP_mean_norm,TE_WT_Park_LP_mean_norm,TE_WT_Gerashchenko_mean_norm,TE_WT_Sen_mean_norm,TE_WT_PP,TE_WT_RS,TPMsc_input_small_YM,TPMsc_MandP_small_YM,TPMsc_P_small_YM,TPMsc_input_large_YM,TPMsc_MandP_large_YM,TPMsc_P_large_YM,TE_rRNAdep_MandP_small_YM,TE_rRNAdep_P_small_YM,TE_rRNAdep_MandP_large_YM,TE_rRNAdep_P_large_YM,TE_polyA_MandP_small_YM,TE_polyA_P_small_YM,TE_polyA_MandP_large_YM,TE_polyA_P_large_YM,TPMsc_input_polyA_small_YM,TPMsc_input_polyA_large_YM
YGR044C,0.396475969,1.336752892,1.457994904,0.611974299,FALSE,1.205807828,1.168471596,1.22031476,1.262395448,0.646864826,0.997813899,1.217060601,0.822339363,95.44742927,114.0308068,110.5235631,196.420664,230.8393299,253.0181935,1.194697517,1.157952225,1.175229353,1.288144477,0.980304941,0.950153718,1.27595413,1.398546813,116.3217709,180.9150693
YER190W,0.011403151,0.739586532,0.618493332,0.255186686,TRUE,NA,0.033606723,0.675164697,0.535518448,0.269735659,NA,0.414763289,0.269735659,1.792024364,2.693965946,1.250245854,0.701363779,2.250041902,0.258943106,1.503308772,0.697672353,3.208095386,0.369199428,8.169929923,3.791592478,50.13178204,5.76935004,0.329741622,0.044882544
YLR467W,0.010740642,0.752523084,0.641246318,0.255186686,TRUE,0.225312616,0.031654213,0.686974409,0.555218973,0.269735659,0.18644767,0.424615865,0.228091665,6.131448126,2.760218581,3.167325676,6.634250947,6.826176732,5.982444351,0.450174009,0.516570574,1.028929533,0.90175129,1.497184891,1.718006023,6.243414489,5.471712967,1.843605688,1.09334031
YLR466W,0.039344469,0.754724324,0.641233923,0.255186686,TRUE,NA,0.115953797,0.688983909,0.555208241,0.269735659,NA,0.453381982,0.269735659,48.69140854,31.72577582,27.25077175,48.07615969,44.695349,39.98317908,0.651568249,0.559662835,0.929678021,0.83166333,0.442802667,0.380344187,0.866003718,0.774702123,71.64766197,51.61103591
YKR077W,0.203288187,0.844302019,0.612260602,1.445689011,FALSE,NA,0.599119469,0.77075892,0.530121878,1.528112164,NA,0.633333423,1.528112164,28.67683184,26.25742796,27.24624056,149.61907,135.4661015,159.4941139,0.915632107,0.950113343,0.905406654,1.066001238,1.521660813,1.578964117,1.111791264,1.308992881,17.25576931,121.8449055
YNL082W,0.248918652,0.549892445,0.344377164,0.907262632,FALSE,0.870550563,0.733599,0.501993953,0.298176738,0.95898845,0.720386311,0.511256564,0.83968738,6.222554242,6.055183415,5.004020252,11.96282621,6.434362157,8.073525775,0.973102552,0.804174629,0.537863047,0.674884482,0.633392056,0.52343694,0.559765832,0.702367036,9.559929522,11.49473902
YPR204W,0.017505066,0.746151368,0.640224836,0.255186686,TRUE,0.156041319,0.051589943,0.681157702,0.554334529,0.269735659,0.129125216,0.429027391,0.199430438,32.41602665,26.42985816,22.64869644,51.47042118,53.922697,49.63219142,0.815333059,0.698688235,1.047644371,0.964285706,0.199532521,0.170986596,0.450473086,0.414629973,132.4588998,119.7023723
YGL055W,0.369756543,0.956817468,0.957361677,1.553225712,FALSE,2.887858391,1.089725611,0.873473689,0.82892541,1.641779861,2.389721792,0.930708236,2.015750826,1491.150488,1053.155922,1072.572409,572.2660384,383.7089064,402.0232011,0.706270716,0.71929186,0.670507912,0.702511025,1.137285248,1.158252782,1.009143669,1.05730975,926.0261878,380.2321892
YLR194C,0.07966732,1.105332494,1.078558372,1.24310213,FALSE,1.035264924,0.234791029,1.009052283,0.933862783,1.313975185,0.856688526,0.725902032,1.085331855,196.1101679,209.4397205,202.765431,875.2724552,822.3979919,826.2970166,1.067969717,1.033936349,0.939590852,0.944045493,1.501693667,1.453838665,1.380527627,1.387072769,139.4690043,595.7128098
YGL028C,0.035269429,0.584873885,0.420703579,1.475094153,FALSE,0.939522749,0.103944071,0.533928327,0.36426347,1.559193782,0.777461248,0.334045289,1.168327515,181.6818838,117.6601158,104.1910664,5.889829492,7.833975032,8.865180346,0.647616115,0.573480769,1.330085199,1.50516757,1.127862642,0.998751451,2.255520413,2.552420087,104.3213167,3.473245016
