Gene_ID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction	Model_factor
YPL054W	LEE1	85.69232898	2.519343732	0.217023311	9.304731932	1.34E-20	9.49E-19	Upregulated	Age_48h_vs_log
YNL305C	BXI1	614.0842446	1.35925714	0.092674118	9.271813536	1.83E-20	1.28E-18	Upregulated	Age_48h_vs_log
YBR117C	TKL2	74.64260179	2.443591608	0.209770298	9.265332735	1.94E-20	1.35E-18	Upregulated	Age_48h_vs_log
IGS2-1S	IGS2-1S	63802.08482	3.056084051	0.276804939	9.234242928	2.60E-20	1.78E-18	Upregulated	Age_48h_vs_log
YHR209W	CRG1	616.0873253	1.80637802	0.141509974	9.231702769	2.66E-20	1.81E-18	Upregulated	Age_48h_vs_log
YMR056C	AAC1	162.7152647	1.615643837	0.120980054	9.221717161	2.92E-20	1.96E-18	Upregulated	Age_48h_vs_log
YDL085W	NDE2	115.7885676	3.196516203	0.292872465	9.20713459	3.35E-20	2.22E-18	Upregulated	Age_48h_vs_log
YPL198W	RPL7B	5084.668699	-1.268081073	0.083717329	-9.174696305	4.53E-20	2.98E-18	Downregulated	Age_48h_vs_log
YGL121C	GPG1	284.8791522	2.736630924	0.243832485	9.172817645	4.61E-20	3.00E-18	Upregulated	Age_48h_vs_log
YLL046C	RNP1	64.30455813	3.28636563	0.303912952	9.168301685	4.81E-20	3.10E-18	Upregulated	Age_48h_vs_log
YML100W	TSL1	1499.2164	1.922541431	0.155485359	9.149037856	5.74E-20	3.67E-18	Upregulated	Age_48h_vs_log
YJL082W	IML2	916.2208841	1.353506815	0.093363028	9.141807366	6.14E-20	3.89E-18	Upregulated	Age_48h_vs_log
YLR307C-A	YLR307C-A	108.3273256	4.230283161	0.408203323	9.138296906	6.34E-20	3.98E-18	Upregulated	Age_48h_vs_log
IGS2-1AS	IGS2-1AS	6695.92625	4.019915665	0.38523558	9.137047165	6.42E-20	3.98E-18	Upregulated	Age_48h_vs_log
YMR280C	CAT8	237.8707126	2.630926064	0.233278592	9.134683339	6.56E-20	4.03E-18	Upregulated	Age_48h_vs_log
YJL089W	SIP4	73.76714722	2.398884149	0.207916128	9.132933382	6.67E-20	4.06E-18	Upregulated	Age_48h_vs_log
YPR078C	YPR078C	32.71701556	3.169176867	0.292577256	9.122981416	7.31E-20	4.41E-18	Upregulated	Age_48h_vs_log
YLR252W	YLR252W	156.7316979	2.000902925	0.164826997	9.10592898	8.55E-20	5.12E-18	Upregulated	Age_48h_vs_log
YHR203C	RPS4B	10468.2924	-1.368263831	0.095441467	-9.097343752	9.26E-20	5.49E-18	Downregulated	Age_48h_vs_log
YAL003W	EFB1	14077.45899	-1.323470616	0.091101705	-9.03902525	1.58E-19	9.29E-18	Downregulated	Age_48h_vs_log
YMR116C	ASC1	16173.17453	-1.65255149	0.128546151	-8.966052147	3.07E-19	1.79E-17	Downregulated	Age_48h_vs_log
YPR184W	GDB1	1090.590723	1.582221141	0.120812063	8.957889755	3.31E-19	1.91E-17	Upregulated	Age_48h_vs_log
YER039C	HVG1	69.70735479	2.011193029	0.168712609	8.95720267	3.33E-19	1.91E-17	Upregulated	Age_48h_vs_log
YIL042C	PKP1	268.3455426	1.207630672	0.079274231	8.926364326	4.40E-19	2.50E-17	Upregulated	Age_48h_vs_log
YDR119W-A	COX26	27.69818454	4.47174967	0.445225547	8.920758689	4.63E-19	2.61E-17	Upregulated	Age_48h_vs_log
YER043C	SAH1	6280.290752	-1.26274472	0.085697105	-8.900472463	5.56E-19	3.10E-17	Downregulated	Age_48h_vs_log
YJL132W	YJL132W	276.2719747	1.622361628	0.126183565	8.894673598	5.86E-19	3.24E-17	Upregulated	Age_48h_vs_log
YOR289W	YOR289W	164.2724342	1.930159185	0.160945833	8.885965913	6.34E-19	3.48E-17	Upregulated	Age_48h_vs_log
YML120C	NDI1	803.9142157	1.374227988	0.098508341	8.874659526	7.01E-19	3.82E-17	Upregulated	Age_48h_vs_log
YDL199C	YDL199C	184.8975851	1.695583265	0.134757888	8.872083702	7.18E-19	3.88E-17	Upregulated	Age_48h_vs_log
YHR097C	YHR097C	483.8443445	1.571045059	0.120895036	8.859297228	8.05E-19	4.31E-17	Upregulated	Age_48h_vs_log
YBR189W	RPS9B	13569.79086	-1.509231368	0.114613113	-8.805548854	1.30E-18	6.92E-17	Downregulated	Age_48h_vs_log
YGL156W	AMS1	938.4424521	2.614504346	0.240159924	8.804567841	1.31E-18	6.92E-17	Upregulated	Age_48h_vs_log
YIR028W	DAL4	58.38139462	2.756170651	0.256477708	8.796751461	1.41E-18	7.37E-17	Upregulated	Age_48h_vs_log
YLR044C	PDC1	84448.62474	-1.382316196	0.10036076	-8.7914459	1.48E-18	7.66E-17	Downregulated	Age_48h_vs_log
YNL096C	RPS7B	4234.89293	-1.386095871	0.10082473	-8.788477466	1.52E-18	7.81E-17	Downregulated	Age_48h_vs_log
YDR165W	TRM82	1211.676161	-1.063902338	0.064178563	-8.786459463	1.54E-18	7.89E-17	Downregulated	Age_48h_vs_log
YAL034C	FUN19	508.6020545	1.36041003	0.097953772	8.783837607	1.58E-18	8.01E-17	Upregulated	Age_48h_vs_log
YNL194C	YNL194C	24.01439333	3.439263028	0.335054363	8.772495916	1.75E-18	8.79E-17	Upregulated	Age_48h_vs_log
YHR087W	RTC3	239.4516978	2.388081766	0.216630653	8.715672228	2.89E-18	1.44E-16	Upregulated	Age_48h_vs_log
YPL281C	ERR2	45.72638612	3.262025323	0.317605964	8.696389985	3.43E-18	1.70E-16	Upregulated	Age_48h_vs_log
YMR169C	ALD3	232.9890579	1.514332495	0.116692636	8.692343628	3.55E-18	1.75E-16	Upregulated	Age_48h_vs_log
YKR059W	TIF1	8096.117635	-1.248826767	0.086255136	-8.681532525	3.90E-18	1.91E-16	Downregulated	Age_48h_vs_log
YGL205W	POX1	30.59933164	2.973004953	0.284926056	8.679462276	3.98E-18	1.93E-16	Upregulated	Age_48h_vs_log
YBR147W	RTC2	138.0918633	2.606078007	0.242673571	8.678645975	4.01E-18	1.93E-16	Upregulated	Age_48h_vs_log
YMR250W	GAD1	731.8892255	1.759169155	0.146080901	8.61966998	6.71E-18	3.21E-16	Upregulated	Age_48h_vs_log
YKL081W	TEF4	14483.12795	-1.581999378	0.125801994	-8.600812628	7.92E-18	3.76E-16	Downregulated	Age_48h_vs_log
YKR058W	GLG1	313.8398222	1.478978192	0.113911826	8.594175251	8.39E-18	3.95E-16	Upregulated	Age_48h_vs_log
YBR201C-A	YBR201C-A	120.795413	2.357453155	0.216397729	8.583515025	9.20E-18	4.30E-16	Upregulated	Age_48h_vs_log
YGR194C	XKS1	332.7212975	1.160918799	0.077111346	8.570966966	1.03E-17	4.77E-16	Upregulated	Age_48h_vs_log
YGR248W	SOL4	229.0206612	2.081136474	0.184538288	8.568067309	1.05E-17	4.85E-16	Upregulated	Age_48h_vs_log
YKL071W	YKL071W	56.52574219	2.215010214	0.200918671	8.5358429	1.39E-17	6.33E-16	Upregulated	Age_48h_vs_log
YEL040W	UTR2	3217.123338	-1.510800634	0.11841588	-8.536022686	1.39E-17	6.33E-16	Downregulated	Age_48h_vs_log
YMR323W	ERR3	43.17830417	2.901181572	0.281360717	8.53417492	1.41E-17	6.38E-16	Upregulated	Age_48h_vs_log
YIL160C	POT1	39.90724626	3.785594191	0.385808573	8.516125409	1.65E-17	7.40E-16	Upregulated	Age_48h_vs_log
YLR061W	RPL22A	5768.859845	-1.505785074	0.118125249	-8.51456472	1.67E-17	7.45E-16	Downregulated	Age_48h_vs_log
YBL078C	ATG8	443.5940968	2.016988752	0.178265725	8.509705095	1.74E-17	7.72E-16	Upregulated	Age_48h_vs_log
YER098W	UBP9	315.5414045	1.208615593	0.083333062	8.503414852	1.84E-17	8.10E-16	Upregulated	Age_48h_vs_log
YJR145C	RPS4A	12435.18125	-1.362474223	0.101492146	-8.497940527	1.93E-17	8.43E-16	Downregulated	Age_48h_vs_log
YDL083C	RPS16B	6382.267332	-1.515988429	0.119579488	-8.496343723	1.96E-17	8.49E-16	Downregulated	Age_48h_vs_log
YAL062W	GDH3	240.863477	2.294689317	0.211271413	8.494709674	1.98E-17	8.50E-16	Upregulated	Age_48h_vs_log
YLR048W	RPS0B	9662.593478	-1.323144123	0.096892715	-8.495418054	1.97E-17	8.50E-16	Downregulated	Age_48h_vs_log
YMR114C	YMR114C	410.6992903	1.550311725	0.123725389	8.489055755	2.08E-17	8.87E-16	Upregulated	Age_48h_vs_log
YMR107W	SPG4	44.3243677	3.415155737	0.343798546	8.479255579	2.27E-17	9.59E-16	Upregulated	Age_48h_vs_log
YJL138C	TIF2	8310.487839	-1.238827762	0.087292032	-8.463862556	2.59E-17	1.09E-15	Downregulated	Age_48h_vs_log
YIL078W	THS1	8140.5591	-1.26643459	0.090601483	-8.459404451	2.69E-17	1.12E-15	Downregulated	Age_48h_vs_log
YNL069C	RPL16B	11686.80912	-1.329359214	0.098167161	-8.448438436	2.95E-17	1.23E-15	Downregulated	Age_48h_vs_log
YJL133C-A	YJL133C-A	325.7731174	2.023257931	0.180574137	8.435637315	3.29E-17	1.36E-15	Upregulated	Age_48h_vs_log
