gene_id	log2FC_hl_Not1_AID	log2FC_hl_Pop2_AID	log2FC_hl_Xrn1_AID	log2FC_hl_dcp2_AID	log2FC_hl_CCR4_AID
YBR185C	-2.0393869982377	-1.9860366234989	0.512494689255028	0.605242659824877	0.930633827950779
YBR187W	-1.56210741866986	-1.35777137938832	-0.48851506823906	0.00205675843308868	NA
YBR191W	-0.132715349374285	-0.349833705462222	-0.275562928582927	NA	NA
YBR191W-A	-0.0918509501082961	-0.511078377899183	-0.162359343008912	NA	NA
YBR192W	-2.81682227232561	0.325960464750599	-2.45888007138061	0.0984965248634676	0.444334387176058
YBR194W	-1.00706363629062	-2.15342755852064	-0.185067853101999	-1.5061735290301	-1.5115573743883
YBR196C	-0.643123102529462	0.329929973442009	-1.0099023883507	-0.167487638240253	0.688293019279678
YBR199W	-3.08190380939596	-1.7620081959158	-2.00777770163022	-0.305395587244286	NA
YBR205W	0.0932026513207133	0.82598796857279	0.721240882252129	0.671234267695795	0.188622256805827
YBR206W	0.208464677915014	1.20897020127371	0.686191380634472	0.73326646553805	0.38767148356471
YBR207W	-1.87387015044567	-0.767412971620712	-2.00346566692075	-0.515256146642926	NA
YBR208C	-1.67569837103832	1.17735135226579	-1.02554793329104	-1.01416808039428	NA
YBR210W	NA	-0.414701880353428	0.419724120595378	-0.670787508918563	0.9241862997011
YBR212W	0.456243115799732	0.60564776065293	0.498844029090691	-1.37622959650233	-1.18916532208525
YBR218C	-1.60639405494026	-1.10856441217162	-1.76079882300266	-0.233979970918727	0.391342950551766
YBR237W	-3.3237490788366	-2.17064982295228	-0.984904559603798	-2.0973975760894	NA
YBR246W	-2.79124189692906	-1.86816837582767	-1.38746657255258	-1.89560232163823	-0.75192112532304
YBR249C	-2.44616868313446	-1.88749327913966	-1.65490911588601	-0.465373749215077	NA
YBR251W	-1.23514424433173	-1.11391756118459	-0.217751042867715	0.506180089596902	-0.214223925714684
YBR252W	-1.48156036769547	0.393731340576265	-1.03154972700749	-0.360663815100257	NA
YBR253W	0.0957822457541555	0.583392138149532	-0.00794526104907329	-1.16028669284108	0.439598102412687
YBR255C-A	-0.020866359495405	-0.92405032551868	1.33018091323033	-0.93092475186384	NA
YBR255W	NA	-0.473670217876969	NA	NA	1.14340675325403
YBR261C	-3.12685427971294	NA	NA	NA	NA
YBR263W	0.632888933458862	-0.553726405657854	0.866484796901591	-0.983568857069786	NA
YBR265W	-2.38330364145138	-1.39877437164551	-1.91895591647318	-0.692543374888883	NA
YBR268W	-1.28161457595269	-0.290568939739878	-1.4772168316587	0.595771345139741	-0.490759397435664
YBR269C	-3.11137055689935	-1.16702846922654	-1.97020111331951	-0.0778559068150153	NA
YBR270C	-0.0496210020381409	NA	1.62502350296305	-1.00045665434465	NA
YBR273C	-1.21807807574729	-0.735125993629853	NA	-0.61689344502464	1.31212109683143
YBR282W	-3.15177053239071	NA	-1.66725969909517	-0.908525477943307	NA
YBR284W	NA	0.495987808973142	0.665992931516472	NA	NA
YBR287W	-0.596752084838368	-1.5721496848674	-2.32032341238167	-0.790988804591674	NA
YBR288C	-2.69527498109205	-0.927024248496762	-0.424562291702536	-1.6536371962804	NA
YBR290W	-2.72445800857369	-0.440301199380247	-1.5312775960861	-1.5843676574183	NA
YBR297W	NA	NA	2.04765293271808	-0.716296127609111	NA
YBR298C-A	NA	NA	-0.761019291031471	-0.398159986203841	NA
YBR302C	NA	NA	NA	NA	-0.780321857469956
YCL005W-A	-1.30967345537803	0.273917006370036	-1.26088089720081	-0.759157001563381	-1.29714497349026
YCL011C	-0.958277152943508	-1.28235313982616	-2.34735196721191	-0.467096705093179	NA
YCL017C	-2.67739739608994	-0.26104594389621	-1.92953636793586	-0.172983848808498	NA
YCL028W	-1.50634926617997	NA	-1.20472235009045	-0.0861661712009164	-0.741188292046997
YCL029C	-0.807651500375337	0.909466512125772	0.385102137169757	1.45899402425411	NA
YCL030C	-2.32062750250378	-1.22840978282605	-0.880898087994327	-0.272762511389001	NA
YCL032W	-1.77807677402782	0.060773955752481	-0.0370826969746081	-0.0914693588328051	1.36032794410635
YCL040W	-2.02042317561043	-0.673217998602135	-1.38530166528903	-0.968185776397542	-0.428091523690167
YCL043C	-1.20108473614023	-0.492408220616033	-1.54475139121463	-0.28413721810686	NA
YCL044C	-2.25834293925457	-1.55106066730017	NA	0.508934312094819	-0.599117725576552
YCL050C	-1.55191401960241	-0.448380480854678	-2.06787678799955	-1.02322891862936	0.0491173484606982
YCL051W	-2.54687832348728	-0.534241359332482	0.0550328540434727	-0.290409755628364	-0.224157233374096
YCL052C	-1.95691073682579	-0.151701605267148	-0.325987032933382	-0.532195163155314	-0.494226443861747
YCL056C	-1.30226021092424	0.296309584820774	-1.87284019032698	-0.884230123090608	NA
YCL057C-A	-1.40058262500686	-0.189290298844209	-0.873007062032361	0.30879696367737	NA
YCL064C	-0.152159511288945	1.45845314366144	1.95552831842229	1.43166914832998	NA
YCL067C	-2.04791437953266	-2.04519061516098	-2.81474180564868	-1.61855990058053	-0.576864987702639
YCR007C	-1.51696547283897	-0.406163856187446	-0.198627143546891	-0.387427203399438	NA
YCR009C	-1.14055376921331	-0.38335066857363	-1.66684168027587	-1.06465914139029	NA
YCR012W	-0.861959466249327	-0.145214543600659	-1.12869093811986	-0.347724677643265	0.208215270275214
YCR018C	0.112456346517467	-0.305340461256328	1.55308122467443	1.52748603765446	NA
YCR019W	-2.7598991095282	0.634235083778708	-0.0490974766358729	-0.995100408334267	NA
YCR020C	NA	-0.923617868019563	-0.18232888695085	-0.250575425921236	NA
