gene_id	gene_name	MS791_SCD_1hr-arrest_PhIAA_rep2	MS791_SCD_4hr45m-arrest_PhIAA_rep2	MS791_SCD_1hr-arrest_DMSO_rep2	MS791_SCD_4hr45m-arrest_DMSO_rep2	MS793_SCD_1hr-arrest_PhIAA_rep1	MS793_SCD_4hr45m-arrest_PhIAA_rep1	MS793_SCD_1hr-arrest_DMSO_rep1	MS793_SCD_4hr45m-arrest_DMSO_rep1	MS756_SCD_1hr-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_PhIAA_rep2	MS756_SCD_4hr45m-arrest_longPhIAA_rep2	MS756_SCD_1hr-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_DMSO_rep2	MS756_SCD_4hr45m-arrest_longDMSO_rep2	MS69_1hr-arrest_Torin_rep1	MS69_1hr-arrest_DMSO_rep1	MS69_4.75hr-arrest_Torin_rep1	MS69_4.75hr-arrest_DMSO_rep1	MS69_1hr-arrest_Rapa_rep2	MS69_1hr-arrest_DMSO_rep2	MS69_4.75hr-arrest_Rapa_rep2	MS69_4.75hr-arrest_DMSO_rep2	MS756_1hr-arrest_PhIAA_rep1	MS756_1hr-arrest_DMSO_rep1	MS756_4.75hr-arrest_PhIAA_rep1	MS756_4.75hr-arrest_DMSO_rep1	MS791_1hr-arrest_PhIAA_rep1	MS791_1hr-arrest_DMSO_rep1	MS791_4.75hr-arrest_PhIAA_rep1	MS791_4.75hr-arrest_DMSO_rep1
YER053C	PIC2	-0.086365446	2.270538662	-0.200749331	3.261208152	0.057215762	2.425482376	-0.35509149	2.605416302	-1.309755089	-0.656610784	0.061880422	-0.230491508	0.830117752	0.963106949	2.276870539	-0.16127779	4.408017501	3.128241514	2.003488384	0.145047812	3.40639385	2.77799497	-1.449549435	0.188311185	-1.084919884	1.043396188	0.09658051	-0.087197788	1.707889915	2.822693548
YIL045W	PIG2	0.440638511	1.818972211	0.374887453	2.465630197	0.185829486	1.454863014	0.570577982	1.438440851	-1.263546884	-1.50691128	-0.634897232	0.171327665	0.682718822	0.586990629	2.074883725	-0.237758172	1.934625702	0.576963438	2.018313738	0.204062936	2.409704687	1.817926348	-0.573713109	-0.434093085	-1.796135627	0.349862835	0.653337337	0.281122571	1.4712373	1.927868728
YGL059W	PKP2	-0.010368374	2.058513149	0.16292172	2.223177002	0.341744464	1.988182363	0.0550088	1.949040923	-0.427295135	0.876204959	0.718345528	-0.042997783	1.557562013	1.679470331	2.998330829	0.02217456	2.566073411	2.214060953	2.780760576	-0.022520716	2.484343679	1.82722147	-0.052051668	0.269519177	0.605391869	1.694050988	-0.064319997	0.232599883	2.002765282	1.864286292
YGL006W	PMC1	-0.527369154	-0.480380455	-0.021464553	-0.136207072	0.418356742	-0.069810652	-0.385275827	0.127595148	-1.329714858	-1.079047878	0.681605686	-0.122989695	-0.611329203	-0.583814126	2.720940895	-0.095369105	2.165926073	-0.134262284	1.480944303	0.08945376	0.873188818	-0.308275439	-1.089240642	-0.503828934	-1.388952241	-0.717879527	-0.105293756	-0.017602087	-0.595473784	-0.352104729
YGL037C	PNC1	-1.148685627	1.052627562	-0.635878154	2.498390923	-0.219106584	1.075397109	-0.354252254	2.241727139	-3.191606719	-3.47669023	-1.183962298	-0.338634284	0.630395773	0.622627872	2.700586255	-0.163982185	3.413151309	2.705086293	2.369782927	0.147231151	3.428275123	2.373917127	-3.588815057	-0.049387104	-4.444011998	0.541646256	-0.447127249	0.270155534	0.62389741	2.266753656
YNL055C	POR1	-0.34486653	1.021649505	-0.107076601	1.455941362	-0.106373905	0.187188475	-0.173483742	0.557740225	-1.858419847	-1.261634395	-0.894029395	0.029738348	0.155964308	0.206810003	1.995797622	-0.064508455	2.444902357	0.947285827	2.20491146	0.061747065	2.541683737	0.825502265	-1.525890597	0.091032913	-1.016974825	0.256592636	0.380867051	0.640463518	0.926953887	1.305871782
YEL060C	PRB1	-0.589276403	1.617871009	-0.130524555	2.153867376	0.57167382	1.135205123	-0.280066497	1.584858343	-1.589284401	-0.397934931	1.277461778	-0.224387699	0.782533614	0.833698147	4.355342628	-0.100799201	4.129539518	1.687626227	2.977404459	0.094214084	3.476228892	1.616401932	-1.772293191	-0.2060651	-0.561790968	0.72724124	0.346858727	0.588063587	1.266337066	1.941619763
YMR297W	PRC1	-0.189874579	0.920269859	0.001406652	1.4420444	0.04370181	0.830961618	0.004178601	1.003117664	-1.440018705	-1.5407164	-1.014841538	-0.065539782	0.213944411	0.238429579	2.123833122	-0.137892732	2.466925581	1.245629437	2.042328144	0.125855142	2.142305295	1.017020149	-1.45380639	0.142878531	-1.300010114	0.170577398	0.545361215	0.759478891	0.665561052	1.262746262
YBL064C	PRX1	-0.739209161	1.916060486	-0.712555017	2.810006086	0.165378533	2.256464378	-0.041116625	2.554012541	-2.104575063	-1.20131319	0.310109549	0.016405268	1.591022521	1.562462236	3.313551848	-0.124659409	4.670427862	3.003301882	2.837581583	0.114739405	4.098585538	2.814341618	-2.61488602	0.006558128	-1.048800734	1.566118472	-0.580460589	-0.367660183	1.472443738	2.492587256
YDR032C	PST2	-0.302031826	1.341957018	-0.103019991	1.805536342	-0.168458052	1.013762251	-0.241334124	1.299125057	-1.801304706	-0.44804271	-0.084367648	0.085964007	0.838095086	0.754668743	2.2735864	-0.039560218	2.535462377	1.591030682	2.184148776	0.038504324	2.487959392	1.406692184	-1.419215776	0.377062574	-0.176064355	0.669647742	0.876642277	1.056534497	1.01925725	1.562891671
YJR059W	PTK2	-0.536140271	0.568526068	-0.218725867	1.10195734	-0.274726517	0.798860012	-0.278598907	0.909037687	-1.04256216	-1.442781868	-0.64130426	-0.226635724	0.204317495	0.185012025	2.130636234	-0.069070925	2.531726502	1.098338687	1.220015267	0.065914601	1.647162987	1.161892674	-0.915731439	-0.04320307	-1.187912488	0.373240191	-0.449118256	-0.370057458	0.416706866	0.902446743
YLR142W	PUT1	0.587396517	2.728091643	0.474051821	2.814477077	1.197606768	1.823805798	0.212217054	1.937636185	-1.287598338	1.314902491	1.564521605	-0.092858185	1.259324012	1.239095259	6.2524804	0.092556482	7.323924191	1.324610043	4.794002247	-0.098904021	6.06275034	1.626027153	-0.371408962	0.216507026	1.286208993	0.997838764	0.991603891	0.193858699	2.2362029	2.164205011
YKL188C	PXA2	0.146704551	0.995959228	0.497774333	1.298741322	0.259740886	0.908816984	0.165800637	0.838406435	-0.695439459	-0.208326874	0.551326347	0.139989799	0.382957201	0.504038793	3.158310164	-0.04599595	2.121258846	0.627853131	2.539182041	0.044574704	1.937521978	0.661542101	-0.686334717	0.328697	-0.358451331	0.311974852	0.354920382	0.399141504	1.00006006	0.457335575
YOR220W	RCN2	-0.085529178	1.241736911	0.10655631	1.608446557	0.872365402	0.911679706	-0.019701964	1.12496867	-0.783850386	-0.17164466	1.511284091	0.010690206	0.635163006	0.519231154	4.378904066	0.006897683	2.86922852	0.904104651	1.964664351	-0.00693082	1.914694864	0.956117161	-0.636422713	-0.130447844	-0.860889133	0.53085578	0.516397549	0.663059291	0.724823433	1.472138131
YDR003W	RCR2	-0.30104712	0.028503967	0.066140277	0.702750012	-0.259188767	-0.036567401	-0.199940571	0.40532164	-0.818125405	-1.308883907	-0.565985491	0.07351834	-0.07916837	-0.226052457	2.137353905	-0.111283393	0.817713949	0.121790395	2.025658633	0.103310769	1.151874272	0.162061637	-1.433530749	-0.000426239	-0.941481192	-0.493107423	-0.346267037	-0.051940947	-0.417805186	0.715978942
YOR285W	RDL1	0.00368746	1.855296208	0.142086028	2.295402497	0.059867894	1.164699223	-0.112351791	1.484078093	-1.056567161	-0.32484542	0.59079513	-0.044487569	0.956689581	0.882910898	3.052920435	-0.093405695	3.203526117	1.732764171	2.491909908	0.087724224	2.967859145	1.471094372	-0.989789995	0.216316918	-0.158976247	0.927152118	0.644952783	0.707055476	1.456988632	2.062093356
YBR052C	RFS1	-0.205188311	0.261860893	-0.113491943	0.489852598	-0.106778952	0.286552552	-0.20554706	0.528496274	-1.785597774	-2.475281993	-1.130667366	-0.220821465	-0.544548617	-0.487755625	2.072470152	-0.265271607	0.87093974	0.48489451	1.857803675	0.223988301	0.790500513	0.557016672	-1.278665938	0.177579542	-1.835402717	-0.664338355	0.256991954	0.114905863	0.449592327	0.671686976
YMR139W	RIM11	-0.179653855	0.406265071	0.115698895	0.719133208	0.060271016	0.371045546	-0.11026584	0.639957613	-1.193538774	-1.503190107	-0.556947726	0.082509486	-0.028608929	-0.056709997	2.393207257	-0.140226804	1.449531916	0.413114952	1.635215363	0.127796362	1.128541781	0.440556328	-1.36390887	0.028897863	-1.691377684	-0.050309732	0.10194761	-0.037699013	0.44442286	0.91669542
YDR255C	RMD5	-0.643583246	0.543656297	-0.29222449	0.899586109	-0.103957767	0.000496869	-0.321587096	0.641352921	-1.419486805	-1.358604162	-0.32213771	-0.197678326	-0.128415861	0.231945406	1.734311591	-0.486664657	1.137665297	0.726572527	1.334151978	0.363257304	1.290663904	1.084718583	-2.851253292	-0.4973863	-1.049084237	0.220120406	-0.187148626	-0.104450373	-0.104639318	0.414412746
YPL152W	RRD2	-0.090191025	1.403777463	0.152206436	1.272049145	0.16495841	0.856502922	-0.368593174	1.101442119	-0.806637448	-0.134853042	-0.113774246	-0.081919903	0.691450049	0.879445053	1.453481841	0.101770348	1.914660754	1.108157019	1.585441131	-0.109497983	1.55997013	1.016242693	-1.011475761	-0.020587287	-1.135128031	0.664000587	0.266694264	0.570796697	1.018576576	1.265081335
YOL048C	RRT8	-0.00164247	0.567212096	-0.070517454	1.142284387	-0.089994061	0.512474859	-0.255808129	0.829934311	-1.807841012	-1.364024792	-0.57876087	-0.216088852	0.465881876	0.217729895	1.824544437	0.05911469	0.517455062	0.054599216	2.210631658	-0.061640802	1.245705221	0.688539511	-2.53968938	-0.061719036	-2.141599877	0.206546548	0.3710281	0.312018977	0.938201443	0.672074467
YHR087W	RTC3	-3.169344295	-0.210327706	-2.277391525	1.47603123	0.240249251	0.763585848	-1.119286358	1.357145817	-2.81356191	-4.021289394	-0.539939065	-0.503289436	-1.612584728	-1.530967031	4.110527503	-0.264980575	4.818177287	1.139054858	2.047612332	0.223780937	4.068914846	1.5643766	-4.785631297	-0.152167879	-4.549157569	-2.639979809	-1.689873952	-1.333150571	-1.089760444	1.301041367
YDL204W	RTN2	0.127477439	1.802610182	-0.013702903	3.614910695	0.055955689	2.371732285	-0.223031341	2.889793643	-0.729441784	-1.280841606	-1.037143413	-0.104299393	-0.543418578	-0.120206524	3.539493096	0.025830856	7.218364178	3.192981588	3.126171136	-0.026301791	6.047876638	2.74651156	-0.697153465	-0.085293444	-1.160364011	-0.825609584	0.04025799	0.47550027	1.308242368	3.519104143
YKL193C	SDS22	-0.066118505	0.711364328	0.300622224	1.430426612	-0.002373445	0.341381833	0.043371907	1.01342318	-0.943568246	-1.705834846	-0.304617125	-0.099799319	0.064087542	0.236693488	2.044351452	-0.214420674	2.418877389	0.639759481	1.826240631	0.186637227	2.764574346	0.926583104	-0.766186117	0.101681575	-1.401041353	0.105372935	-0.038270868	0.463261138	0.640303804	1.403249885
