gene_id	log2FC_pat1D	log2FC_lsm1D	log2FC_dhh1D
YDR475C	-0.364181943	-0.3373573812	0.368292262
YDR476C	0.16529828	0.1834727455	-0.248087048
YDR477W	-0.300361884	-0.204510753	0.411318214
YDR478W	0.002015321	0.1234114377	-0.014242891
YDR479C	-0.035883949	0.0283458008	0.512325951
YDR480W	0.149802088	0.1364490125	0.421089097
YDR481C	-0.812500106	-0.743103287	-0.331739558
YDR482C	0.676500949	0.7219425735	0.228016057
YDR483W	-0.359501412	-0.3114041271	-0.477194731
YDR484W	-0.222488584	-0.1203926494	0.443934246
YDR485C	0.050707088	0.0432233619	0.563760275
YDR486C	0.968882494	0.8951651983	0.784090872
YDR487C	0.055132394	0.1005101824	-0.287219124
YDR488C	-0.342414337	-0.2060736764	-0.653759722
YDR489W	0.267890119	0.2058123705	0.149256703
YDR490C	0.3257065	0.3667397046	-0.076998358
YDR491C	1.06398719	0.7078713848	-0.419685029
YDR492W	0.554024014	0.482771011	-0.626144611
YDR493W	0.501770431	0.3830455004	0.809690532
YDR494W	0.522206176	0.5310638351	0.68303346
YDR495C	-0.060331724	-0.0301012272	0.748019301
YDR496C	-0.120554549	-0.0776554636	0.037570957
YDR497C	1.650510556	1.7484574196	0.345818823
YDR498C	0.020007752	0.0829069157	0.333616077
YDR499W	-0.169224129	-0.0970578959	0.290286676
YDR500C	-0.121771884	-0.1678679126	-0.540514522
YDR501W	0.038804846	0.0013899252	0.516852024
YDR502C	0.818718759	0.9906933792	-0.209887802
YDR503C	0.368614725	0.3374517113	0.270823179
YDR504C	-0.25178193	-0.4269280217	0.381048093
YDR505C	-0.336047918	-0.3395355699	0.439777269
YDR506C	0.20912012	0.204583042	0.173168868
YDR507C	-0.278063908	-0.2220414182	0.340524708
YDR508C	0.300817839	0.3549220787	-0.077087485
YDR509W	2.817640406	1.5287704107	1.099604172
YDR510W	0.296757235	0.2912140068	0.036686858
YDR511W	0.961207223	0.9498433125	0.916572438
YDR512C	0.605167307	0.4775406246	0.567080606
YDR513W	0.798640927	0.6462431607	0.656643113
YDR514C	-0.061909252	-0.0265813723	-0.076531272
YDR515W	0.250428545	0.2630453733	0.844945009
YDR516C	0.73986097	0.7414516816	0.547508491
YDR517W	0.003787079	0.0879106532	-0.51799767
YDR518W	0.363224144	0.5096437156	-0.176475848
YDR519W	-0.320109879	-0.3660322511	-0.313842486
YDR520C	-0.241793922	-0.2690703262	0.525993332
YDR521W	0.806180453	1.2511218845	-2.235076103
YDR522C	1.311250447	1.2972425398	-0.118959712
YDR523C	0.378849668	0.2732259823	-0.158661531
YDR524C-A	0.458559592	0.2334666387	-1.051131327
YDR524C-B	-0.397056084	-0.5272526663	-0.359857512
YDR524C	-0.314518885	-0.3571025646	-0.303752075
YDR524W-C	0.676671826	0.827535261	0.754780494
YDR525W-A	0.829955585	0.8259862631	0.85182184
YDR525W	0.424227859	0.7810942478	0.466691961
YDR526C	1.845867989	2.0271345138	-0.622298808
YDR527W	-0.572627732	-0.6167944926	-0.43654945
YDR528W	-0.24800486	-0.2045193498	0.8987609
YDR529C	0.988933198	0.8348536337	0.827667065
YDR530C	-0.018484732	-0.0813868269	0.082005544
YDR531W	0.05585956	0.0988177542	-0.287675386
YDR532C	0.357555764	0.3629903161	0.655187912
YDR533C	0.391828572	0.2356108331	0.268088656
YDR534C	0.250501811	0.3800211219	-0.633790203
YDR535C	0.397538962	NA	NA
YDR536W	2.37072047	2.2287002631	2.780553892
YDR537C	0.360179702	0.3005928992	0.045690404
YDR538W	-0.861011633	-0.8046559749	-1.045145586
YDR539W	-0.50841078	-0.408549908	-0.034356947
YDR540C	0.525352271	0.6101646372	-0.542048773
YDR541C	0.215087292	0.2934875016	-1.117097451
YDR542W	2.073898459	1.8827445463	NA
YDR543C	0.957808977	1.3647419375	-0.657658663
YDR544C	0.69306937	0.1844094781	-1.155630498
YDR545C-A	0.404712826	0.1927859371	-0.379390837
YDR545W	-0.100709609	-0.0568406452	-0.346876563
YEL001C	0.46061576	0.3684598451	-0.222331692
YEL002C	-0.061843735	-0.0706201825	-0.491176327
YEL003W	0.809642958	0.7747286323	0.179513543
YEL004W	0.002929942	-0.0528778548	-0.272701756
