name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YBL016W,8.47916538,0.084882643,0.924714596,8.285482302,0.086793579,0.978562837,6.22130282,0.11455066,0.987960585,3.565919156,0.197392104,0.943322701,7.361864013,0.097164794,0.981432344,6.422063813,0.110943188,0.99878742
YBL017C,24.52090468,0.031403145,0.944450529,16.62006019,0.044840998,0.976229338,15.16275198,0.048849354,0.999137311,20.4028415,0.036984105,0.765046669,14.27935972,0.051552929,0.972455773,17.28590143,0.043110024,0.979724074
YBL018C,9.538863317,0.075801138,0.907750684,9.640181308,0.075037425,0.984991156,9.642890587,0.075017224,0.993283205,13.84258305,0.053084577,0.941832426,10.83948297,0.066957551,0.930061916,9.822856049,0.073575764,0.987627786
YBL019W,14.83064254,0.049873045,0.617555565,8.653781967,0.083233145,0.916403403,5.118488906,0.138555819,0.942833067,21.21585022,0.035682229,0.7266003,20.18265367,0.037354743,0.869992781,10.20931096,0.070904664,0.979025708
YBL020W,8.355916141,0.086088408,0.975082804,9.771447241,0.074071522,0.985738555,8.594434137,0.083786249,0.964319129,12.56122872,0.058192513,0.992808373,11.93934849,0.06106673,0.980879037,9.768770864,0.073966448,0.976662271
YBL021C,13.63713684,0.053963454,0.911781712,4.87906769,0.145201041,0.95347773,6.178577652,0.115321101,0.962407572,6.329261299,0.112525738,0.87165611,8.387291073,0.085653591,0.935598807,6.618690194,0.107736767,0.974503072
YBL022C,7.632604987,0.093949516,0.979046166,7.327889665,0.097725829,0.99659695,10.73055571,0.067731189,0.984632637,NA,NA,NA,8.938531297,0.080557015,0.990620728,8.68682326,0.082803976,0.997405948
YBL023C,5.565141816,0.127687118,0.917216494,6.565729145,0.108706023,0.98760962,8.196158633,0.087705304,0.990481187,11.30066853,0.064347864,0.954216508,9.702939312,0.074447859,0.977179297,6.495682063,0.109719948,0.997728892
YBL024W,10.29532499,0.070461944,0.9787273,10.54473195,0.068869521,0.989989324,14.12023934,0.052224455,0.977713041,17.50165275,0.042615704,0.792951416,10.78227114,0.067296858,0.990472017,12.71679314,0.057517479,0.985054819
YBL025W,5.991181491,0.118830115,0.930800175,4.649393517,0.152218897,0.939183521,7.966147796,0.090147132,0.940895584,16.06774902,0.046150069,0.837823986,14.23694189,0.051697556,0.90477648,11.94876286,0.061020988,0.996714371
