sample	sample_updated	sample_short	strain_id	strain_info	media	arrest	treatment	experiment	DNA_ratio_A_file_name	DNA_ratio_A	DNA_ratio_B_file_name	DNA_ratio_B	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	ref1	ref2	sample_ref1	sample_ref2	exp_group_1	exp_group_2
2025-07-29-MS250701L03_exp250515_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS250701L03_exp250515_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	MS69	WT	SCD	4.75hr-arrest	DMSO	exp250515	2025-07-29-MS250703L15_exp250515_MS69_SCD_4hr45m-arrest_DMSO_gDNA	0.182968975			0.182968975	DNA_content_analysis_AC250528_MS69_DMSO-4.75hr_exp250515.fcs	1.00259502	248.85743	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	A	C
2025-07-29-MS250701L04_exp250515_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS250701L04_exp250515_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	MS69	WT	SCD	4.75hr-arrest	PhIAA	exp250515	2025-07-29-MS250703L16_exp250515_MS69_SCD_4hr45m-arrest_PhIAA_gDNA	0.167894203			0.167894203	DNA_content_analysis_AC250528_MS69_PhIAA-4.75hr_exp250515.fcs	1.003190676	243.23496	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	C
2025-07-29-MS250701L05_exp250624_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS250701L05_exp250624_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS69_SCD_1hr-arrest_Torin	MS69	WT	SCD	1hr-arrest	Torin	exp250624	2025-07-29-MS250703L17_exp250624_MS69_SCD_1hr-arrest_Torin_gDNA	0.71470222			0.71470222	DNA_content_analysis_AC250708_MS69_Torin_1hr_exp250624.fcs	1.45207426	70.78698	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	A	D
2025-07-29-MS250701L06_exp250624_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250701L06_exp250624_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	MS69	WT	SCD	1hr-arrest	PhIAA	exp250624	2025-07-29-MS250703L18_exp250624_MS69_SCD_1hr-arrest_PhIAA_gDNA	0.751830914			0.751830914	DNA_content_analysis_AC250708_MS69_PhIAA_1hr_exp250624.fcs	1.310880829	69.1459	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	D
2025-07-29-MS250701L07_exp250624_MS69_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS250701L07_exp250624_MS69_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_Torin+PhIAA	MS69	WT	SCD	1hr-arrest	Torin+PhIAA	exp250624	2025-07-29-MS250703L19_exp250624_MS69_SCD_1hr-arrest_Torin+PhIAA_gDNA	0.704984355			0.704984355	DNA_content_analysis_AC250708_MS69_Torin+PhIAA_1hr_exp250624.fcs	1.55296585	69.4778	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin+PhIAA	A	D
2025-07-29-MS250701L08_exp250624_MS69_SCD_4hr45m-arrest_Torin_polyA-RNA	MS250701L08_exp250624_MS69_SCD_4hr45m-arrest_Torin_polyA-RNA	MS69_SCD_4hr45m-arrest_Torin	MS69	WT	SCD	4.75hr-arrest	Torin	exp250624	2025-07-29-MS250703L20_exp250624_MS69_SCD_4hr45m-arrest_Torin_gDNA	0.302421599			0.302421599	DNA_content_analysis_AC250708_MS69_Torin_4hr45min_exp250624.fcs	1.007743771	261.7467	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	A	D
2025-07-29-MS250701L09_exp250624_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS250701L09_exp250624_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4hr45m-arrest_PhIAA	MS69	WT	SCD	4.75hr-arrest	PhIAA	exp250624	2025-07-29-MS250703L21_exp250624_MS69_SCD_4hr45m-arrest_PhIAA_gDNA	0.256542497			0.256542497	DNA_content_analysis_AC250708_MS69_PhIAA_4hr45min_exp250624.fcs	1.001109907	265.12978	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	A	D
2025-07-29-MS250701L10_exp250624_MS69_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS250701L10_exp250624_MS69_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS69_SCD_4hr45m-arrest_Torin+PhIAA	MS69	WT	SCD	4.75hr-arrest	Torin+PhIAA	exp250624	2025-07-29-MS250703L22_exp250624_MS69_SCD_4hr45m-arrest_Torin+PhIAA_gDNA	0.300132535			0.300132535	DNA_content_analysis_AC250708_MS69_Torin+PhIAA_4hr45min_exp250624.fcs	1.000837718	255.60631	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin+PhIAA	A	D
2025-07-29-MS250701L11_exp250624_MS756_SCD_1hr-arrest_Torin_polyA-RNA	MS250701L11_exp250624_MS756_SCD_1hr-arrest_Torin_polyA-RNA	MS756_SCD_1hr-arrest_Torin	MS756	AID-BCY1	SCD	1hr-arrest	Torin	exp250624	2025-07-29-MS250703L23_exp250624_MS756_SCD_1hr-arrest_Torin_gDNA	0.854943536			0.854943536	DNA_content_analysis_AC250708_MS756_Torin_1hr_exp250624.fcs	1.44560734	64.05203	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin	A	E
2025-07-29-MS250701L12_exp250624_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS250701L12_exp250624_MS756_SCD_1hr-arrest_PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_PhIAA	MS756	AID-BCY1	SCD	1hr-arrest	PhIAA	exp250624	2025-07-29-MS250703L24_exp250624_MS756_SCD_1hr-arrest_PhIAA_gDNA	0.87356717			0.87356717	DNA_content_analysis_AC250708_MS756_PhIAA_1hr_exp250624.fcs	1.272306893	67.00578	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	E
2025-07-29-MS250701L13_exp250624_MS756_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS250701L13_exp250624_MS756_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_1hr-arrest_Torin+PhIAA	MS756	AID-BCY1	SCD	1hr-arrest	Torin+PhIAA	exp250624	2025-07-29-MS250703L25_exp250624_MS756_SCD_1hr-arrest_Torin+PhIAA_gDNA	0.836462819			0.836462819	DNA_content_analysis_AC250708_MS756_Torin+PhIAA_1hr_exp250624.fcs	1.48043394	64.85363	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	A	E
2025-07-29-MS250701L14_exp250624_MS756_SCD_4hr45m-arrest_Torin_polyA-RNA	MS250701L14_exp250624_MS756_SCD_4hr45m-arrest_Torin_polyA-RNA	MS756_SCD_Large-G1arrest_Torin	MS756	AID-BCY1	SCD	4.75hr-arrest	Torin	exp250624	2025-07-29-MS250703L26_exp250624_MS756_SCD_4hr45m-arrest_Torin_gDNA	0.320817244			0.320817244	DNA_content_analysis_AC250708_MS756_Torin_4hr45min_exp250624.fcs	1.000470523	269.76155	FALSE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin	A	E
2025-07-29-MS250701L15_exp250624_MS756_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS250701L15_exp250624_MS756_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_PhIAA	MS756	AID-BCY1	SCD	4.75hr-arrest	PhIAA	exp250624	2025-07-29-MS250703L27_exp250624_MS756_SCD_4hr45m-arrest_PhIAA_gDNA	0.356388216			0.356388216	DNA_content_analysis_AC250708_MS756_PhIAA_4hr45min_exp250624.fcs	1.00034569	258.81605	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	A	E
2025-07-29-MS250701L16_exp250624_MS756_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS250701L16_exp250624_MS756_SCD_4hr45m-arrest_Torin+PhIAA_polyA-RNA	MS756_SCD_Large-G1arrest_Torin+PhIAA	MS756	AID-BCY1	SCD	4.75hr-arrest	Torin+PhIAA	exp250624	2025-07-29-MS250703L28_exp250624_MS756_SCD_4hr45m-arrest_Torin+PhIAA_gDNA	0.297277878			0.297277878	DNA_content_analysis_AC250708_MS756_Torin+PhIAA_4hr45min_exp250624.fcs	1.001162866	278.21851	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_Torin+PhIAA	A	E
