sample	Candida_TPMsum	S_cerevisiae_TPMsum	spikein_ratio	sample_short	experiment	ref1	ref2	ref3	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume	RNA_per_genome	RNA_per_cell	RNA_conc
2025-02-23-MS250211L05_exp250206_MS793_SCD_1hr-arrest_PhIAA_polyA-RNA	308389.10050722305	663788.8149467363	2.152439284835195	MS793_SCD_1hr-arrest_PhIAA	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	1hr G1 arrest	PhIAA	Pkc1-AID_PhIAA	Pkc1-AID_PhIAA	0.716249759	DNA_content_analysis_AC250708_MS793_PhIAA_1hr_exp250206.fcs	1.4528163	79.7	3.005151845133389	4.365933584584863	0.05477959328211873
2025-02-23-MS250211L06_exp250206_MS793_SCD_4hr35m-arrest_PhIAA_polyA-RNA	338268.77528097917	628876.8881943193	1.8591041625758977	MS793_SCD_4.65hr-arrest_PhIAA	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	4.65hr G1 arrest	PhIAA	Pkc1-AID_PhIAA	Pkc1-AID_PhIAA	0.267925823	DNA_content_analysis_AC250708_MS793_PhIAA_4hr35min_exp250206.fcs	1.000143419	250.6	6.9388763716735795	6.939871538383929	0.027693022898579125
2025-02-23-MS250211L07_exp250206_MS793_SCD_1hr-arrest_DMSO_polyA-RNA	288716.6227029634	682242.4713274105	2.3630176362561337	MS793_SCD_1hr-arrest_DMSO	exp250206	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	1hr G1 arrest	DMSO	Pkc1-AID_DMSO	Pkc1-AID_DMSO	0.849390967	DNA_content_analysis_AC250708_MS793_DMSO_1hr_exp250206.fcs	1.446751688	73.4	2.7820140878142086	4.024883577584986	0.054834926125136046
2025-02-23-MS250211L08_exp250206_MS793_SCD_4hr35m-arrest_DMSO_polyA-RNA	362739.1304224825	603895.9306976616	1.664821575754189	MS793_SCD_4.65hr-arrest_DMSO	exp250206	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS793_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	H	B	A	MS793	Pkc1-AID	4.65hr G1 arrest	DMSO	Pkc1-AID_DMSO	Pkc1-AID_DMSO	0.278591453	DNA_content_analysis_AC250708_MS793_DMSO_4hr35min_exp250206.fcs	1.000237655	265.1	5.975853019992646	5.977273211342112	0.022547239575036255
2025-02-23-MS250211L09_exp250207_MS756c2_SCD_1hr-arrest_PhIAA_polyA-RNA	319370.26733887196	656260.0633198661	2.0548564798724134	MS756_SCD_1hr-arrest_PhIAA	exp250207	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep4	B	F	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.633417201	DNA_content_analysis_AC250708_MS756c2_PhIAA_1hr_exp250207.fcs	1.327118838	66.5	3.2440806416818693	4.305280531567137	0.06474106062506972
2025-02-23-MS250211L10_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA_polyA-RNA	360339.74274186674	611764.0737243157	1.6977424390363722	MS756_SCD_Large-G1arrest_PhIAA	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep4	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	PhIAA	AID-Bcy1_PhIAA	PKA hyper.	0.254181103	DNA_content_analysis_AC250708_MS756c2_PhIAA_4hr45min_exp250207.fcs	1.000105407	263.2	6.679263009714661	6.679967050790726	0.025379814022761116
2025-02-23-MS250211L11_exp250207_MS756c2_SCD_4hr45m-arrest_PhIAA-4hr35m_polyA-RNA	372953.0936343273	598817.280868797	1.605610172135815	MS756_SCD_Large-G1arrest_longPhIAA	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	PhIAAlong	AID-Bcy1_PhIAA	AID-Bcy1_PhIAA_long	NA	NA	NA	271.8	NA	NA	NA
2025-02-23-MS250211L12_exp250207_MS756c2_SCD_1hr-arrest-DMSO_polyA-RNA	349119.8754134806	624107.3690905571	1.7876592340994468	MS756_SCD_1hr-arrest_DMSO	exp250207	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	F	B	A	MS756c2	AID-Bcy1	1hr G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.678337245	DNA_content_analysis_AC250708_MS756c2_DMSO_1hr_exp250207.fcs	1.361991478	63.1	2.6353546812831232	3.58933061741502	0.05688321105253597
2025-02-23-MS250211L13_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO_polyA-RNA	380105.4336222741	588093.3876883022	1.547184900999637	MS756_SCD_Large-G1arrest_DMSO	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	DMSO	AID-Bcy1_DMSO	Control_DMSO	0.227268458	DNA_content_analysis_AC250708_MS756c2_DMSO_4hr45min_exp250207.fcs	1.000346768	263.2	6.807741446459926	6.810102153345832	0.025874248302985684
2025-02-23-MS250211L14_exp250207_MS756c2_SCD_4hr45m-arrest_DMSO-4hr35m_polyA-RNA	367541.53701170883	600019.7749765241	1.632522353405213	MS756_SCD_Large-G1arrest_longDMSO	exp250207	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS756_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep1	B	F	B	A	MS756c2	AID-Bcy1	Large G1 arrest	DMSOlong	AID-Bcy1_DMSO	AID-Bcy1_DMSO_long	NA	NA	NA	259.8	NA	NA	NA
