gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YBR155W	0.670359076310864	0.2710415569641804
YBR156C	0.07574206588680078	0.17842945025912302
YBR157C	1.053145307185395	-0.1601971061212946
YBR158W	0.2492086288784483	-0.08004748470155305
YBR159W	0.5981559986602399	0.17008294439533717
YBR160W	0.16160955852907916	0.08973595654823936
YBR161W	0.5291093362910468	-0.4555437231524019
YBR162C	0.22766424241881442	0.8060216894727127
YBR162W-A	0.4575600399351673	0.09818677640079514
YBR163W	0.9622199563488463	0.7092103830402782
YBR164C	0.22271541569852785	0.28409936187103385
YBR165W	-0.11436139346887526	0.4615033069607176
YBR166C	0.8409463626195578	0.4438281365924998
YBR167C	0.5269733579324576	-0.01809397932364066
YBR168W	1.4702600281657032	0.06146539070747206
YBR169C	0.46246697310622165	0.45782623852510534
YBR170C	0.5470338933475412	0.5151020258378012
YBR171W	0.2308993782066615	0.1173661787699449
YBR172C	0.3866132468253689	0.006622672602229085
YBR173C	0.3729191931939209	0.008133621111134942
YBR175W	0.8757295243419623	-0.040596300977174635
YBR176W	0.12320859195275942	0.8700834588311473
YBR177C	0.73443150219892	0.25974445689801184
YBR179C	-0.28710409658796926	0.03401910375449493
YBR181C	0.9585137776487339	-0.08940881015330214
YBR182C	1.0515795125157275	-1.3219798895927721
YBR183W	-2.246135895041303	-0.8473685182176737
YBR184W	-0.08711124463862331	-0.07334286281392352
YBR185C	0.4702568808801281	-0.03522885192422381
YBR187W	0.4680220505685707	0.2458250090132533
YBR188C	0.33247865020784473	0.8032714166911507
YBR189W	0.4439473009666991	-0.3584104943696237
YBR191W	0.876953739928044	-0.18518247051708664
YBR192W	-0.15832012864312464	0.13957294544304832
YBR193C	0.08426177185397073	0.4548637263557838
YBR194W	0.26400762833046293	-0.02632883635748783
YBR195C	0.23831905288934474	0.06656221544313203
YBR196C	0.8572063032712149	0.16357390226832683
YBR196C-A	0.15764426199001555	-0.4043438728746232
YBR196C-B	-0.2725296102852701	3.643273021324931e-4
YBR197C	-0.3282692479410421	0.5186665366298391
YBR198C	0.31260117197311393	0.009658182986840578
YBR199W	0.09432974586144162	0.07405748498401128
YBR200W	0.994180370823943	0.4083047098364013
YBR201C-A	1.3010422450255335	-0.0670097676980643
YBR201W	0.8050156992752429	-0.24101881817883913
