species	gene_id	verified_ORF
S_pombe	SPAC1687.23c	TRUE
S_pombe	SPAC16A10.01	TRUE
S_pombe	SPAC16A10.02	TRUE
S_pombe	SPAC16A10.03c	TRUE
S_pombe	SPAC16A10.04	TRUE
S_pombe	SPAC16A10.05c	TRUE
S_pombe	SPAC16A10.06c	TRUE
S_pombe	SPAC16A10.07c	TRUE
S_pombe	SPAC16A10.08c	TRUE
S_pombe	SPAC16C9.01c	TRUE
S_pombe	SPAC16C9.02c	TRUE
S_pombe	SPAC16C9.03	TRUE
S_pombe	SPAC16C9.04c	TRUE
S_pombe	SPAC16C9.05	TRUE
S_pombe	SPAC16C9.06c	TRUE
S_pombe	SPAC16C9.07	TRUE
S_pombe	SPAC16E8.01	TRUE
S_pombe	SPAC16E8.02	TRUE
S_pombe	SPAC16E8.03	TRUE
S_pombe	SPAC16E8.04c	TRUE
S_pombe	SPAC16E8.05c	TRUE
S_pombe	SPAC16E8.06c	TRUE
S_pombe	SPAC16E8.07c	TRUE
S_pombe	SPAC16E8.08	TRUE
S_pombe	SPAC16E8.09	TRUE
S_pombe	SPAC16E8.10c	TRUE
S_pombe	SPAC16E8.11c	TRUE
S_pombe	SPAC16E8.12c	TRUE
S_pombe	SPAC16E8.13	TRUE
S_pombe	SPAC16E8.14c	TRUE
S_pombe	SPAC16E8.15	TRUE
S_pombe	SPAC16E8.16	TRUE
S_pombe	SPAC16E8.17c	TRUE
S_pombe	SPAC16E8.18	TRUE
S_pombe	SPAC16E8.18c	TRUE
S_pombe	SPAC1705.02	TRUE
S_pombe	SPAC1705.03c	TRUE
S_pombe	SPAC1751.01c	TRUE
S_pombe	SPAC1751.02c	TRUE
S_pombe	SPAC1751.03	TRUE
S_pombe	SPAC1751.04	TRUE
S_pombe	SPAC1782.01	TRUE
S_pombe	SPAC1782.02c	TRUE
S_pombe	SPAC1782.03	TRUE
S_pombe	SPAC1782.04	TRUE
S_pombe	SPAC1782.05	TRUE
S_pombe	SPAC1782.06c	TRUE
S_pombe	SPAC1782.07	TRUE
S_pombe	SPAC1782.08c	TRUE
S_pombe	SPAC1782.09c	TRUE
S_pombe	SPAC1782.10c	TRUE
S_pombe	SPAC1782.11	TRUE
S_pombe	SPAC1782.12c	TRUE
S_pombe	SPAC1783.01	TRUE
S_pombe	SPAC1783.02c	TRUE
S_pombe	SPAC1783.03	TRUE
S_pombe	SPAC1783.04c	TRUE
S_pombe	SPAC1783.05	TRUE
S_pombe	SPAC1783.06c	TRUE
S_pombe	SPAC1783.07c	TRUE
S_pombe	SPAC1783.08c	TRUE
S_pombe	SPAC1786.01c	TRUE
S_pombe	SPAC1786.02	TRUE
S_pombe	SPAC1786.03	TRUE
S_pombe	SPAC1786.04	TRUE
S_pombe	SPAC17A2.01	TRUE
S_pombe	SPAC17A2.02c	TRUE
S_pombe	SPAC17A2.03c	TRUE
S_pombe	SPAC17A2.04c	TRUE
S_pombe	SPAC17A2.05	TRUE
S_pombe	SPAC17A2.06c	TRUE
S_pombe	SPAC17A2.07c	TRUE
S_pombe	SPAC17A2.08c	TRUE
S_pombe	SPAC17A2.09c	TRUE
S_pombe	SPAC17A2.10c	TRUE
S_pombe	SPAC17A2.11	TRUE
S_pombe	SPAC17A2.12	TRUE
S_pombe	SPAC17A2.13c	TRUE
S_pombe	SPAC17A2.14	TRUE
S_pombe	SPAC17A5.01	TRUE
S_pombe	SPAC17A5.02c	TRUE
S_pombe	SPAC17A5.03	TRUE
S_pombe	SPAC17A5.04c	TRUE
S_pombe	SPAC17A5.05c	TRUE
S_pombe	SPAC17A5.06	TRUE
S_pombe	SPAC17A5.07c	TRUE
S_pombe	SPAC17A5.08	TRUE
S_pombe	SPAC17A5.09c	TRUE
S_pombe	SPAC17A5.10	TRUE
S_pombe	SPAC17A5.11	TRUE
S_pombe	SPAC17A5.12	TRUE
S_pombe	SPAC17A5.13	TRUE
S_pombe	SPAC17A5.14	TRUE
S_pombe	SPAC17A5.15c	TRUE
S_pombe	SPAC17A5.16	TRUE
S_pombe	SPAC17A5.18c	TRUE
S_pombe	SPAC17A5.19	TRUE
S_pombe	SPAC17C9.01c	TRUE
S_pombe	SPAC17C9.02c	TRUE
S_pombe	SPAC17C9.03	TRUE
S_pombe	SPAC17C9.05c	TRUE
S_pombe	SPAC17C9.06	TRUE
S_pombe	SPAC17C9.07	TRUE
S_pombe	SPAC17C9.08	TRUE
S_pombe	SPAC17C9.09c	TRUE
S_pombe	SPAC17C9.10	TRUE
S_pombe	SPAC17C9.11c	TRUE
S_pombe	SPAC17C9.12	TRUE
S_pombe	SPAC17C9.13c	TRUE
S_pombe	SPAC17C9.14	TRUE
S_pombe	SPAC17C9.15c	TRUE
S_pombe	SPAC17C9.16c	TRUE
S_pombe	SPAC17D4.01	TRUE
S_pombe	SPAC17D4.02	TRUE
S_pombe	SPAC17D4.03c	TRUE
S_pombe	SPAC17D4.04	TRUE
S_pombe	SPAC17G6.02c	TRUE
S_pombe	SPAC17G6.03	TRUE
S_pombe	SPAC17G6.04c	TRUE
S_pombe	SPAC17G6.05c	TRUE
S_pombe	SPAC17G6.06	TRUE
S_pombe	SPAC17G6.07c	TRUE
S_pombe	SPAC17G6.08	TRUE
S_pombe	SPAC17G6.09	TRUE
S_pombe	SPAC17G6.10	TRUE
S_pombe	SPAC17G6.11c	TRUE
S_pombe	SPAC17G6.12	TRUE
S_pombe	SPAC17G6.13	TRUE
S_pombe	SPAC17G6.14c	TRUE
S_pombe	SPAC17G6.15c	TRUE
S_pombe	SPAC17G6.16c	TRUE
S_pombe	SPAC17G6.17	TRUE
S_pombe	SPAC17G8.01c	TRUE
S_pombe	SPAC17G8.02	TRUE
S_pombe	SPAC17G8.03c	TRUE
S_pombe	SPAC17G8.04c	TRUE
S_pombe	SPAC17G8.05	TRUE
S_pombe	SPAC17G8.06c	TRUE
S_pombe	SPAC17G8.07	TRUE
S_pombe	SPAC17G8.08c	TRUE
S_pombe	SPAC17G8.09	TRUE
S_pombe	SPAC17G8.10c	TRUE
S_pombe	SPAC17G8.11c	TRUE
S_pombe	SPAC17G8.12	TRUE
S_pombe	SPAC17G8.13c	TRUE
S_pombe	SPAC17G8.14c	TRUE
S_pombe	SPAC17G8.15	TRUE
S_pombe	SPAC17H9.01	TRUE
S_pombe	SPAC17H9.02	TRUE
S_pombe	SPAC17H9.03c	TRUE
S_pombe	SPAC17H9.04c	TRUE
S_pombe	SPAC17H9.05	TRUE
S_pombe	SPAC17H9.06c	TRUE
S_pombe	SPAC17H9.07	TRUE
S_pombe	SPAC17H9.08	TRUE
S_pombe	SPAC17H9.09c	TRUE
S_pombe	SPAC17H9.10c	TRUE
S_pombe	SPAC17H9.11	TRUE
S_pombe	SPAC17H9.12c	TRUE
S_pombe	SPAC17H9.13c	TRUE
S_pombe	SPAC17H9.14c	TRUE
S_pombe	SPAC17H9.16	TRUE
S_pombe	SPAC17H9.17c	TRUE
S_pombe	SPAC17H9.18c	TRUE
S_pombe	SPAC17H9.19c	TRUE
S_pombe	SPAC17H9.20	TRUE
S_pombe	SPAC1805.01c	TRUE
S_pombe	SPAC1805.02c	TRUE
S_pombe	SPAC1805.03c	TRUE
S_pombe	SPAC1805.04	TRUE
S_pombe	SPAC1805.05	TRUE
S_pombe	SPAC1805.06c	TRUE
S_pombe	SPAC1805.07c	TRUE
S_pombe	SPAC1805.08	TRUE
S_pombe	SPAC1805.09c	TRUE
S_pombe	SPAC1805.10	TRUE
S_pombe	SPAC1805.11c	TRUE
S_pombe	SPAC1805.12c	TRUE
S_pombe	SPAC1805.13	TRUE
S_pombe	SPAC1805.14	TRUE
S_pombe	SPAC1805.15c	TRUE
S_pombe	SPAC1805.16c	TRUE
S_pombe	SPAC1805.17	TRUE
S_pombe	SPAC1805.18	TRUE
S_pombe	SPAC1834.01	TRUE
S_pombe	SPAC1834.02	TRUE
S_pombe	SPAC1834.03c	TRUE
S_pombe	SPAC1834.04	TRUE
S_pombe	SPAC1834.05	TRUE
S_pombe	SPAC1834.06c	TRUE
S_pombe	SPAC1834.07	TRUE
S_pombe	SPAC1834.08	TRUE
S_pombe	SPAC1834.09	TRUE
S_pombe	SPAC1834.10c	TRUE
S_pombe	SPAC1834.11c	TRUE
S_pombe	SPAC1834.13	TRUE
S_pombe	SPAC1851.02	TRUE
