sample,dmso_time,labeling_time,dmso_conc,strain,plate,media,row,col,volume,pr_new,total,pr_new_95ci,p_spikein,spikein,aligned,orf_aligned,od,scale_factor,scaled_rna,scaled_mrna,smoothed_mrna,exp,klac,rep,iaa_time,iaa_conc,xrn1,repeat,control,time,add,treat,remove_sample,hu_conc,alphaFactor
calib|E4,,6.0,,nf164,calib,YPD,E,4,500.0,0.0653806953226277,1099092,0.0019580583782019,0.1385990612077265,83355,601411,469533,0.5,0.804306880211145,483719.00513466494,377648.6223861796,377205.1081639455,thio_4tU_test,,A,,,,,no,15.0,thio,,,,
calib|E9,,6.0,,nf164,calib,YPD,E,9,500.0,0.0767947291276209,946076,0.0022405304807406,0.138669822249158,72303,521404,408904,0.5,0.9272505981771156,483472.1708919409,379156.4785970153,373227.04375042906,thio_4tU_test,,B,,,,,no,15.0,thio,,,,
calib|F4,,6.0,,nf164,calib,YPD,F,4,500.0,0.1412570664142054,1075233,0.0026195034451101,0.1225696737160835,72580,592153,471557,0.5,0.9237117663268118,546978.6935657206,435582.7493937724,507403.53970660624,thio_4tU_test,,A,,,,,no,15.0,dmso,,,,
calib|F9,,6.0,,nf164,calib,YPD,F,9,500.0,0.1634153597968912,655365,0.0034910506061183,0.1846331497090135,64117,347267,275011,0.5,1.0456353229252773,363114.64168629225,287561.21579300344,402009.6178046867,thio_4tU_test,,B,,,,,no,15.0,dmso,,,,
fish1|A12,,0.0,,nf227,fish1,YPD,A,12,500.0,0.0186245450670538,998035,0.0014147271535778,0.0163433828691498,13316,814764,706008,0.58,2.143099822873184,1746120.5840834463,1513045.6197470506,,smFISH,,A,60.0,2500.0,,,,,,mock,,,
fish1|B12,,0.0,,nf227,fish1,YPD,B,12,500.0,0.0167257464602566,3375702,0.0009786788854851,0.012220488447333,34146,2794160,2313469,0.58,0.8357499338540184,2335219.035177544,1933481.5637233225,,smFISH,,A,60.0,2500.0,,,,,,IAA,,,
fish1|C12,,0.0,,nf189,fish1,YPD,C,12,500.0,0.0173650882938542,2129897,0.0011485336469296,0.0189266887485791,32536,1719054,1478447,0.5,1.017442832554709,1749039.1710745022,1504235.3034620115,,smFISH,,A,60.0,2500.0,,,,,,mock,,,
fish1|D12,,0.0,,nf189,fish1,YPD,D,12,500.0,0.0202005584924544,1721742,0.0012143993182979,0.0291185061034739,40237,1381836,1181365,0.48,0.8569931489259472,1184223.9849392353,1012421.7113809016,,smFISH,,A,60.0,2500.0,,,,,,IAA,,,
fish1|E12,,0.0,,nf227,fish1,YPD,E,12,500.0,0.0177894794363358,1315259,0.0012709434927422,0.0165975836267155,17863,1076241,932885,0.58,1.5975769602742718,1719377.8253025424,1490355.582585464,,smFISH,,B,60.0,2500.0,,,,,,mock,,,
fish1|F12,,0.0,,nf227,fish1,YPD,F,12,500.0,0.0149098807789654,2626451,0.0009814029582533,0.0123595184648671,26825,2170392,1800607,0.58,1.0638403445062188,2308950.572993541,1915558.371200309,,smFISH,,B,60.0,2500.0,,,,,,IAA,,,
fish1|G12,,0.0,,nf189,fish1,YPD,G,12,500.0,0.0178119525736291,2219280,0.0011322442107067,0.0192931511202394,34728,1800017,1548084,0.5,0.9532227597327806,1715817.1723059206,1475668.902778162,,smFISH,,B,60.0,2500.0,,,,,,mock,,,
fish1|H12,,0.0,,nf189,fish1,YPD,H,12,500.0,0.0179068313100693,1514325,0.0012103349782524,0.0287940471176809,35074,1218099,1038896,0.48,0.9831451597574652,1197568.135955409,1021385.5738913916,,smFISH,,B,60.0,2500.0,,,,,,IAA,,,
TC-14Apr2019|A1,,8.5,,aa100,TC-14Apr2019,YPD,A,1,500.0,0.14585733385195,253286,0.0045575841162958,0.0447714065374876,7373,164681,130987,0.852,1.1502930053761695,189431.40241835295,150673.4298952083,150237.9496125989,screen_1,,,240.0,1000.0,,,,,,,,,
