sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-01-14-MS241218L20_exp241204_MS908_SCGEuri_1.5hr-arrest_10min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_10min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T3	10	EU
2025-01-14-MS241218L21_exp241204_MS908_SCGEuri_1.5hr-arrest_13min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_13min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T4	13	EU
2025-01-14-MS241218L22_exp241204_MS908_SCGEuri_1.5hr-arrest_18min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_18min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T5	18	EU
2025-01-14-MS241218L23_exp241204_MS908_SCGEuri_1.5hr-arrest_28min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_28min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T6	28	EU
2025-01-14-MS241218L24_exp241204_MS908_SCGEuri_1.5hr-arrest_44min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_1.5hr-arrest_60min-PhIAA_44min-EU-chase	exp241204	MS908	eIF4G-AID	1.5hr_arrest_60min-PhIAA	exp241204_MS908_1.5hr_arrest_60min-PhIAA	T7	44	EU
2025-01-14-MS241218L25_exp241204_MS908_SCGEuri_7.5hr-arrest_no-EU_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_no-EU	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	Tbackground	NA	EU
2025-01-14-MS241218L26_exp241204_MS908_SCGEuri_7.5hr-arrest_04min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_04min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T1	4	EU
2025-01-14-MS241218L27_exp241204_MS908_SCGEuri_7.5hr-arrest_07min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_07min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T2	7	EU
2025-01-14-MS241218L28_exp241204_MS908_SCGEuri_7.5hr-arrest_10min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_10min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T3	10	EU
2025-01-14-MS241218L29_exp241204_MS908_SCGEuri_7.5hr-arrest_13min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_13min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T4	13	EU
2025-01-14-MS241218L30_exp241204_MS908_SCGEuri_7.5hr-arrest_18min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_18min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T5	18	EU
2025-01-14-MS241218L31_exp241204_MS908_SCGEuri_7.5hr-arrest_28min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_28min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T6	28	EU
2025-01-14-MS241218L32_exp241204_MS908_SCGEuri_7.5hr-arrest_44min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase_EU-enrich	exp241204_MS908_SCGEuri_7.5hr-arrest_60min-PhIAA_44min-EU-chase	exp241204	MS908	eIF4G-AID	7.5hr_arrest_60min-PhIAA	exp241204_MS908_7.5hr_arrest_60min-PhIAA	T7	44	EU
