sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-08-28-MS250806L11_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T2	7	input
2025-08-28-MS250806L12_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T3	10	input
2025-08-28-MS250806L13_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T4	13	input
2025-08-28-MS250806L14_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T5	18	input
2025-08-28-MS250806L15_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T6	28	input
2025-08-28-MS250806L16_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase_input	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T7	44	input
2025-08-28-MS250806L17_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_no-EU	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	Tbackground	NA	EU
2025-08-28-MS250806L18_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_04min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T1	4	EU
2025-08-28-MS250806L19_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_07min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T2	7	EU
2025-08-28-MS250806L20_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_10min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T3	10	EU
2025-08-28-MS250806L21_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_13min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T4	13	EU
2025-08-28-MS250806L22_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_18min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T5	18	EU
2025-08-28-MS250806L23_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_28min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T6	28	EU
2025-08-28-MS250806L24_exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_1.5hr-arrest_30min-PhIAA_44min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_30min-PhIAA	exp250624_MS1039_1.5hr-arrest_30min-PhIAA	T7	44	EU
2025-08-28-MS250806L25_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_no-EU	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	Tbackground	NA	EU
2025-08-28-MS250806L26_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_04min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T1	4	EU
2025-08-28-MS250806L27_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_07min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T2	7	EU
2025-08-28-MS250806L28_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_10min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T3	10	EU
