sample	sample_short	experiment	ref1	ref2	ref3 	sample_ref1	sample_ref2	sample_ref3	replicate_1	exp_group_1	exp_group_2	exp_group_3	exp_group_4	strain_id	strain_info	arrest	condition	strain_info_condition	strain_info_condition_easy	DNA_ratio	DNA_content_file_name	DNA_per_cell	mean_cell_volume
2025-07-29-MS250530L04_exp250523_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_PhIAA	exp250523	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	C	B	A	MS69	WT	4.75hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.178188828	DNA_content_analysis_AC250528_MS69_PhIAA-4.75hr_exp250523.fcs	1.00042751	242.80898
2025-07-29-MS250701L01_exp250515_MS69_SCD_1hr-arrest_DMSO_polyA-RNA	MS69_SCD_1hr-arrest_DMSO	exp250515	TRUE	TRUE	TRUE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	1hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.604840869	DNA_content_analysis_AC250528_MS69_DMSO-1hr_exp250515.fcs	1.279789653	62.89363
2025-07-29-MS250701L02_exp250515_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	exp250515	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	1hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.590053837	DNA_content_analysis_AC250528_MS69_PhIAA-1hr_exp250515.fcs	1.277533298	64.30372
2025-07-29-MS250701L03_exp250515_MS69_SCD_4hr45m-arrest_DMSO_polyA-RNA	MS69_SCD_4.75hr-arrest_DMSO	exp250515	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	4.75hr G1 arrest	DMSO	WT_DMSO	WT_DMSO	0.182968975	DNA_content_analysis_AC250528_MS69_DMSO-4.75hr_exp250515.fcs	1.00259502	248.85743
2025-07-29-MS250701L04_exp250515_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_PhIAA	exp250515	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep2	B	C	B	A	MS69	WT	4.75hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.167894203	DNA_content_analysis_AC250528_MS69_PhIAA-4.75hr_exp250515.fcs	1.003190676	243.23496
2025-07-29-MS250701L05_exp250624_MS69_SCD_1hr-arrest_Torin_polyA-RNA	MS69_SCD_1hr-arrest_Torin	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep3	B	D	B	A	MS69	WT	1hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.71470222	DNA_content_analysis_AC250708_MS69_Torin_1hr_exp250624.fcs	1.45207426	70.78698
2025-07-29-MS250701L06_exp250624_MS69_SCD_1hr-arrest_PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_PhIAA	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	D	B	A	MS69	WT	1hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.751830914	DNA_content_analysis_AC250708_MS69_PhIAA_1hr_exp250624.fcs	1.310880829	69.1459
2025-07-29-MS250701L07_exp250624_MS69_SCD_1hr-arrest_Torin+PhIAA_polyA-RNA	MS69_SCD_1hr-arrest_Torin+PhIAA	exp250624	FALSE	TRUE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin+PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	D	B	A	MS69	WT	1hr G1 arrest	Torin+PhIAA	WT_Torin+PhIAA	WT_Torin+PhIAA	0.704984355	DNA_content_analysis_AC250708_MS69_Torin+PhIAA_1hr_exp250624.fcs	1.55296585	69.4778
2025-07-29-MS250701L08_exp250624_MS69_SCD_4hr45m-arrest_Torin_polyA-RNA	MS69_SCD_4.75hr-arrest_Torin	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_Torin	MS69_SCD_1hr-arrest_DMSO	rep3	B	D	B	A	MS69	WT	4.75hr G1 arrest	Torin	WT_Torin	TORC1 inhib.	0.302421599	DNA_content_analysis_AC250708_MS69_Torin_4hr45min_exp250624.fcs	1.007743771	261.7467
2025-07-29-MS250701L09_exp250624_MS69_SCD_4hr45m-arrest_PhIAA_polyA-RNA	MS69_SCD_4.75hr-arrest_PhIAA	exp250624	FALSE	FALSE	FALSE	MS69_SCD_1hr-arrest_DMSO	MS69_SCD_1hr-arrest_PhIAA	MS69_SCD_1hr-arrest_DMSO	rep1	B	D	B	A	MS69	WT	4.75hr G1 arrest	PhIAA	WT_PhIAA	WT_PhIAA	0.256542497	DNA_content_analysis_AC250708_MS69_PhIAA_4hr45min_exp250624.fcs	1.001109907	265.12978
