gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YMR247C	0.05062607306996814	0.4207511504732372	0.7347677196173814	-0.014437383223806954	-0.28068827039766864	FALSE	FALSE	FALSE	FALSE	FALSE
YMR250W	-0.08246216019197282	0.23703919730084938	0.1973105187783721	0.6123389396524613	0.14463970503156356	FALSE	FALSE	FALSE	FALSE	FALSE
YMR251W-A	-0.2736281116481313	0.0637546844971693	0.17055227795229533	0.5280327141017356	-0.616073535439245	FALSE	FALSE	FALSE	FALSE	FALSE
YMR252C	0.11103131238874395	0.3833286395515054	0.3963009366972581	-0.08161376555365212	-0.034215715337912955	FALSE	FALSE	FALSE	FALSE	FALSE
YMR253C	0	0	0.05514155419246085	0	0	FALSE	FALSE	FALSE	FALSE	FALSE
YMR255W	-0.36793837497178095	0.903784684740697	0.7367249243781954	0.589408405752348	0.06894735371749117	TRUE	FALSE	FALSE	FALSE	FALSE
YMR256C	-0.489584452643898	0.301431644100302	0.36934759136386525	0.0901346644244241	-0.32322473300330506	FALSE	FALSE	FALSE	FALSE	FALSE
YMR257C	0.3625700793847081	0.3439544012173614	0.9764187672391127	0.5342092002565214	0.11314715762802655	FALSE	FALSE	FALSE	FALSE	FALSE
YMR258C	-0.03301505722796307	0.5449278389189037	1.3471739254535713	0.9285856667078376	-0.16349873228287934	FALSE	FALSE	FALSE	FALSE	TRUE
YMR259C	-0.2602357724811205	0.3551972042686239	1.6357901942290027	-0.011972641666075782	0.010107329366846964	FALSE	TRUE	FALSE	FALSE	FALSE
YMR260C	-0.4628222078380715	0.024418309700849655	1.1696392989359632	0.07399087283075409	-0.372643334038935	FALSE	FALSE	FALSE	FALSE	FALSE
YMR261C	-0.26434060333441883	0.518593691105441	0.12153597811391653	0.2838553811530334	-0.22437278546468875	FALSE	FALSE	FALSE	FALSE	FALSE
YMR262W	-0.5443205162238105	0.20566322660465156	0.6819242306082446	1.144389909335175	-0.5219527031953558	FALSE	FALSE	FALSE	FALSE	TRUE
YMR263W	-0.37851162325372995	0.765534746362977	0.5953384209896394	0.5443205162238102	-0.005294299669513022	TRUE	FALSE	FALSE	FALSE	FALSE
YMR264W	-0.10162090424699904	0.020840343281860588	0.9364275888101928	0.5869833653755673	-0.10309349296410379	FALSE	FALSE	FALSE	FALSE	FALSE
YMR266W	-0.23446525363702278	0.1562081226878048	1.4120446161058842	0.12029423371771175	-0.6615837823240687	FALSE	FALSE	FALSE	FALSE	FALSE
YMR267W	-0.08804003471308555	0.6875322343617041	1.1983709135980303	0.6710636572671221	0.055343033843774835	FALSE	FALSE	FALSE	FALSE	FALSE
