gene_id	log2FC_Not1_large_YM	log2FC_Not1_small_YM	log2FC_Pab1_large_YM	log2FC_Pab1_small_YM	log2FC_Xrn1_large_YM	log2FC_Xrn1_small_YM	log2FC_eIF4E_large_YM	log2FC_eIF4E_small_YM	log2FC_eIF4G_large_YM	log2FC_eIF4G_small_YM
YBL005W-A	1.32191648419508	0.482667677968962	0.69677888865098	-3.20342650381492e-15	4.74359546024569e-07	2.18730386460647e-05	0.000174988714469567	-0.232004703244535	-0.821995084800076	-0.272448919205351
YBL005W-B	-0.561980410315382	-0.487951996783689	0.339300765530086	0.417224421834626	-0.191561658142595	-0.373302217990053	-0.793221370922792	-0.816369788077529	-0.769829841493757	-0.417430752569508
YBL006C	1.4364236981284	0.646641987194223	-1.10793245478518	-0.397504499656525	0.866915211111057	0.690555586305141	0.617029319516734	0.722660266103529	0.199124822115606	0.498128765153723
YBL006W-A	0	0	0	0	0	0	0	0	0	0.592669912519352
YBL007C	0.0730803048479216	0.0381499152939368	1.27056930106196	0.905299681017757	-0.032752193814046	-0.420633607667105	-0.292108566861081	-0.19659536342675	-1.05281128006848	-0.487186004448685
YBL008W	1.21186815881077	0.67933121093223	-0.169916308581547	-0.0500572022486961	0.45955762839898	0.279873717420582	-0.129744232347686	0.0161488888222691	-0.37405024842901	-0.475820251983606
YBL008W-A	0	0	0	0	0	0	0	0	0	-1.46964559388055
YBL009W	-0.447778695255635	0.557885567951438	0.0477032639988913	-0.350806751249831	-0.053120237514572	0.206206466462604	-0.0389460821973123	0.479285993120438	0.413899399977229	-0.295261500598245
YBL010C	0.507700906157293	1.35937550258123	-0.636920913668457	0.521046029622114	1.04262958288295	0.658552929505312	-0.0973019490778125	0.56848582818572	0.247248572032287	0.624731778228985
YBL011W	0.562049054713047	0.156119263670553	-0.231603298394821	-0.272918131995882	0.594139905502262	0.175809770940972	-0.149409647862243	-0.515424912911258	-0.80686242534729	-0.654263401799136
YBL012C	0	1.93739072338801	0	0	1.15011835235467	0	0	-0.296716704080806	0	0.998078493854376
YBL013W	0.13212814734293	-0.606733280329212	-0.423253108708083	0.146245662141086	0.126693080324649	-0.288339847630533	-0.948545753960764	-0.572945470963624	-0.188378099826743	-0.566640255562424
YBL014C	0.526732296091036	0.0619492756043625	0.559947626531366	0.326486438353395	-0.0358813736718373	0.399659198318395	-0.0565559691575242	0.576255128428155	0.185857035969748	0.316019866691865
YBL015W	-1.94398326790275	-0.974297411963864	0.799233180373723	0.226379046474076	0.204085580936287	-0.3320796164959	-1.59525424606689	-1.24580781948412	-4.4395822930496	-4.46232452052237
YBL016W	1.15894568847299	0.948515761995512	-0.710550959333811	-0.725772897367143	0.10275476067014	0.348356781036744	0.161726530993075	0.642072496395596	0.304911457142118	0.589241299258137
YBL017C	0.187957766398403	-0.113774009177451	0.662903737500162	0.575945619133383	0.749907361139503	0.824362768237014	0.0474542747578656	0.228320665555483	-0.156275967589081	0.538071251634027
YBL018C	-0.234944601208244	0.203570139926056	-1.17038043076026	-0.212516999649631	-0.339412415769407	0.348484146894821	-0.292477067178893	0.124465681987361	0.0113211958991222	-0.430595773700933
YBL019W	0.355355993647292	0.518615037038387	-0.516206973984343	-0.991034126719299	1.39279108559647	1.6755443977267	0.00736232170125469	0.346727507373797	-0.00772787921422292	1.18772097671279
YBL020W	-0.63362197662462	-0.826289251417719	-0.0424507249625219	0.106246085201774	0.443138175204799	0.325832255638188	-0.479735093354453	0.154847291780061	-0.56511209356109	-0.0379897278971177
YBL021C	1.24248857668623	0.62832922406335	-0.872224479534345	-0.993669447806744	0.682619914165708	0.542803769828271	-0.00228758077906169	-0.291615468286016	-1.26572477533274	-1.7266161023275
YBL022C	0.569587862989147	0.00931103731876059	0.922993390136124	0.554663523947562	0.489990787646593	-0.331300394182316	-1.4841553062541	-1.75435233197135	-2.68679785596109	-2.30811538761085
