gene_id	log2FC_dcp2D_vs_WT	padj_dcp2D	pval_dcp2D	log2FC_xrn1D_vs_WT	padj_xrn1D	pval_xrn1D	TE_vijjamarri_WT
YDR503C	0.2948550487945975	0.001223959935623763	6.950950505380302e-4	0.48922466427621003	1.010318057641013e-8	5.0083378174764125e-9	-0.9555795106039247
YDR504C	-0.13298056459242702	0.40617122490182594	0.3445919736508405	-0.0221495634396279	0.8893496267487663	0.868343435387709	-6.478407524680522
YDR505C	-0.2725174767609903	5.600215597082843e-8	2.2172687084995844e-8	-0.09774264766324171	0.0492875661013681	0.03766780775122271	-0.8408327369426575
YDR506C	-0.24504428013905016	0.070276829552092	0.050368173527517955	0.49666494664864347	3.815806891004728e-5	2.2813725876246158e-5	-1.5600178896933414
YDR507C	-0.3688671999779375	8.61638456406029e-10	3.0578370965457536e-10	0.15041830279932739	0.0115540897137394	0.008301410486679902	-0.02880837215292711
YDR508C	-0.0021467918259566814	0.9698622973155716	0.9617013656729693	-0.36844815532410813	2.189286124085885e-16	7.788868554837589e-17	-0.4549034726224413
YDR509W	0.36377237323252387	0.7902889275180658	0.7466284683032862	0.37060556042245063	0.7670547959786529	0.7310460234482112	NA
YDR510W	-0.4018620968001112	6.094177525241432e-13	1.8109801237542076e-13	-1.3034939055723966	4.286437746000701e-127	1.9046615907089032e-128	-0.5772724743812123
YDR510C-A	-1.0349491446982737	0.09633934717230423	0.07086684815243922	-2.2119583848863558	1.820333203372936e-4	1.1369692623960573e-4	-3.346309339059934
YDR511W	0.287709530518364	0.0033785200984842133	0.002022922574468847	0.08816769011488812	0.3796840336865592	0.33069616161067306	-0.01820232373490797
YDR512C	-0.5885320346434749	2.975241509532605e-7	1.242950184015186e-7	-1.2217506560086613	3.1135249725777945e-28	7.390829872903887e-29	-0.4091986278713434
YDR513W	0.19292402043790755	0.019703698067869736	0.012981636326675913	-0.7031178256645189	2.197675584912065e-19	7.046577163314149e-20	-0.044507974859548896
YDR514C	-0.3601263273948999	0.0013902757325921274	7.954634948079826e-4	0.2784558374405089	0.009730645418379742	0.006932402537511166	0.20235194779922652
YDR515W	-0.036893899976219086	0.6900460606711619	0.6372790309357528	0.9808305622319556	8.481634617191031e-40	1.483722619039175e-40	0.21716290123812235
YDR516C	0.702391594951517	2.2427628622109766e-30	3.1188110661392675e-31	-0.05786407609229709	0.38406463017841325	0.3347950459408814	-0.0499191026403112
YDR517W	-0.19972164798850683	0.004564140134651819	0.002780662287527023	-0.0447502119653645	0.5401752901103725	0.4893303432682988	-1.3507050702974635
