"gene_id","MS798_small_eIF4F_dep_1hr_mrl100_read_fraction","MS798_large_eIF4F_dep_1hr_mrl100_read_fraction","MS798_small_mrl100_read_fraction","MS798_large_mrl100_read_fraction","MS69_large_mrl100_read_fraction","MS69_small_mrl100_read_fraction","MS798_small_eIF4F_dep_1hr_mrl100_mean_tail_length","MS798_large_eIF4F_dep_1hr_mrl100_mean_tail_length","MS798_small_mrl100_mean_tail_length","MS798_large_mrl100_mean_tail_length","MS69_large_mrl100_mean_tail_length","MS69_small_mrl100_mean_tail_length"
"YLR061W",0.539918780423584,0.484642229664809,0.529674832732128,0.448696411954381,0.493813723650466,0.521075176544606,42.6904879250863,43.4188376753507,34.1938610662359,34.186018957346,33.4738534842168,33.6390989805985
"YFL034C-A",0.720563973544068,0.602077066527091,0.644330456494599,0.549452073796643,0.600844069449489,0.644140068968858,52.1567963902989,51.9293094072866,45.9391304347826,45.8730158730159,43.0476947535771,47.2478097622027
"YBL087C",0.473121471197827,0.421018058938037,0.482787413570843,0.394898540405838,0.456335312855846,0.477474712213064,40.8214962121212,40.0259044216168,31.583850931677,32.8415094339623,30.076012223071,31.50646811071
"YER117W",0.473969404825958,0.420723032030158,0.487578161064249,0.409593746619063,0.457764857179769,0.47825333079604,38.8997821350763,40.6155344006923,30.9123404255319,31.743670886076,31.7994452741626,30.8770479368932
"YGL031C",1.09493626832558,1.00287409126609,1.12800848705843,0.977409073865767,1.05066778372592,1.10517794800059,39.3330702446725,40.6269181585678,30.7290192113246,32.8783068783069,30.9004902610309,31.865827881228
"YGR148C",1.15195484656134,1.03337668221839,1.15173927679084,1.00359999640898,1.08214242010827,1.1435752729547,35.8034310221587,34.9435582822086,30.3349168646081,28.712143928036,29.3698699543996,30.6849449204406
"YOL127W",0.480768356449387,0.433456422985728,0.509646045517415,0.412226776774021,0.476585760053766,0.501328718561707,38.4456172094893,39.626717032967,31.94,30.736872475476,30.1582491582492,30.9186652763295
"YLR344W",0.488374542375309,0.447795525303484,0.505314458110931,0.43558756540026,0.47664633513373,0.498842045603528,39.9337044534413,40.8551521818849,34.0517985611511,34.1993006993007,33.458405246807,33.3853855155376
"YGR034W",0.481472527351077,0.437807080233285,0.492939656870973,0.404997184554744,0.458173092402523,0.481904088758198,39.087278295266,39.3643976229065,30.6830398517146,31.9871043376319,30.4836437982735,30.8734106357457
"YHR010W",0.447957779600438,0.396210431187902,0.456450713048245,0.373943996448534,0.42918881200724,0.456404031789917,39.4223855285472,39.811942613416,29.679704797048,29.250626566416,29.0774009836914,29.5381217044321
"YDR471W",0.545910252424356,0.482304490402943,0.546552309130251,0.441864249068231,0.506428108250757,0.535434821626269,43.2822402358143,45.2654155495979,36.1009036144578,37.5622009569378,37.9586940390799,36.1086767266396
"YGL103W",0.536744411167937,0.442846136687586,0.509584440421046,0.414189976049746,0.471831324962741,0.512522864268772,38.7144873898279,39.4625407166124,30.7854757929883,30.4872594903796,29.7709687403281,30.9387355075486
"YFR032C-A",1.30645758105114,1.27433181253612,1.31192701624145,1.27041986613743,1.2964144354633,1.32170820599387,38.1538361508453,38.0369054441261,30.6116642958748,31.044885177453,30.3136463683052,31.1642989221125
